line_id	book	record_id	page_id	line_index	group_count	generated_map	generated_sampled	map_exact_lexicon_groups	map_productive_groups	map_identity_groups	sampled_exact_lexicon_groups	sampled_productive_groups	sampled_identity_groups
NB_B2_R000001_L0001	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	1	2	primo folio	primo folio	1	0	1	1	0	1
NB_B2_R000001_L0002	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	2	3	regitr illiu libri	regtr illiu libri	0	2	1	0	2	1
NB_B2_R000001_L0003	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	3	1	rotembg	rotemburg	1	0	0	1	0	0
NB_B2_R000001_L0004	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	4	3	bischoff von meincʒ	bischoff vo meincʒ	3	0	0	3	0	0
NB_B2_R000001_L0005	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	5	5	hn conr schenk von erpach	hn conr schenken von erpach	4	0	1	4	0	1
NB_B2_R000001_L0006	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	6	1	j	j	1	0	0	1	0	0
NB_B2_R000001_L0007	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	7	4	hn conr von pickebach	hn conr von pickenbach	4	0	0	4	0	0
NB_B2_R000001_L0008	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	8	4	hanman echter vicʒtum etc	hanman echter vicʒtum etc	4	0	0	4	0	0
NB_B2_R000001_L0009	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	9	6	hn hartung von eglofstein pfleg etc	hn hartung von eglofstein pfleger etc	6	0	0	6	0	0
NB_B2_R000001_L0010	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	10	5	oswald des erhart vettn dien	oswalden des erhart vettern diener	5	0	0	5	0	0
NB_B2_R000001_L0011	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	11	6	hn raban bischoff cʒu speir etc	hern raban bischoff cʒu speir etc	5	0	1	5	0	1
NB_B2_R000001_L0012	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	12	5	hn fridr schenk hauptman lantfrid	hn fridr schenk hauptman lantfried	4	1	0	4	0	1
NB_B2_R000001_L0013	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	13	1	ij	ij	1	0	0	1	0	0
NB_B2_R000001_L0014	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	14	5	fridr ochsen schulth ʒu bambg	fridr ochsen schulth ʒu bamberg	5	0	0	5	0	0
NB_B2_R000001_L0015	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	15	4	foꝛ priuacois alicui menbri	foꝛ pruacos alicui menbri	1	2	1	1	2	1
NB_B2_R000001_L0016	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	16	1	iij	iij	1	0	0	1	0	0
NB_B2_R000001_L0017	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	17	4	epo bambergenss hansen struperg	epo bambergensis hansen struperger	2	2	0	2	1	1
NB_B2_R000001_L0018	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	18	4	der stat cʒu perching	der stat cʒu perching	4	0	0	4	0	0
NB_B2_R000001_L0019	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	19	1	iiij	iiij	1	0	0	1	0	0
NB_B2_R000001_L0020	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	20	2	wigleis schenk	wiglei schenk	1	1	0	1	1	0
NB_B2_R000001_L0021	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	21	6	hn raban bisch ʒu speir etc	hn rabann bischof ʒu speir etc	4	1	1	4	1	1
NB_B2_R000001_L0022	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	22	2	dem künig	dem künig	2	0	0	2	0	0
NB_B2_R000001_L0023	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	23	5	graf fridr von otingen hofmeist	graf fridr von oting hofmeist	5	0	0	5	0	0
NB_B2_R000001_L0024	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	24	1	vj	vj	1	0	0	1	0	0
NB_B2_R000001_L0025	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	25	2	fridr ochsen	fridr ochsen	2	0	0	2	0	0
NB_B2_R000001_L0026	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	26	3	der stat augspg	d stat augspg	3	0	0	3	0	0
NB_B2_R000001_L0027	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	27	4	der stat cʒu tachaw	der stat cʒu tachaw	4	0	0	4	0	0
NB_B2_R000001_L0028	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	28	1	vij	vij	1	0	0	1	0	0
NB_B2_R000001_L0029	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	29	3	bisch von meintʒe	bischof von meintʒe	3	0	0	3	0	0
NB_B2_R000001_L0030	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	30	5	hn fridrichn hren ʒu heÿdeck	hern fridrichn hren ʒu heÿdeck	4	0	1	4	0	1
NB_B2_R000001_L0031	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	31	2	dem künige	dem künige	2	0	0	2	0	0
NB_B2_R000001_L0032	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	32	12	hn heinr reusʒen von plawen hren cʒu grenwtʒ vnd hauptman cʒu pernaw	hn heinr rusʒen vo plawen hre cʒu grenwtʒ vnd hauptman cʒu pernaw	10	0	2	10	1	1
NB_B2_R000001_L0033	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	33	1	viij	viij	1	0	0	1	0	0
NB_B2_R000001_L0034	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	34	5	hn fridr hren cʒu haydeck	hn fridr hren cʒu haydeck	4	0	1	4	0	1
NB_B2_R000001_L0035	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	35	4	hn albr von eglostein	hn albr von eglostein	3	0	1	3	0	1
NB_B2_R000001_L0036	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	36	13	ein vcʒeihbrief gen eb von rosembg seori vnd pet rügkel et vlr scheffer	ein vcʒeihbrief gen eb von rosembg seori vnd pet rügkel et vlr scheffer	12	0	1	12	0	1
NB_B2_R000001_L0037	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	37	3	hn haupten marschalk	hn haupten marschalk	2	1	0	2	0	1
NB_B2_R000001_L0038	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	38	1	ix	ix	1	0	0	1	0	0
NB_B2_R000001_L0039	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	39	3	der stat eystet	der stat eyst	3	0	0	3	0	0
NB_B2_R000001_L0040	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	40	2	hertʒog ernste	hertʒog ernste	2	0	0	2	0	0
NB_B2_R000001_L0041	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	41	3	der stat meintʒ	der stat meintʒ	3	0	0	3	0	0
NB_B2_R000001_L0042	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	42	1	x	x	1	0	0	1	0	0
NB_B2_R000001_L0043	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	43	5	hn fridrichn hr cʒu heidecke	hn fridrich her cʒu heidecke	4	1	0	4	0	1
NB_B2_R000001_L0044	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	44	1	costänctʒ	costäctʒ	0	1	0	0	1	0
NB_B2_R000001_L0045	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	45	1	rafenspurg	rafenspurg	1	0	0	1	0	0
NB_B2_R000001_L0046	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	46	1	xj	xj	1	0	0	1	0	0
NB_B2_R000001_L0047	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	47	3	bisch cʒu meintʒ	bisch cʒu meintʒ	3	0	0	3	0	0
NB_B2_R000001_L0048	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	48	2	burgfen joh	burgrafen joh	2	0	0	2	0	0
NB_B2_R000001_L0049	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg	49	4	der stat cʒu cʒwickaw	der stat cʒu cʒwickaw	3	0	1	3	0	1
NB_B2_R000001_L0050	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	50	1	rotempg	rotmpurg	0	1	0	0	1	0
NB_B2_R000001_L0051	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	51	1	xij	xij	1	0	0	1	0	0
NB_B2_R000001_L0052	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	52	4	der stat cʒu cʒwickaw	der stat cʒu cʒwickaw	3	0	1	3	0	1
NB_B2_R000001_L0053	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	53	7	hn balthasar von mospach tumhre cʒu wircʒpurg	hn balthasar von mospach tumhre cʒu wircʒpurg	7	0	0	7	0	0
NB_B2_R000001_L0054	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	54	5	hn conr hren cʒu pickenpach	hn conr hren cʒu pickenpach	5	0	0	5	0	0
NB_B2_R000001_L0055	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	55	5	steffan geyrn vnd jacob schenk	steffan geyrn vnd jacob schenk	5	0	0	5	0	0
NB_B2_R000001_L0056	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	56	1	xiij	xiij	1	0	0	1	0	0
NB_B2_R000001_L0057	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	57	1	kunig	kunig	1	0	0	1	0	0
NB_B2_R000001_L0058	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	58	1	xiiij	xiiij	1	0	0	1	0	0
NB_B2_R000001_L0059	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	59	16	hn raban bẏschof cʒu speyr hn fridr schenk hren cʒu limprgk et hn hansen von hirs	hn raban bẏschof cʒu speyr hn fridr schenken hren cʒu limprgk et hn hansen von hirs	13	2	1	13	2	1
NB_B2_R000001_L0060	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	60	1	horn	horn	0	1	0	0	1	0
NB_B2_R000001_L0061	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	61	3	byschoff cʒu wircʒbg	byschoff cʒu wircʒbg	3	0	0	3	0	0
NB_B2_R000001_L0062	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	62	1	xv	xv	1	0	0	1	0	0
NB_B2_R000001_L0063	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	63	4	c swarcʒemberg hansen camr	c swarcʒemberg hansen camr	4	0	0	4	0	0
NB_B2_R000001_L0064	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	64	3	moricʒ awrach etc	moricʒ awrach etc	3	0	0	3	0	0
NB_B2_R000001_L0065	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	65	9	pet scheppen steffan kolen gen frankfurt in der vastenmesse	pet scheppen steffan kolen gen frankft in der vastenmesse	7	2	0	7	2	0
NB_B2_R000001_L0066	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	66	6	elspethen von beÿrn burgrefynn cʒu nür	elspethen von beÿrn burgrefyn cʒu nür	5	1	0	5	1	0
NB_B2_R000001_L0067	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	67	4	der stat cʒu jngelstat	der stat cʒu jngelstat	4	0	0	4	0	0
NB_B2_R000001_L0068	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	68	5	hn johansen bisch cʒu vvirtʒburg	hn johansen bischof cʒu vvirtʒburg	5	0	0	5	0	0
NB_B2_R000001_L0069	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	69	2	burgraf fridrichn	burgraf fridrichn	2	0	0	2	0	0
NB_B2_R000001_L0070	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	70	3	bisch cʒu bambg	bisch cʒu bambg	3	0	0	3	0	0
NB_B2_R000001_L0071	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	71	5	heinr fronhofer vnd moritʒen awrach	heinr fronhofer vnd moritʒe awrach	4	0	1	4	1	0
NB_B2_R000001_L0072	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	72	6	albr vom eglofstein lantricht cʒu awrbach	albr vom eglofstein lantrichter cʒu awrbach	6	0	0	6	0	0
NB_B2_R000001_L0073	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	73	3	bisch cʒu wirtʒbg	bisch cʒu wirtʒbrg	2	1	0	2	1	0
NB_B2_R000001_L0074	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	74	4	b abbt cʒu hailsprunn	b abbt cʒu hailsprunen	3	1	0	3	1	0
NB_B2_R000001_L0075	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	75	5	altman kempnater lantricht cʒu sultʒbach	altman kempnater lantricht cʒu sultʒbach	4	0	1	4	0	1
NB_B2_R000001_L0076	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	76	2	burggraf johansen	burggr johansen	2	0	0	2	0	0
NB_B2_R000001_L0077	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	77	3	vveisʒembg der stat	vveisʒembg der stat	3	0	0	3	0	0
NB_B2_R000001_L0078	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	78	2	hertʒog stephan	hertʒog stephan	2	0	0	2	0	0
NB_B2_R000001_L0079	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	79	14	gemaine steten des punds in swaben als die ÿetʒund cʒu vlm bey einand sein	gemainen steten des punds in swaben als die ÿetʒund cʒu vlm bey einand sein	13	0	1	13	0	1
NB_B2_R000001_L0080	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	80	4	hertʒog vvilhelm von beyern	hertʒog vvilhelm vo beyern	4	0	0	4	0	0
NB_B2_R000001_L0081	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	81	3	fritʒe von seldeneck	fritʒen von seldeneck	3	0	0	3	0	0
NB_B2_R000001_L0082	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	82	10	vvilhelm von mayental dem eltn vnss hren burggraf johansen hofmeist	vvilhelm von mayental dem eltn vnss hren burggraf johans hofmeister	10	0	0	10	0	0
NB_B2_R000001_L0083	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	83	1	kunige	kunige	1	0	0	1	0	0
NB_B2_R000001_L0084	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	84	3	bisch cʒu speÿr	bischof cʒu speÿr	3	0	0	3	0	0
NB_B2_R000001_L0085	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	85	3	hn fridr schencken	hn fridr schencken	3	0	0	3	0	0
