edition	array_id	page	physical_folio	locus	slot_index	slot_count	transferred_prefix	renderer_signature	strict_residual	raw_family	gdt252_pair
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.23	1	10	AQAC	A1 Q2 A3 C1	AB	AQACAB	0
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.24	2	10	AQAB	A1 Q2 A3 B2	AC	AQABAC	0
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.25	3	10	AQAB	A1 Q2 A3 B2	AB	AQABAB	0
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.27	5	10	AQAC	A1 Q1 A3 C1	AB	AQACAB	0
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.30	8	10	AQAB	A1 Q1 A3 B2	BAB	AQABBAB	0
ZL3b	SCARR019|f70v2|S1	f70v2	f70	f70v2.31	9	10	AQAB	A2 Q1 A1 B2	AG	AQABAG	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.2	1	10	AQAB	A1 Q2 A3 B2	KA|QAC|AB|BA	AQABKA|QAC|AB|BA	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.3	2	10	APK	A1 P1 K1	JA|CAB	APKJA|CAB	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.4	3	10	AQA	A1 Q2 A3	QAEBAE	AQAQAEBAE	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.5	4	10	AQAB	A1 Q1 A3 B2	AB	AQABAB	1
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.6	5	10	AQAB	A1 Q2 A3 B2	A	AQABA	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.9	8	10	AQAB	A1 Q1 A1 B2	LA	AQABLA	0
ZL3b	SCARR020|f70v1|S2	f70v1	f70	f70v1.11	10	10	AQAB	A1 Q2 A3 B2	|APLACAB	AQAB|APLACAB	0
ZL3b	SCARR022|f71r|S1	f71r	f71	f71r.7	6	10	AQAB	A1 Q2 A3 B2	JQA	AQABJQA	0
ZL3b	SCARR022|f71r|S1	f71r	f71	f71r.8	7	10	AQAB	A1 Q2 A3 B2	CAC	AQABCAC	0
