page	record_id	field_ordinal	record_field_count	locus	source_tokens	page_hosts	compiler_cells	field_group_count	line_field_end	abstract_role_like	leading_latent_document_role	mandatory_alternatives	evidence_grade	semantic_value
f82r	Q13|f82r|R01	1	26	f82r.2	dchedy	che	d:NONE:0:NONE:1:0	1	DY	SHORT_ARGUMENT_LIKE	COMPONENT_PARAMETER_OR_LOCAL_STATE	MATERIAL_OR_SUBSTANCE;COMPONENT_OR_LOCAL_STATE;CASE_OR_CONDITION;LOCATION_OR_ACCESS;QUANTITY_OR_DEGREE	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	2	26	f82r.2	qolchedy	olche	q:NONE:0:NONE:1:0	1	DY	SHORT_ARGUMENT_LIKE	COMPONENT_PARAMETER_OR_LOCAL_STATE	MATERIAL_OR_SUBSTANCE;COMPONENT_OR_LOCAL_STATE;CASE_OR_CONDITION;LOCATION_OR_ACCESS;QUANTITY_OR_DEGREE	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	3	26	f82r.2	qokain|dy|qokeedy	ok|y|okee	q:NONE:0:ain:0:0|d:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	3	DY	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	4	26	f82r.2	qokal|lcheckhy|lched	ok|lcheckhy|lched	q:NONE:0:al:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	3	LINE_END	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	5	26	f82r.3	qokeey|lcheckhedy	okeey|lcheckhe	q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	2	DY	SHORT_ARGUMENT_LIKE	COMPONENT_PARAMETER_OR_LOCAL_STATE	MATERIAL_OR_SUBSTANCE;COMPONENT_OR_LOCAL_STATE;CASE_OR_CONDITION;LOCATION_OR_ACCESS;QUANTITY_OR_DEGREE	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	6	26	f82r.3	qokaly|solkaiin|chckhy|qokaiin	okaly|olk|ckhy|ok	q:NONE:0:NONE:0:0|s:NONE:0:aiin:0:0|ch:NONE:0:NONE:0:0|q:NONE:0:aiin:0:0	4	LINE_END	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	7	26	f82r.4	qokaiin|octheol|chkeey|ldy	ok|octheol|keey|l	q:NONE:0:aiin:0:0|NONE:NONE:0:NONE:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	4	DY	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	8	26	f82r.4	oteey|qokal|sheckhy|qoky	eey|ok|eckhy|oky	NONE:OT:0:NONE:0:0|q:NONE:0:al:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0	4	LINE_END	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	9	26	f82r.7	dshedy	she	d:NONE:0:NONE:1:0	1	DY	SHORT_ARGUMENT_LIKE	COMPONENT_PARAMETER_OR_LOCAL_STATE	MATERIAL_OR_SUBSTANCE;COMPONENT_OR_LOCAL_STATE;CASE_OR_CONDITION;LOCATION_OR_ACCESS;QUANTITY_OR_DEGREE	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	10	26	f82r.7	sotaiin|qokar|shedy	ot|ok|e	s:NONE:0:aiin:0:0|q:NONE:0:ar:0:0|sh:NONE:0:NONE:1:0	3	DY	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	11	26	f82r.7	solshedy	olshe	s:NONE:0:NONE:1:0	1	DY	SHORT_ARGUMENT_LIKE	COMPONENT_PARAMETER_OR_LOCAL_STATE	MATERIAL_OR_SUBSTANCE;COMPONENT_OR_LOCAL_STATE;CASE_OR_CONDITION;LOCATION_OR_ACCESS;QUANTITY_OR_DEGREE	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	12	26	f82r.7	qokeey|qoky|ls|cheey	okeey|oky|ls|ey	q:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0	4	LINE_END	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
f82r	Q13|f82r|R01	13	26	f82r.19	okain|char|okain|qokeedy	ok|ar|ok|okee	NONE:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|q:NONE:0:NONE:1:0	4	DY	INSTRUCTION_CLAUSE_LIKE	SETTING_OR_HYDRAULIC_DESCRIPTION	PRACTICAL_DESCRIPTION_OR_INDICATION;SETTING_OR_HYDRAULIC_DESCRIPTION;PROCEDURE_OR_CAUTION	FORMAL_PLACEMENT_SUPPORTED_SEMANTIC_ROLE_SPECULATIVE	UNASSIGNED
