evidence_id	observation	weight	procedural_reference_fit	quantified_catalogue_fit	spatial_flow_fit	object_nomenclature_fit	pure_template_fit	meaning_pressure
S01	Lines have directional states and reset their coordinate at each physical newline.	3	1	1	0.5	0	1	Treat a line as one bounded technical assertion/record.
S02	Page-local root inventory is coherent while root adjacency remains directionally informative across Currier.	3	1	1	0.5	0.5	0.5	Pages choose referents; lines assemble relations among them.
S03	q-prepend combines with several right-edge states and survives all nested discovery folds.	2	1	0.5	0.5	0	1	q is best treated as outer scope/dependency, not part of one object name.
S04	DY is 98% right-concentrated in the morphology audit and combines widely with q-scoped hosts.	3	1	1	0.5	0	1	DY is a closure/default-result field.
S05	AR, OL, DAL, DAR, SY and DY occur free and bound; multiple tuples have manual split/join analogues.	3	1	0.5	0.5	0.5	1	Fields may detach or contract; visible words are not indivisible names.
S06	Exact che+VALUE is productive and AII+N tends to precede AI+N.	2	1	1	0	0	0.5	A value carrier and ordered grade system are present.
S07	Labels are denser in candidate modules and multi-module groups than prose.	2	1	1	0.5	1	1	Labels are contracted field bundles, not necessarily proper names.
S08	AROL-family labels occur by apparatus-like structures and by plants.	3	1	0.5	0	0	0.5	AROL is a generic association/reference bundle; water/flow and object-name readings fail.
S09	f83r juxtaposes reading-sensitive SAROLDAL with exact DAROLSY near two structures.	1	1	0.5	1	0.5	0.5	d/s and DAL/SY can encode contrasting local states, but one panel cannot name the polarity.
S10	The best DAL upper/lower visual association is weak and page-conditioned (p=.151); no module has a stable object role.	2	1	0.5	0	0	1	Prefer abstract record functions over literal picture nouns or directions.
S11	Nested transformation prediction remains below strong string statistics, especially q plus DY/DAL/DAR.	3	0.5	0.5	0.5	0.5	1	Functions are conventional and renderer-dependent, not a clean ordinary-language affix algebra.
S12	The metadata-aware nonsemantic context mixer beats every explicit language/semantic decoder.	3	1	0.5	0	0	1	Any meaning-bearing layer must sit beneath a strong local register renderer.
