register	predicate	position_mask_NE_SE_SW_NW	support	alias_count_for_mask	selected_in_gdt179
N1	END1:l	0010	1	9	0
N1	END1:y	0101	2	5	1
N1	END2:al	0010	1	9	0
N1	END2:ly	0101	2	5	0
N1	END3:aly	0001	1	8	0
N1	END3:dal	0010	1	9	0
N1	END3:dly	0100	1	19	0
N1	HAS1:i	0100	1	19	0
N1	HAS1:k	0010	1	9	0
N1	HAS1:l	0111	3	1	0
N1	HAS1:p	0100	1	19	0
N1	HAS1:r	1101	3	2	0
N1	HAS1:t	1001	2	3	0
N1	HAS1:y	0101	2	5	0
N1	HAS2:ai	0100	1	19	0
N1	HAS2:al	0011	2	2	0
N1	HAS2:ar	1101	3	2	0
N1	HAS2:da	1011	3	1	0
N1	HAS2:dl	0100	1	19	0
N1	HAS2:ir	0100	1	19	0
N1	HAS2:lk	0010	1	9	0
N1	HAS2:ly	0101	2	5	0
N1	HAS2:od	1000	1	7	0
N1	HAS2:ol	0010	1	9	0
N1	HAS2:op	0100	1	19	0
N1	HAS2:ot	1001	2	3	0
N1	HAS2:pa	0100	1	19	0
N1	HAS2:ra	0100	1	19	0
N1	HAS2:rd	0101	2	5	0
N1	HAS2:ta	0001	1	8	0
N1	HAS2:to	1000	1	7	0
N1	HAS3:air	0100	1	19	0
N1	HAS3:aly	0001	1	8	0
N1	HAS3:ara	0100	1	19	0
N1	HAS3:ard	0001	1	8	0
N1	HAS3:dal	0011	2	2	0
N1	HAS3:dar	1000	1	7	0
N1	HAS3:dly	0100	1	19	0
N1	HAS3:ird	0100	1	19	0
N1	HAS3:oda	1000	1	7	0
N1	HAS3:olk	0010	1	9	0
N1	HAS3:opa	0100	1	19	0
N1	HAS3:ota	0001	1	8	0
N1	HAS3:oto	1000	1	7	0
N1	HAS3:par	0100	1	19	0
N1	HAS3:rai	0100	1	19	0
N1	HAS3:rda	0001	1	8	0
N1	HAS3:rdl	0100	1	19	0
N1	HAS3:tar	0001	1	8	0
N1	HAS3:tod	1000	1	7	0
N1	START2:ol	0010	1	9	0
N1	START2:op	0100	1	19	0
N1	START2:ot	1001	2	3	1
N1	START3:olk	0010	1	9	0
N1	START3:opa	0100	1	19	0
N1	START3:ota	0001	1	8	0
N1	START3:oto	1000	1	7	0
D1	END1:r	1010	2	3	0
D1	END1:y	0101	2	2	1
D1	END2:ar	0010	1	22	0
D1	END2:dy	0001	1	8	0
D1	END3:ear	0010	1	22	0
D1	END3:ldy	0001	1	8	0
D1	HAS1:a	1011	3	1	0
D1	HAS1:c	0010	1	22	0
D1	HAS1:d	0001	1	8	0
D1	HAS1:e	0010	1	22	0
D1	HAS1:f	0010	1	22	0
D1	HAS1:h	0010	1	22	0
D1	HAS1:k	0111	3	1	0
D1	HAS1:l	0001	1	8	0
D1	HAS1:o	0110	2	3	0
D1	HAS1:r	1010	2	3	0
D1	HAS1:y	0101	2	2	0
D1	HAS2:ar	1010	2	3	0
D1	HAS2:cf	0010	1	22	0
D1	HAS2:dy	0001	1	8	0
D1	HAS2:ea	0010	1	22	0
D1	HAS2:fh	0010	1	22	0
D1	HAS2:ho	0010	1	22	0
D1	HAS2:ke	0010	1	22	0
D1	HAS2:ld	0001	1	8	0
D1	HAS2:oc	0010	1	22	0
D1	HAS2:ok	0110	2	3	1
D1	HAS2:or	0010	1	22	0
D1	HAS2:ra	1000	1	1	0
D1	HAS3:cfh	0010	1	22	0
D1	HAS3:ear	0010	1	22	0
D1	HAS3:fho	0010	1	22	0
D1	HAS3:hor	0010	1	22	0
D1	HAS3:kea	0010	1	22	0
D1	HAS3:ldy	0001	1	8	0
D1	HAS3:ocf	0010	1	22	0
D1	HAS3:oke	0010	1	22	0
D1	START1:a	0001	1	8	0
D1	START1:o	0110	2	3	0
D1	START2:oc	0010	1	22	0
D1	START2:ok	0100	1	1	0
D1	START3:ocf	0010	1	22	0
