scope	model	predictions	exact_correct	precision	coverage_of_held_novel_types	novel_type_denominator	average_precision	auc	mean_positive_score	mean_negative_score	top1_hits	top5_hits	comparison_scope
ALL_DISCOVERED_ALGEBRA	NESTED_PARADIGM	1017225	925	0.0009093366757600334	0.3140916808149406	2945	0.007898874356013745	0.7101011171951249	-0.9034837099371835	-1.4798866920031706	4	5	Identical training-discovered exact fourth-form candidates
ALL_DISCOVERED_ALGEBRA	CHARACTER_ORDER2_KT	1017225	925	0.0009093366757600334	0.3140916808149406	2945	0.0028282735222381846	0.642458578149142	-2.441138008041459	-2.7313555181981695	1	2	Identical training-discovered exact fourth-form candidates
ALL_DISCOVERED_ALGEBRA	CHARACTER_ORDER4_KT	1017225	925	0.0009093366757600334	0.3140916808149406	2945	0.0017345626953766146	0.6095519513018873	-2.868531719634199	-3.1267330374436826	1	2	Identical training-discovered exact fourth-form candidates
ALL_DISCOVERED_ALGEBRA	VISIBLE_WHOLE_GROUP_FREQUENCY	1017225	925	0.0009093366757600334	0.3140916808149406	2945	0.00098028571036044	0.48194690597317774	8.158507685598671	8.252663257900391	0	0	Identical training-discovered exact fourth-form candidates
ALL_DISCOVERED_ALGEBRA	NEAREST_EDIT_DISTANCE	1017225	925	0.0009093366757600334	0.3140916808149406	2945	0.00140049746880858	0.6064518441298723	-2.218018018018018	-2.483522909901932	0	2	Identical training-discovered exact fourth-form candidates
PREDECLARED_Q_RIGHT_SUBGROUP	NESTED_PARADIGM	9754	25	0.002563051055977035	0.008488964346349746	2945	0.002865533134247471	0.5041813135985199	-0.7284173107999063	-0.7988221167815798	0	2	Identical training-discovered exact fourth-form candidates
PREDECLARED_Q_RIGHT_SUBGROUP	CHARACTER_ORDER2_KT	9754	25	0.002563051055977035	0.008488964346349746	2945	0.0049317766152368	0.6909651557200124	-1.8897755258842732	-2.2131336367586223	0	2	Identical training-discovered exact fourth-form candidates
PREDECLARED_Q_RIGHT_SUBGROUP	CHARACTER_ORDER4_KT	9754	25	0.002563051055977035	0.008488964346349746	2945	0.004136230928693773	0.6340096618357488	-2.189853343911526	-2.5192278327872337	0	1	Identical training-discovered exact fourth-form candidates
PREDECLARED_Q_RIGHT_SUBGROUP	VISIBLE_WHOLE_GROUP_FREQUENCY	9754	25	0.002563051055977035	0.008488964346349746	2945	0.051233255237229394	0.6864569842738205	9.190854867495322	6.462493644587785	1	8	Identical training-discovered exact fourth-form candidates
PREDECLARED_Q_RIGHT_SUBGROUP	NEAREST_EDIT_DISTANCE	9754	25	0.002563051055977035	0.008488964346349746	2945	0.00255563051537839	0.4913680748278343	-1.8933333333333335	-1.8908418131359852	0	0	Identical training-discovered exact fourth-form candidates
ISOLATED_MISSING_GROUP	GDT001_CONTEXT_MIXER	0	0			2945							NOT_DIRECTLY_COMPARABLE: full serialized context required
