context	backoff	groups	baseline_bits	held_bits	raw_gain_bits	selector_configurations	selector_bits	selector_paid_gain_bits
POSITION	64	1212	2496.46258146	2489.74883884	6.71374262514	25	4.64385618977	2.06988643537
POSITION_ONLY	64	1212	2496.46258146	2490.35374583	6.10883563314	25	4.64385618977	1.46497944336
POSITION	256	1212	2496.46258146	2491.01271407	5.44986738959	25	4.64385618977	0.80601119982
POSITION_ONLY	256	1212	2496.46258146	2491.16777653	5.29480492709	25	4.64385618977	0.650948737317
FULL	64	1212	2496.46258146	2494.02657702	2.4360044433	25	4.64385618977	-2.20785174647
WRAPPER	256	1212	2496.46258146	2494.63981014	1.82277131733	25	4.64385618977	-2.82108487244
FULL	256	1212	2496.46258146	2495.22229212	1.24028934398	25	4.64385618977	-3.40356684579
WRAPPER	64	1212	2496.46258146	2495.47047498	0.992106484468	25	4.64385618977	-3.65174970531
LEFT	256	1212	2496.46258146	2497.2167536	-0.754172134464	25	4.64385618977	-5.39802832424
FULL	16	1212	2496.46258146	2502.02699794	-5.56441647635	25	4.64385618977	-10.2082726661
LEFT	64	1212	2496.46258146	2503.15232088	-6.68973941799	25	4.64385618977	-11.3335956078
WRAPPER	16	1212	2496.46258146	2518.08003067	-21.6174492097	25	4.64385618977	-26.2613053995
POSITION	16	1212	2496.46258146	2518.34900614	-21.8864246739	25	4.64385618977	-26.5302808637
POSITION_ONLY	16	1212	2496.46258146	2520.38522585	-23.9226443866	25	4.64385618977	-28.5665005764
LEFT	16	1212	2496.46258146	2532.55911555	-36.0965340841	25	4.64385618977	-40.7403902738
FULL	4	1212	2496.46258146	2557.54141172	-61.0788302563	25	4.64385618977	-65.7226864461
POSITION	4	1212	2496.46258146	2606.27952086	-109.816939393	25	4.64385618977	-114.460795583
POSITION_ONLY	4	1212	2496.46258146	2611.05402935	-114.591447892	25	4.64385618977	-119.235304082
WRAPPER	4	1212	2496.46258146	2619.13037049	-122.667789029	25	4.64385618977	-127.311645218
LEFT	4	1212	2496.46258146	2622.99146935	-126.528887883	25	4.64385618977	-131.172744073
FULL	1	1212	2496.46258146	2718.08248079	-221.619899328	25	4.64385618977	-226.263755518
POSITION	1	1212	2496.46258146	2738.90588603	-242.443304567	25	4.64385618977	-247.087160757
POSITION_ONLY	1	1212	2496.46258146	2746.36548191	-249.902900446	25	4.64385618977	-254.546756636
LEFT	1	1212	2496.46258146	2840.05989312	-343.597311653	25	4.64385618977	-348.241167843
WRAPPER	1	1212	2496.46258146	2845.72717453	-349.264593073	25	4.64385618977	-353.908449262
