descriptor_token	positive_loci	eligible	source	normalization	semantic_role
base	11	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
bulb	5	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
coloured	8	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
dark	46	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
edge	8	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
finger	5	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
flower	4	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
ground	9	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
large	6	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
leaf	42	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
level	12	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
light	36	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
many	4	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
root	46	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
round	4	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
serrated	4	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
shaped	7	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
stalk	4	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
stem	23	1	EXISTING_HUMAN_ANNOTATION_LOCAL_CLAUSE	LOWER_ALPHA_SIMPLE_SINGULAR	UNASSIGNED
