parse_id	folio	locus	surface_ZL3b	alternate_readings	formal_parse	local_bits	provisional_translation	translation_level	status
F57_f57v.11	f57v	f57v.11	ara?arar	IT2a=oralaror;RF1b=aralarar	HAS_OK_COMPONENT=0 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	00	HOT_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.12	f57v	f57v.12	okeely	IT2a=okchoy;RF1b=okeely	HAS_OK_COMPONENT=1 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	11	MOIST_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.13	f57v	f57v.13	ocfhor,okear	IT2a=ocfhor.okear;RF1b=ocfhor.okear	HAS_OK_COMPONENT=1 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	10	COLD_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.10	f57v	f57v.10	ark[a:o]ldy	IT2a=ackaldy;RF1b=askaldy	HAS_OK_COMPONENT=0 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	01	DRY_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.6	f57v	f57v.6	otodara[g:m]	IT2a=otodarod;RF1b=otodarag	STARTS_OT=1 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	10	HOT_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.7	f57v	f57v.7	oparairdly	IT2a=oparairdly;RF1b=oparairdly	STARTS_OT=0 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	01	MOIST_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.8	f57v	f57v.8	olkeedal	IT2a=olkchdal;RF1b=olkchdal	STARTS_OT=0 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	00	COLD_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F57_f57v.9	f57v	f57v.9	otardaly	IT2a=otardaly;RF1b=otardaly	STARTS_OT=1 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	11	DRY_POSITION	SCHEMA_POSITION_NOT_WORD	POSTHOC_PAGE_LOCAL_ROLE_DECODE
F77_f77r.2	f77r	f77r.2	olkchs	IT2a=olkchs;RF1b=olkchs	STARTS_OT=0 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	00	COLD_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_f77r.3	f77r	f77r.3	otedy	IT2a=otedy;RF1b=otedy	STARTS_OT=1 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	11	DRY_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_f77r.4	f77r	f77r.4	otork	IT2a=otork;RF1b=otork	STARTS_OT=1 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	10	HOT_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_f77r.5	f77r	f77r.5	otol	IT2a=otol;RF1b=otol	STARTS_OT=1 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	10	HOT_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_f77r.6	f77r	f77r.6	dchdy	IT2a=dchdy;RF1b=dch y	STARTS_OT=0 + TERMINAL_Y=1 + OPAQUE_RESIDUAL	01	MOIST_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_f77r.7	f77r	f77r.7	soral	IT2a=soral;RF1b=soral	STARTS_OT=0 + TERMINAL_Y=0 + OPAQUE_RESIDUAL	00	COLD_STATE	PROCESS_STATE_NOT_WORD	PROVISIONAL_POSTHOC
F77_BOUNDARY_1	f77r	branch_1	VISIBLE_OPENING	NOT_TEXTUAL	COLD->DRY;EMISSION=1	NA	EARTH_TRANSITION	DIAGRAM_RELATION_NOT_WORD	PROVISIONAL_POSTHOC
F77_BOUNDARY_2	f77r	branch_2	VISIBLE_OPENING	NOT_TEXTUAL	DRY->HOT;EMISSION=1	NA	FIRE_TRANSITION	DIAGRAM_RELATION_NOT_WORD	PROVISIONAL_POSTHOC
F77_BOUNDARY_3	f77r	branch_3	VISIBLE_OPENING	NOT_TEXTUAL	HOT->HOT;EMISSION=0	NA	NONE_HOT_HOLD_TRANSITION	DIAGRAM_RELATION_NOT_WORD	PROVISIONAL_POSTHOC
F77_BOUNDARY_4	f77r	branch_4	VISIBLE_OPENING	NOT_TEXTUAL	HOT->MOIST;EMISSION=1	NA	AIR_TRANSITION	DIAGRAM_RELATION_NOT_WORD	PROVISIONAL_POSTHOC
F77_BOUNDARY_5	f77r	branch_5	VISIBLE_OPENING	NOT_TEXTUAL	MOIST->COLD;EMISSION=1	NA	WATER_TRANSITION	DIAGRAM_RELATION_NOT_WORD	PROVISIONAL_POSTHOC
