locus	page	physical_folio	section	family_surface	stable_prefix	relation_class	source_relation_tags	certainty	claim_state
f100r.1	f100r	f100	P	KACACALAB	NONE	ATTACHMENT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.10	f100r	f100	P	BAQAU	NONE	ENCLOSURE_OR_CONTACT	REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.11	f100r	f100	P	CAPAB	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.16	f100r	f100	P	AQKAC	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.17	f100r	f100	P	LAUJA	NONE	ATTACHMENT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.18	f100r	f100	P	ACAB	NONE	PROXIMITY	REL_PROXIMITY	UNHEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.19	f100r	f100	P	ABKJAB	NONE	PROXIMITY	REL_PROXIMITY	UNHEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.2	f100r	f100	P	CAKACTA	NONE	ATTACHMENT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.20	f100r	f100	P	AQJAB	NONE	PROXIMITY	REL_PROXIMITY	UNHEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.21	f100r	f100	P	AQABC	AQAB	PROXIMITY	REL_PROXIMITY	UNHEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.3	f100r	f100	P	AQJAC	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.4	f100r	f100	P	KAPACA	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.5	f100r	f100	P	CAC	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.6	f100r	f100	P	ACACA	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.7	f100r	f100	P	KABCAF	NONE	PROXIMITY	REL_PROXIMITY	UNHEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
f100r.8	f100r	f100	P	CAEQA	NONE	PROXIMITY	REL_PROXIMITY	HEDGED	VISIBLE_RELATION_MODE_NO_OWNERSHIP_OR_GLOSS
