locus	page	physical_folio	group_index	previous_dy_token	target_token	target_family	record_state	matching_figure_features	claim_state
f103r.21	f103r	f103	3	sokedy	dalkar	BABQAC	AR_REFERENCE	RESIDUAL_HOST:H2:lk|SOURCE_FAMILY:F2:BQ|SOURCE_FAMILY:F3:ABQ	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.21	f103r	f103	10	pchedy	okaly	AQABA	AL_STATE	RESIDUAL_HOST:H3:kal	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.24	f103r	f103	4	shedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST:H3:kal|RESIDUAL_HOST:HOST_EXACT:okal	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.32	f103r	f103	3	shedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY:F3:QJB	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.32	f103r	f103	4	qokedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST:H3:kal|RESIDUAL_HOST:HOST_EXACT:okal	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.4	f103r	f103	2	ychedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY:F3:QJB	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.4	f103r	f103	3	qokedy	okedy	AQJBA	DY_RESOLUTION	SOURCE_FAMILY:F3:QJB	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103r.45	f103r	f103	8	oteedy	olkeol	ABQJAB	OL_STATE	RESIDUAL_HOST:H2:lk|RESIDUAL_HOST:H3:olk|SOURCE_FAMILY:F2:BQ|SOURCE_FAMILY:F3:ABQ	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103v.11	f103v	f103	2	qokeedy	olkeeshy	ABQKLA	OL_STATE	RESIDUAL_HOST:H2:lk|RESIDUAL_HOST:H3:olk|SOURCE_FAMILY:F2:BQ|SOURCE_FAMILY:F3:ABQ	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
f103v.17	f103v	f103	5	oteedy	lkedy	BQJBA	DY_RESOLUTION	RESIDUAL_HOST:H2:lk|SOURCE_FAMILY:F2:BQ|SOURCE_FAMILY:F3:QJB	COMPLETE_PROSE_OCCURRENCE_OF_VISUALLY_NOMINATED_FEATURE_NOT_FIGURE_MEANING
