edge_stripped_core	a_locus	a_folio	a_host	a_edge	b_locus	b_folio	b_host	b_edge	object_jaccard	relation_jaccard	all_jaccard	semantic_role
aii	f69v.20	f69	aiir	r	f72v3.13	f72	aiin	n	0.5	1	0.5	UNASSIGNED
alol	f70v2.29	f70	alols	s	f99r.21	f99	aloly	y	0	0	0	UNASSIGNED
lch	f100v.1	f100	lchd	d	f75v.29	f75	lchy	y	0	0.5	0.2	UNASSIGNED
octh	f72r3.31	f72	octho	o	f88v.2	f88	octhy	y	0	0	0	UNASSIGNED
oka	f70v1.5	f70	okal	l	f71v.8	f71	okar	r	1	1	1	UNASSIGNED
oka	f70v1.5	f70	okal	l	f78r.47	f78	okar	r	0	0	0	UNASSIGNED
oka	f71v.8	f71	okar	r	f72r2.8	f72	okal	l	1	0	0.666666666667	UNASSIGNED
oka	f71v.8	f71	okar	r	f72r3.22	f72	okal	l	1	1	1	UNASSIGNED
oka	f71v.8	f71	okar	r	f72v1.30	f72	okal	l	1	1	1	UNASSIGNED
oka	f72r2.8	f72	okal	l	f78r.47	f78	okar	r	0	0	0	UNASSIGNED
oka	f72r3.22	f72	okal	l	f78r.47	f78	okar	r	0	0	0	UNASSIGNED
oka	f72v1.30	f72	okal	l	f78r.47	f78	okar	r	0	0	0	UNASSIGNED
okal	f70v2.30	f70	okald	d	f72r1.5	f72	okala	a	1	1	1	UNASSIGNED
okal	f70v2.30	f70	okald	d	f72r2.10	f72	okaly	y	1	0	0.666666666667	UNASSIGNED
okal	f70v2.30	f70	okald	d	f72r2.18	f72	okaly	y	1	0	0.666666666667	UNASSIGNED
okal	f70v2.30	f70	okald	d	f72v3.17	f72	okaly	y	1	1	1	UNASSIGNED
okal	f70v2.30	f70	okald	d	f77v.44	f77	okalo	o	0.5	0	0.25	UNASSIGNED
okal	f70v2.30	f70	okald	d	f80r.3	f80	okaly	y	0.5	0	0.25	UNASSIGNED
okal	f72r1.5	f72	okala	a	f77v.44	f77	okalo	o	0.5	0	0.25	UNASSIGNED
okal	f72r1.5	f72	okala	a	f80r.3	f80	okaly	y	0.5	0	0.25	UNASSIGNED
okal	f72r2.10	f72	okaly	y	f77v.44	f77	okalo	o	0.5	0	0.2	UNASSIGNED
