operation	endpoint	hosts	mean_delta	positive_hosts	negative_hosts	zero_hosts	provenance
wrapper:ch>s	LINE_FIRST	7	0.406397676264	6	0	1	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	LINE_LAST	7	0.120780001533	4	3	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	FIELD_FIRST	7	0.431860799607	6	1	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	FIELD_LAST	7	0.120404061683	3	4	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	RECORD_ORDINAL_1	7	-0.041474083144	3	4	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	FIELD_ORDINAL_1	7	-0.021731660577	3	4	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	LINE_CLOSE	7	0.120780001533	4	3	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:ch>s	PARAGRAPH_CLOSE	7	0.010305306083	2	2	3	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	LINE_FIRST	8	0.265825559942	7	1	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	LINE_LAST	8	0.023456759416	2	5	1	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	FIELD_FIRST	8	0.241941103065	7	1	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	FIELD_LAST	8	0.015396761515	2	5	1	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	RECORD_ORDINAL_1	8	-0.060564137671	3	5	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	FIELD_ORDINAL_1	8	0.065074023478	5	3	0	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	LINE_CLOSE	8	0.023456759416	2	5	1	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:d>s	PARAGRAPH_CLOSE	8	-0.013992200228	2	3	3	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	LINE_FIRST	31	0.075295967857	20	5	6	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	LINE_LAST	31	-0.071261076599	5	20	6	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	FIELD_FIRST	31	0.150012095526	19	2	10	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	FIELD_LAST	31	-0.161243663715	1	23	7	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	RECORD_ORDINAL_1	31	0.001792834234	16	14	1	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	FIELD_ORDINAL_1	31	-0.053474151159	10	17	4	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	LINE_CLOSE	31	-0.071261076599	5	20	6	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
wrapper:NONE>q	PARAGRAPH_CLOSE	31	-0.027457802971	2	11	18	POSTHOC_ENDPOINT_INSPECTED_BEFORE_METHOD_PUBLICATION
