corpus_id	language	family	tier	requested_scope	historical_status	capacity_state	sampled_tokens	source_units	eligible_source_tokens	folds	surface_only	phoneme_mapping	translation_or_lemma_used
ABKHAZ_MODERN_SENSITIVITY	Abkhaz	Northwest_Caucasian	MODERN_MATCHED_SENSITIVITY	Abkhaz	MODERN_ONLY	MATCHED_12000	12000	1045	18136	12	1	0	0
ADYGHE_MODERN_SENSITIVITY	Adyghe	Northwest_Caucasian	MODERN_MATCHED_SENSITIVITY	Adyghe_Circassian	MODERN_ONLY	MATCHED_12000	12000	444	20000	12	1	0	0
ANCIENT_GREEK_PROIEL_CONTROL	Ancient Greek	Greek	HISTORICAL_UD	Greek_control	HISTORICAL_CONTROL	MATCHED_12000	12000	1711	207773	12	1	0	0
ARABIC_WIKI_CONTROL	Arabic	Semitic	MODERN_MATCHED_SENSITIVITY	Arabic_control	MODERN_STANDARD_CONTROL	MATCHED_12000	12000	319	18950	12	1	0	0
ARMENIAN_MODERN_SENSITIVITY	Armenian	Armenian	MODERN_MATCHED_SENSITIVITY	Middle_Armenian	MODERN_SENSITIVITY	MATCHED_12000	12000	360	18706	12	1	0	0
AVAR_MODERN_SENSITIVITY	Avar	Northeast_Caucasian	MODERN_MATCHED_SENSITIVITY	Avar_Lezgian	MODERN_ONLY	MATCHED_12000	12000	588	18307	12	1	0	0
BASQUE_MODERN	Basque	Basque	MODERN_MATCHED_SENSITIVITY	Basque	MODERN_ONLY	MATCHED_12000	12000	538	18321	12	1	0	0
GEORGIAN_MODERN_SENSITIVITY	Georgian	Kartvelian	MODERN_MATCHED_SENSITIVITY	historical_Georgian	MODERN_SENSITIVITY	MATCHED_12000	12000	358	18633	12	1	0	0
GERMAN_WIKI_CONTROL	German	Germanic	MODERN_MATCHED_SENSITIVITY	German_control	MODERN_CONTROL	MATCHED_12000	12000	358	18451	12	1	0	0
GREEK_WIKI_CONTROL	Greek	Greek	MODERN_MATCHED_SENSITIVITY	Greek_control	MODERN_CONTROL	MATCHED_12000	12000	238	18017	12	1	0	0
HUNGARIAN_MODERN	Hungarian	Uralic	MODERN_MATCHED_SENSITIVITY	Hungarian	MODERN_ONLY	MATCHED_12000	12000	457	18096	12	1	0	0
ITALIAN_WIKI_CONTROL	Italian	Romance	MODERN_MATCHED_SENSITIVITY	Italian_control	MODERN_CONTROL	MATCHED_12000	12000	410	18242	12	1	0	0
KAZAKH_KIPCHAK_SENSITIVITY	Kazakh	Turkic_Kipchak	MODERN_MATCHED_SENSITIVITY	Cuman_Kipchak	MODERN_PROXY_NOT_CUMAN	MATCHED_12000	12000	357	18593	12	1	0	0
LATIN_PROIEL_CONTROL	Latin	Italic	HISTORICAL_UD	Latin_control	HISTORICAL_CONTROL	MATCHED_12000	12000	1870	203674	12	1	0	0
LATIN_WIKI_CONTROL	Latin	Italic	MODERN_MATCHED_SENSITIVITY	Latin_control	MODERN_COMPOSITION_IN_HISTORICAL_LANGUAGE	MATCHED_12000	12000	460	18778	12	1	0	0
LEZGIAN_MODERN_SENSITIVITY	Lezgian	Northeast_Caucasian	MODERN_MATCHED_SENSITIVITY	Avar_Lezgian	MODERN_ONLY	MATCHED_12000	12000	567	18191	12	1	0	0
MALTESE_MODERN_SENSITIVITY	Maltese	Semitic	MODERN_MATCHED_SENSITIVITY	Early_Maltese_Siculo_Arabic	MODERN_PROXY_NOT_EARLY_MALTESE	MATCHED_12000	12000	180	19313	12	1	0	0
MIDDLE_ARMENIAN_UD	Middle Armenian	Armenian	HISTORICAL_UD	Middle_Armenian	HISTORICAL_EXACT_LOW_CAPACITY	INSUFFICIENT_UNITS	0	2	788	0	1	0	0
OLD_CHURCH_SLAVONIC_UD	Old Church Slavonic	Slavic	HISTORICAL_UD	Old_Church_Slavonic	HISTORICAL_EXACT	MATCHED_12000	12000	2264	186597	12	1	0	0
OLD_GEORGIAN_UD	Old Georgian	Kartvelian	HISTORICAL_UD	historical_Georgian	HISTORICAL_EXACT	LOW_CAPACITY_UNMATCHED_ALL	6093	16	6093	6	1	0	0
OLD_ITALIAN_UD_CONTROL	Old Italian	Romance	HISTORICAL_UD	Italian_control	HISTORICAL_CONTROL	MATCHED_12000	12000	344	91782	12	1	0	0
VOYNICH_MATCHED	Voynich	UNKNOWN	TARGET	Voynich	MANUSCRIPT_SOURCE	MATCHED_12000	12000	102	24540	12	1	0	0
