target_id	page	physical_folio	locus	array_id	ordinal	canvas_id	width	height	official_image_url	discovery_role
CG66BD2173E10A	f89r2	f89	f89r2.32	F89R2_L4	1	1006233	9078	3777	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	DISCOVERY
CGE9931A3D31E7	f89r2	f89	f89r2.33	F89R2_L4	2	1006233	9078	3777	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	DISCOVERY
CG11CFD3CF48C5	f89r2	f89	f89r2.34	F89R2_L4	3	1006233	9078	3777	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	DISCOVERY
CGF1A0593EF78D	f99v	f99	f99v.15	F99V_L2	1	1006247	2802	3697	https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg	DISCOVERY
CG222DBE381C0D	f99v	f99	f99v.17	F99V_L2	2	1006247	2802	3697	https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg	DISCOVERY
CGDB3398C41893	f99v	f99	f99v.18	F99V_L2	3	1006247	2802	3697	https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg	DISCOVERY
CG47132E3DBB2B	f99v	f99	f99v.20	F99V_L2	4	1006247	2802	3697	https://collections.library.yale.edu/iiif/2/1006247/full/full/0/default.jpg	DISCOVERY
CG8B5118853586	f100r	f100	f100r.7	F100R_L2	1	1006248	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/full/0/default.jpg	TRANSFER
CG8D116F0B9695	f100r	f100	f100r.8	F100R_L2	2	1006248	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/full/0/default.jpg	TRANSFER
CGF255D39AC5D6	f100r	f100	f100r.9	F100R_L2	3	1006248	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/full/0/default.jpg	TRANSFER
CG5A486DC157BB	f100r	f100	f100r.10	F100R_L2	4	1006248	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/full/0/default.jpg	TRANSFER
CG1BA8C54B160A	f100r	f100	f100r.11	F100R_L2	5	1006248	2676	3756	https://collections.library.yale.edu/iiif/2/1006248/full/full/0/default.jpg	TRANSFER
