world_view	scope	side	operation	selected_rank	distinct_hosts	exact_pair_types	synthetic_folios	transformed_occurrences	annotation_rank_adjustment
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	s	1	840	840	176	1499	-3.628384969033132
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	q	2	81	81	174	525	1.707051402115916
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	d	3	72	72	172	293	-3.4435593516733167
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	o	4	55	55	168	398	-2.5507406685218745
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	do	5	34	34	143	103	-3.0152316276673066
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	so	6	34	34	151	90	-1.5427852696278803
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	sq	7	33	33	166	101	-1.4581246985945058
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	sd	8	30	30	133	51	-1.1452377674318819
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	ss	9	30	30	140	50	-1.0214189243524183
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	w	10	17	17	75	29	-4.349024432421836
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	doo	11	10	10	97	22	-0.9365095017834235
CONTROL_R	ALL_PARTITIONED_REGISTERS	LEFT	qq	12	10	10	109	27	2.0659607023916924
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	y	1	662	662	176	1330	-2.96110890461706
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	k	2	406	406	176	706	2.519740033341912
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	r	3	118	118	174	600	-5.9846703897938704
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	s	4	100	100	169	287	-4.851546802104563
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	t	5	84	84	172	413	-4.866434014958953
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	m	6	50	50	165	226	-4.077676128841123
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	sy	7	37	37	125	46	-1.0738367629213141
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	u	8	36	36	132	140	-3.2331149479496166
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	n	9	31	31	149	123	-3.473735390023442
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	ty	10	30	30	154	65	-1.035108558178502
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	ry	11	29	29	158	64	-0.5479707826371485
CONTROL_R	ALL_PARTITIONED_REGISTERS	RIGHT	i	12	28	28	46	33	-4.1886765080063535
