page_host	origin_relation	locus	page	physical_folio	currier	hand	surface_token	wrapper	local_frame	right_family	dy_closure	b3	visible_positive_features	semantic_role
pch	MHI005	f22r.4	f22r	f22	A	1	pchaiin	NONE	NONE	aiin	0	0		UNASSIGNED
pch	MHI005	f50r.3	f50r	f50	B	2	pchdy	NONE	NONE	NONE	1	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
pch	MHI005	f6r.8	f6r	f6	A	1	pchar	NONE	NONE	ar	0	0		UNASSIGNED
pch	MHI005	f8v.12	f8v	f8	A	1	pchar	NONE	NONE	ar	0	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
pch	MHI005	f95r1.1	f95r1	f95	B	3	chepchdy	che	NONE	NONE	1	0	BLUE_FLOWERS_OR_BUDS|MULTIPLE_STEMS_OR_STALKS	UNASSIGNED
olo	MHI006	f17v.14	f17v	f17	A	1	olo	NONE	NONE	NONE	0	0	BULB_OR_TUBER_ROOT	UNASSIGNED
olo	MHI006	f19r.11	f19r	f19	A	1	qolody	q	NONE	NONE	1	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
olo	MHI006	f24v.7	f24v	f24	A	1	olom	NONE	NONE	NONE	0	1	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
olo	MHI006	f2v.4	f2v	f2	A	1	cholo	ch	NONE	NONE	0	0		UNASSIGNED
olo	MHI006	f2v.8	f2v	f2	A	1	dolody	d	NONE	NONE	1	0		UNASSIGNED
olo	MHI006	f39v.14	f39v	f39	B	2	cholody	ch	NONE	NONE	1	0	GRASS|FUSED_PARALLEL_LEAVES|LARGE_OR_EXTENSIVE_ROOT	UNASSIGNED
olo	MHI006	f43v.16	f43v	f43	B	2	oloaiin	NONE	NONE	aiin	0	0	DAISY_CUP|GRASS|FUSED_PARALLEL_LEAVES|MULTIPLE_PLANTS|MULTIPLE_STEMS_OR_STALKS	UNASSIGNED
olo	MHI006	f96r.6	f96r	f96	A	1	cholody	ch	NONE	NONE	1	0	BULB_OR_TUBER_ROOT	UNASSIGNED
kor	MHI007	f17v.13	f17v	f17	A	1	chkor	ch	NONE	NONE	0	0	BULB_OR_TUBER_ROOT	UNASSIGNED
kor	MHI007	f22r.2	f22r	f22	A	1	kor	NONE	NONE	NONE	0	0		UNASSIGNED
kor	MHI007	f29r.9	f29r	f29	A	1	kor	NONE	NONE	NONE	0	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
kor	MHI007	f29v.3	f29v	f29	A	1	kor	NONE	NONE	NONE	0	0	BULB_OR_TUBER_ROOT|BLUE_FLOWERS_OR_BUDS	UNASSIGNED
kor	MHI007	f37r.7	f37r	f37	A	1	kor	NONE	NONE	NONE	0	0		UNASSIGNED
kor	MHI007	f39v.5	f39v	f39	B	2	kor	NONE	NONE	NONE	0	0	GRASS|FUSED_PARALLEL_LEAVES|LARGE_OR_EXTENSIVE_ROOT	UNASSIGNED
kor	MHI007	f3v.6	f3v	f3	A	1	kor	NONE	NONE	NONE	0	0		UNASSIGNED
kor	MHI007	f90r1.8	f90r1	f90	A	1	kor	NONE	NONE	NONE	0	0	BULB_OR_TUBER_ROOT|LARGE_OR_EXTENSIVE_ROOT	UNASSIGNED
oko	MHI007	f13v.2	f13v	f13	A	1	oko	NONE	NONE	NONE	0	0		UNASSIGNED
oko	MHI007	f30r.4	f30r	f30	A	1	qoko	q	NONE	NONE	0	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
oko	MHI007	f30r.5	f30r	f30	A	1	choko	ch	NONE	NONE	0	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
oko	MHI007	f3v.3	f3v	f3	A	1	okom	NONE	NONE	NONE	0	1		UNASSIGNED
oko	MHI007	f45v.9	f45v	f45	A	1	qokom	q	NONE	NONE	0	1	BLUE_FLOWERS_OR_BUDS|MULTIPLE_STEMS_OR_STALKS	UNASSIGNED
oko	MHI007	f4v.13	f4v	f4	A	1	chokody	ch	NONE	NONE	1	0		UNASSIGNED
oko	MHI007	f50v.3	f50v	f50	B	2	qokody	q	NONE	NONE	1	0	BLUE_FLOWERS_OR_BUDS	UNASSIGNED
oko	MHI007	f6r.6	f6r	f6	A	1	okom	NONE	NONE	NONE	0	1		UNASSIGNED
oko	MHI007	f6v.8	f6v	f6	A	1	qokom	q	NONE	NONE	0	1		UNASSIGNED
oko	MHI007	f90r1.8	f90r1	f90	A	1	oko	NONE	NONE	NONE	0	0	BULB_OR_TUBER_ROOT|LARGE_OR_EXTENSIVE_ROOT	UNASSIGNED
