left_free_group	right_free_group	joined_form	candidate_segmentation	editions_present	split_loci_count	joined_loci_count	separator_states	representative_split_loci	representative_joined_loci	claim_state
ol	chedy	olchedy	ol | chedy ↔ olchedy	IT2a;RF1b;ZL3b	28	40	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105r.36;f106r.6;f108v.53;f111r.9;f112r.30;f113r.43;f116r.40;f40r.5;f40v.6;f75v.3	f106r.6;f108v.53;f111r.6;f111r.9;f112v.43;f113v.14;f113v.43;f114r.20;f114r.27;f116r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	shedy	olshedy	ol | shedy ↔ olshedy	IT2a;RF1b;ZL3b	24	24	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103r.7;f103v.12;f108r.22;f111r.5;f112r.32;f75r.12;f75v.47;f76r.44;f76r.56;f77v.23	f103r.7;f103v.13;f103v.36;f112r.29;f40r.6;f75r.12;f75r.13;f75r.14;f75v.47;f76r.44	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	chedy	qolchedy	qol | chedy ↔ qolchedy	IT2a;RF1b;ZL3b	19	12	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f104v.4;f111v.32;f115r.3;f116r.17;f75r.23;f75r.33;f75v.44;f77r.34;f77v.22;f78v.11	f75r.2;f75v.44;f76r.19;f76r.26;f77r.34;f78v.15;f80v.3;f81v.17;f82r.2;f82v.27	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	ol	arol	ar | ol ↔ arol	IT2a;RF1b;ZL3b	11	13	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f106r.28;f111r.33;f111v.50;f113v.30;f23r.5;f80v.13;f80v.41;f82r.16;f86v5.15;fRos.2	f103r.3;f103v.42;f106r.16;f113v.45;f40v.18;f71v.1;f77r.41;f78v.9;f80v.32;f80v.41	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	ar	darar	dar | ar ↔ darar	IT2a;RF1b;ZL3b	10	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105v.6;f115r.8;f33v.8;f39r.3;f39r.7;f39v.10;f43r.4;f67r1.5;f72r1.1;f78r.18	f33v.8;f58r.18;f67r2.32;f85r1.14;f99r.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	ar	olar	ol | ar ↔ olar	IT2a;RF1b;ZL3b	10	17	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f104v.33;f116r.20;f58v.26;f66r.75;f70v2.1;f80v.41;fRos.122;fRos.20;fRos.35;fRos.94	f105v.4;f113v.10;f113v.32;f113v.43;f116r.20;f34r.1;f46v.4;f58r.17;f58v.35;f67r2.73	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	dy	choldy	chol | dy ↔ choldy	IT2a;RF1b;ZL3b	9	13	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f10v.3;f11v.3;f13r.7;f27r.8;f36r.2;f54v.4;f70r2.15;f70v2.1;f85r1.23	f101v.23;f103r.33;f11v.3;f19r.11;f20v.1;f47r.2;f4v.2;f54v.4;f58r.12;f73v.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	dy	daldy	dal | dy ↔ daldy	IT2a;RF1b;ZL3b	9	23	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103r.1;f33v.9;f48r.6;f68v2.2;f70r1.12;f70r2.18;f75v.22;f89v1.13;f94r.6	f103r.1;f112v.46;f114r.14;f13r.9;f38v.7;f45r.10;f48r.6;f58r.20;f58v.8;f66v.2	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	shedy	dalshedy	dal | shedy ↔ dalshedy	IT2a;RF1b;ZL3b	9	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f66r.61;f66r.66;f75r.32;f76r.32;f77v.11;f82v.11;f83r.19;f83v.25;f84v.28	f46r.3;f66r.61;f66r.66;f76r.24;f76r.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	aiin	daraiin	dar | aiin ↔ daraiin	IT2a;RF1b;ZL3b	9	2	DEFINITE_SPACE	f105v.6;f107r.24;f33v.8;f39r.11;f43r.3;f58v.18;f76r.8;f86v3.19;f89v2.18	f1r.3;f95r2.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	shedy	qolshedy	qol | shedy ↔ qolshedy	IT2a;RF1b;ZL3b	9	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f103v.16;f75r.18;f76r.53;f77v.10;f77v.17;f78r.40;f78v.14;f80r.35;f83v.14	f77v.32;f78v.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	al	daral	dar | al ↔ daral	IT2a;RF1b;ZL3b	8	4	DEFINITE_SPACE	f107r.36;f113v.14;f116r.15;f58r.32;f70r2.18;f73r.22;f80v.42;f85r1.14	f20r.3;f43r.2;f79v.42;fRos.69	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
