external_axis	axis_class	representation	units	physical_folios	gain_vs_nuisance_bits	increment_vs_full_host_bits	positive_folios_vs_nuisance	semantic_role
STAR_OR_SKY	OBJECT_AXIS	RAW_CHAR3	332	19	-9.68539131443	-9.18607249443	11	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	FULL_PAGE_HOST	332	19	-0.499318819996	0	14	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	STRIP_FINAL1	332	19	-14.2424086221	-13.7430898021	13	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	STRIP_FINAL2	332	19	-18.3272443601	-17.8279255401	12	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	STRIP_FIRST1	332	19	-11.5935204336	-11.0942016136	15	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	INTERIOR	332	19	-16.6492379336	-16.1499191136	13	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	EDGE1_ONLY	332	19	17.81962393	18.31894275	14	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	-4.24755490273	-3.74823608273	12	UNASSIGNED
STAR_OR_SKY	OBJECT_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	-1.8809580126	-1.38163919261	13	UNASSIGNED
FIGURE	OBJECT_AXIS	RAW_CHAR3	332	19	27.0052898239	1.0022692602	18	UNASSIGNED
FIGURE	OBJECT_AXIS	FULL_PAGE_HOST	332	19	26.0030205637	0	17	UNASSIGNED
FIGURE	OBJECT_AXIS	STRIP_FINAL1	332	19	10.904396796	-15.0986237676	17	UNASSIGNED
FIGURE	OBJECT_AXIS	STRIP_FINAL2	332	19	8.49713078597	-17.5058897777	16	UNASSIGNED
FIGURE	OBJECT_AXIS	STRIP_FIRST1	332	19	12.2732312732	-13.7297892905	17	UNASSIGNED
FIGURE	OBJECT_AXIS	INTERIOR	332	19	3.71623803847	-22.2867825252	17	UNASSIGNED
FIGURE	OBJECT_AXIS	EDGE1_ONLY	332	19	27.1930772966	1.19005673294	16	UNASSIGNED
FIGURE	OBJECT_AXIS	CORE_PLUS_EDGE1_SEPARATE	332	19	17.6739596368	-8.32906092681	17	UNASSIGNED
FIGURE	OBJECT_AXIS	CORE_PLUS_EDGE2_SEPARATE	332	19	18.5114669636	-7.49155360003	17	UNASSIGNED
PLANT	OBJECT_AXIS	RAW_CHAR3	332	19	-2.95779890927	2.0006867908	15	UNASSIGNED
PLANT	OBJECT_AXIS	FULL_PAGE_HOST	332	19	-4.95848570007	0	13	UNASSIGNED
PLANT	OBJECT_AXIS	STRIP_FINAL1	332	19	-3.58349413444	1.37499156563	12	UNASSIGNED
PLANT	OBJECT_AXIS	STRIP_FINAL2	332	19	-5.4996781345	-0.54119243443	13	UNASSIGNED
PLANT	OBJECT_AXIS	STRIP_FIRST1	332	19	-6.04735823703	-1.08887253696	14	UNASSIGNED
