system	stability_measure	scope_type	scope	fixed_or_selected_class	support	physical_folios	endpoint_hits	endpoint_precision	expected_hits	expected_rate	rate_effect	local_poisson_binomial_p	leave_one_folio_min_effect	powered	distinct_selected_identities	modal_identity_fraction	interpretation
VOYNICH	FIXED_CLASS_EFFECT	REGISTER	HA	B3	58	20	32	0.5517241379310345	10.041738816738816	0.17313342787480718	0.3785907100562273	1.0704487799797748e-12	0.35274760592942406	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	REGISTER	HB	B3	33	13	22	0.6666666666666666	3.926767676767677	0.11899295990205082	0.5476737067646158	1.72492143376271e-15	0.4991466388018112	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	REGISTER	OA	B3	14	4	6	0.42857142857142855	1.5156565656565657	0.10826118326118327	0.32031024531024527	0.0010265103754005113	0.2765734265734266	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	REGISTER	OB	B3	32	10	29	0.90625	3.501984126984127	0.10943700396825397	0.796812996031746	7.603593552571394e-26	0.773525086025086	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	REGISTER	SB	B3	76	12	59	0.7763157894736842	8.16477688977689	0.1074312748654854	0.6688845146081988	1.06972755985276e-46	0.6487138654995798	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	HAND	1	B3	66	23	36	0.5454545454545454	10.90537518037518	0.16523295727841184	0.3802215881761336	8.896661689983232e-15	0.3577378089282851	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	HAND	2	B3	57	19	45	0.7894736842105263	6.518398268398268	0.11435786435786435	0.675115819852662	6.59401527170126e-36	0.6489262371615312	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	HAND	3	B3	86	15	65	0.7558139534883721	9.243817293817294	0.10748624760252667	0.6483277058858454	1.449632690976402e-49	0.6291366272616273	1	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	HAND	5	B3	3	2	1	0.3333333333333333	0.38333333333333336	0.1277777777777778	0.20555555555555552	0.34	-0.2	0	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
VOYNICH	FIXED_CLASS_EFFECT	HAND	@	B3	1	1	1	1.0	0.1	0.1	0.9	0.1	NA	0	1	1.0	FIXED_B3_CLASS_EFFECT_NOT_SELECTOR_STABILITY
AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY	TRAINING_SELECTED_CLASS_IDENTITY	HELD_FOLD	ALL	SUFFIX2:nj	18	NA	37	NA	NA	NA	NA	NA	NA	1	4	0.5	SELECTOR_IDENTITY_STABILITY_NOT_FIXED_CLASS_EFFECT
NUREMBERG_LETTERBOOKS:EXPANDED	TRAINING_SELECTED_CLASS_IDENTITY	HELD_FOLD	ALL	SUFFIX3:ijo	4	NA	132	NA	NA	NA	NA	NA	NA	1	2	0.75	SELECTOR_IDENTITY_STABILITY_NOT_FIXED_CLASS_EFFECT
NUREMBERG_LETTERBOOKS:REAL_DIPLOMATIC	TRAINING_SELECTED_CLASS_IDENTITY	HELD_FOLD	ALL	SUFFIX3:ijo	4	NA	132	NA	NA	NA	NA	NA	NA	1	2	0.75	SELECTOR_IDENTITY_STABILITY_NOT_FIXED_CLASS_EFFECT
