locus	page	physical_folio	register	section	currier	hand	group_index	group_count	token	frozen_wrapper	frozen_residual_host	base_host	outer_carrier	inner_d	cell	record_state	retained_line_complete	field_position	previous_state	following_state
f26r.10	f26r	f26	HB	H	B	2	2	5	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	CARRIER_STATE	CARRIER_STATE
f26r.4	f26r	f26	HB	H	B	2	7	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	OTHER
f26r.7	f26r	f26	HB	H	B	2	7	10	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	OPEN_FIELD_END	OTHER	EOS
f26r.8	f26r	f26	HB	H	B	2	1	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	BOS	DY_RESOLUTION
f31r.12	f31r	f31	HB	H	B	2	5	6	chedaiin	che	daiin	aiin	1	1	C1D1	CARRIER_STATE	1	FIELD_INTERNAL	CARRIER_STATE	AR_REFERENCE
f31v.11	f31v	f31	HB	H	B	2	1	8	saiin	s	aiin	aiin	0	0	C0D0	ENTRY_STATE	0	FIELD_START	BOS	AR_REFERENCE
f31v.3	f31v	f31	HB	H	B	2	2	11	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	PRECLOSE	OTHER	DY_RESOLUTION
f33r.4	f33r	f33	HB	H	B	2	1	13	taiin	t	aiin	aiin	0	0	C0D0	ENTRY_STATE	0	FIELD_START	BOS	CARRIER_STATE
f33r.7	f33r	f33	HB	H	B	2	3	9	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	CARRIER_STATE	OTHER
f33r.7	f33r	f33	HB	H	B	2	5	9	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	OTHER	CARRIER_STATE
f33v.7	f33v	f33	HB	H	B	2	5	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	DY_RESOLUTION	OTHER
f33v.9	f33v	f33	HB	H	B	2	3	14	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	FIELD_INTERNAL	OTHER	CARRIER_STATE
f33v.9	f33v	f33	HB	H	B	2	11	14	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	FIELD_INTERNAL	AR_REFERENCE	OTHER
f34r.12	f34r	f34	HB	H	B	2	2	13	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	OPEN_FIELD_END	AR_REFERENCE	EOS
f34r.4	f34r	f34	HB	H	B	2	2	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	CARRIER_STATE
f34r.4	f34r	f34	HB	H	B	2	4	10	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	CARRIER_STATE	CARRIER_STATE
f34v.2	f34v	f34	HB	H	B	2	6	11	chdaiin	ch	daiin	aiin	1	1	C1D1	CARRIER_STATE	1	FIELD_START	DY_RESOLUTION	OTHER
f34v.2	f34v	f34	HB	H	B	2	10	11	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	AR_REFERENCE	OL_STATE
f34v.4	f34v	f34	HB	H	B	2	5	10	chdaiin	ch	daiin	aiin	1	1	C1D1	CARRIER_STATE	1	FIELD_INTERNAL	AR_REFERENCE	AR_REFERENCE
f34v.4	f34v	f34	HB	H	B	2	9	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	CARRIER_STATE	OTHER
f39r.14	f39r	f39	HB	H	B	2	1	11	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	BOS	CARRIER_STATE
f39r.14	f39r	f39	HB	H	B	2	5	11	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	OL_STATE	CARRIER_STATE
f39r.14	f39r	f39	HB	H	B	2	8	11	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	OTHER	OT_AL_LOCAL
f39r.9	f39r	f39	HB	H	B	2	5	5	shdaiin	sh	daiin	aiin	1	1	C1D1	CARRIER_STATE	1	OPEN_FIELD_END	Q_OUTER_STATE	EOS
f39v.14	f39v	f39	HB	H	B	2	2	4	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	AR_REFERENCE	OTHER
f39v.3	f39v	f39	HB	H	B	2	1	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	BOS	CARRIER_STATE
f39v.5	f39v	f39	HB	H	B	2	7	13	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	FIELD_INTERNAL	OTHER	OTHER
f39v.9	f39v	f39	HB	H	B	2	2	12	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	FIELD_INTERNAL	AR_REFERENCE	AL_STATE
f40r.4	f40r	f40	HB	H	B	2	2	10	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	PRECLOSE	OTHER	DY_RESOLUTION
f40r.9	f40r	f40	HB	H	B	2	1	9	taiin	t	aiin	aiin	0	0	C0D0	ENTRY_STATE	1	FIELD_START	BOS	OL_STATE
f40v.12	f40v	f40	HB	H	B	2	2	3	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	OTHER	OTHER
f40v.13	f40v	f40	HB	H	B	2	6	7	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	CARRIER_STATE
f40v.18	f40v	f40	HB	H	B	2	1	8	saiin	s	aiin	aiin	0	0	C0D0	ENTRY_STATE	1	FIELD_START	BOS	OTHER
f41r.9	f41r	f41	HB	H	B	5	7	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	DY_RESOLUTION	CARRIER_STATE
f41v.8	f41v	f41	HB	H	B	5	1	5	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	BOS	OL_STATE
f43r.10	f43r	f43	HB	H	B	2	8	11	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	DY_RESOLUTION
f43r.2	f43r	f43	HB	H	B	2	11	12	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	SINGLE	DY_RESOLUTION	EOS
f43v.16	f43v	f43	HB	H	B	2	3	7	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	OTHER	OL_STATE
f43v.8	f43v	f43	HB	H	B	2	6	9	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	DY_RESOLUTION
f46r.12	f46r	f46	HB	H	B	2	2	12	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	ENTRY_STATE	CARRIER_STATE
f46r.12	f46r	f46	HB	H	B	2	6	12	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	1	FIELD_INTERNAL	OTHER	CARRIER_STATE
f46v.4	f46v	f46	HB	H	B	2	10	13	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	SINGLE	DY_RESOLUTION	EOS
f46v.5	f46v	f46	HB	H	B	2	7	13	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	AL_STATE	CARRIER_STATE
f48v.1	f48v	f48	HB	H	B	5	5	13	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	PRECLOSE	OTHER	DY_RESOLUTION
f48v.5	f48v	f48	HB	H	B	5	3	10	taiin	t	aiin	aiin	0	0	C0D0	ENTRY_STATE	1	FIELD_START	DY_RESOLUTION	ED_MEDIUM
f55r.12	f55r	f55	HB	H	B	2	5	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	OTHER	OTHER
f55r.13	f55r	f55	HB	H	B	2	3	7	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	1	FIELD_INTERNAL	OTHER	OT_OL_LOCAL
f55r.2	f55r	f55	HB	H	B	2	3	12	aiin	NONE	aiin	aiin	0	0	C0D0	OTHER	0	PRECLOSE	OTHER	DY_RESOLUTION
f55r.4	f55r	f55	HB	H	B	2	1	10	daiin	d	aiin	aiin	0	1	C0D1	ENTRY_STATE	0	FIELD_START	BOS	OTHER
