entry_number	entry_title	morgan_folio	morgan_catalogue_title	catalogue_url	annotation_provenance	access_or_setting	non_generic_water_system	specific_use_action	body_condition_cue	bed_or_departure_narrative	neutral_visual_evidence
1	Sudatoria	2r	Sudatorium	https://ica.themorgan.org/manuscript/page/1/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	1	entrances and small buildings; lake and water collection; reclining and approaching figures
2	Sulfatara	3r	Sulphatura	https://ica.themorgan.org/manuscript/page/2/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	0	hexagonal well between hills; figures test or touch water
3	Bulla	4r	Bulla	https://ica.themorgan.org/manuscript/page/3/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	1	1	1	0	fountain issues from hill; water collected in jug; figure rubs head
4	Astrunis	5r	Astrumis	https://ica.themorgan.org/manuscript/page/4/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	1	1	0	figure rubs head and another drinks; otherwise generic enclosed pool
5	Juncare	6r	Iuncara	https://ica.themorgan.org/manuscript/page/5/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	0	0	0	1	1	reclining and seated figures in tents or small buildings above generic bath
6	Balneolum	7r	Plage (Balneolum)	https://ica.themorgan.org/manuscript/page/6/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	1	travelers approach tents and bath entrance; sea visible; figure removes clothing
7	Foris Cripte	8r	Foris Cripte	https://ica.themorgan.org/manuscript/page/7/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	0	0	0	bathhouse on hillside with water flowing to the right
8	Petra	9r	Petra	https://ica.themorgan.org/manuscript/page/8/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	0	exterior fountain and wellhead; figures draw and drink water
9	Calatura	10r	Calatura	https://ica.themorgan.org/manuscript/page/9/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	0	1	1	three reclining figures in hilltop tents above generic bath
10	Subvenit Homini	11r	Subvenit Homini	https://ica.themorgan.org/manuscript/page/10/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	1	1	1	caves on hillside; reclining figure receives drink; pouring and back rubbing
11	Sancta Anastasia	12r	Sancte Anastasie	https://ica.themorgan.org/manuscript/page/11/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	1	1	tent beds; figures pour water and dig toward underground water
12	Cantarellus	13r	Cantarellus	https://ica.themorgan.org/manuscript/page/12/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	1	1	0	0	pool at water edge with two stair approaches and entering figure
13	Prato	14r	De Prato	https://ica.themorgan.org/manuscript/page/13/77063	EXISTING_HUMAN_ANNOTATION_NORMALIZED	1	0	1	1	1	figures in beds; walking figures enter cave and descend stairs
