control_id	held_folio	target_host_cases	zero_recurrence_cases	donor_events	tier_0_events	tier_1_events	tier_2_events	tier_3_events	tier_4_events
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F01	613	364	4337	1393	0	0	81	2863
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F02	325	166	4505	1222	0	0	81	3202
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F03	449	214	4590	1527	0	0	83	2980
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F04	421	194	4501	1477	0	0	88	2936
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F05	461	244	4244	1305	1	0	69	2869
LATIN_SCHOLASTIC_GRAPHEMATIC	F:LATIN_SCHOLASTIC_GRAPHEMATIC:F06	631	388	4304	1386	1	0	77	2840
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F01	434	267	3126	790	4	0	93	2239
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F02	365	209	3051	720	3	0	84	2244
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F05	592	413	3312	861	6	0	97	2348
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F06	175	99	2747	475	3	0	39	2230
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F07	602	400	3356	946	3	0	77	2330
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F08	497	297	3395	987	3	0	81	2324
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F09	380	225	3147	767	2	0	91	2287
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F10	439	248	3456	947	4	0	75	2430
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F11	507	303	3339	911	4	0	101	2323
LATIN_MEDICAL_GRAPHEMATIC	F:LATIN_MEDICAL_GRAPHEMATIC:F12	425	274	3163	728	2	0	73	2360
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F01	456	241	2779	1149	10	0	135	1485
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F02	611	410	2748	1162	9	0	125	1452
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F03	84	45	1527	427	8	0	65	1027
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F04	515	298	2955	1299	13	0	113	1530
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F05	615	374	2795	1221	10	0	123	1441
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F06	553	327	2909	1263	12	0	122	1512
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F07	469	270	2699	1115	13	0	115	1456
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F08	477	275	2727	1198	9	0	120	1400
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F09	571	337	2852	1290	12	0	116	1434
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F10	294	164	2505	953	8	0	63	1481
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F11	441	271	2715	1071	10	0	121	1513
LATIN_15C_GRAPHEMATIC	F:LATIN_15C_GRAPHEMATIC:F12	469	268	2731	1079	9	0	121	1522
VOYNICH_REFERENCE	f1	13	1	2093	463	75	149	272	1134
VOYNICH_REFERENCE	f10	33	5	3015	942	154	179	173	1567
VOYNICH_REFERENCE	f100	21	4	2550	421	94	141	309	1585
VOYNICH_REFERENCE	f102	33	7	2049	404	97	93	138	1317
VOYNICH_REFERENCE	f103	79	12	4684	1471	408	431	399	1975
VOYNICH_REFERENCE	f104	77	20	4578	1331	351	368	370	2158
VOYNICH_REFERENCE	f105	97	25	4798	1274	367	440	435	2282
VOYNICH_REFERENCE	f106	99	19	5026	1537	409	486	421	2173
VOYNICH_REFERENCE	f107	93	18	5060	1581	428	485	418	2148
VOYNICH_REFERENCE	f108	103	23	4521	1343	396	383	295	2104
VOYNICH_REFERENCE	f11	19	3	2036	341	76	105	139	1375
VOYNICH_REFERENCE	f111	109	25	5095	1550	469	491	412	2173
VOYNICH_REFERENCE	f112	84	13	5128	1559	441	488	435	2205
VOYNICH_REFERENCE	f113	118	23	5051	1577	405	435	388	2246
VOYNICH_REFERENCE	f114	120	34	4793	1403	388	466	416	2120
VOYNICH_REFERENCE	f115	115	32	4891	1432	439	486	436	2098
VOYNICH_REFERENCE	f116	28	2	3027	871	176	215	205	1560
VOYNICH_REFERENCE	f13	22	4	1508	303	53	51	23	1078
VOYNICH_REFERENCE	f14	35	7	2380	377	97	121	151	1634
VOYNICH_REFERENCE	f15	49	7	3874	1118	233	332	322	1869
VOYNICH_REFERENCE	f16	39	10	2869	652	102	233	301	1581
VOYNICH_REFERENCE	f17	44	6	3220	819	154	258	309	1680
VOYNICH_REFERENCE	f18	43	6	3051	676	135	213	193	1834
VOYNICH_REFERENCE	f19	44	9	2939	664	126	184	141	1824
VOYNICH_REFERENCE	f2	46	9	3134	769	134	177	154	1900
VOYNICH_REFERENCE	f20	32	3	3433	811	169	259	334	1860
VOYNICH_REFERENCE	f21	33	5	3054	582	143	172	164	1993
VOYNICH_REFERENCE	f22	45	10	2977	946	134	188	270	1439
VOYNICH_REFERENCE	f23	29	4	2531	635	127	250	330	1189
VOYNICH_REFERENCE	f24	40	6	3325	831	182	307	362	1643
VOYNICH_REFERENCE	f25	16	1	1787	705	137	191	267	487
VOYNICH_REFERENCE	f26	31	2	2638	605	140	186	119	1588
VOYNICH_REFERENCE	f27	25	4	2523	764	161	182	182	1234
VOYNICH_REFERENCE	f28	38	2	3796	1046	185	299	338	1928
VOYNICH_REFERENCE	f29	27	2	3008	464	105	181	193	2065
VOYNICH_REFERENCE	f3	41	7	2411	630	144	120	126	1391
VOYNICH_REFERENCE	f30	45	8	2996	575	136	191	198	1896
VOYNICH_REFERENCE	f31	19	4	1806	327	140	141	83	1115
VOYNICH_REFERENCE	f32	36	2	2745	645	123	190	151	1636
VOYNICH_REFERENCE	f33	17	0	2541	852	142	261	328	958
VOYNICH_REFERENCE	f34	53	7	3549	726	191	216	212	2204
