edition	record_scope	supported_abstract_role_like	field_count
IT2a	BODY	INSTRUCTION_CLAUSE_LIKE	467
IT2a	BODY	RECORD_CLOSER_LIKE	123
IT2a	BODY	SHORT_ARGUMENT_LIKE	337
IT2a	OPEN	INSTRUCTION_CLAUSE_LIKE	245
IT2a	OPEN	SHORT_ARGUMENT_LIKE	274
IT2a	OPEN	UNRESOLVED_EDGE_CLASS	41
RF1b	BODY	INSTRUCTION_CLAUSE_LIKE	472
RF1b	BODY	RECORD_CLOSER_LIKE	116
RF1b	BODY	SHORT_ARGUMENT_LIKE	332
RF1b	OPEN	INSTRUCTION_CLAUSE_LIKE	244
RF1b	OPEN	SHORT_ARGUMENT_LIKE	269
RF1b	OPEN	UNRESOLVED_EDGE_CLASS	40
ZL3b	BODY	INSTRUCTION_CLAUSE_LIKE	476
ZL3b	BODY	RECORD_CLOSER_LIKE	121
ZL3b	BODY	SHORT_ARGUMENT_LIKE	329
ZL3b	OPEN	INSTRUCTION_CLAUSE_LIKE	249
ZL3b	OPEN	SHORT_ARGUMENT_LIKE	269
ZL3b	OPEN	UNRESOLVED_EDGE_CLASS	39
