locus	physical_folio	section	kind	token	page_host	object_tags	annotation_certainty	mixed_spatial_context_positive	raw_source_description	semantic_role	scope_class
f100v.3	f100	P	L	opchor	opchor	LABEL;PLANT	UNHEDGED	1	Labels in row of plants 1 (top). || plant <f100v>[1,3] - many dark leaves, dark roots. East of plant <f100v>[1,3], ground level. Kluge's 33A. Grove's L3.3.	UNASSIGNED	PHARMA_PLANT
f102v1.16	f102	P	L	ypcholdy	ypchol	LABEL;PLANT	UNHEDGED	1	Labels in row of plants 2 (bottom). || plant <f102v1>[2,1] - four-lobed truncated tuber with bunch of roots at the bottom; lanceolate leaves with serrated edges. East of plant <f102v1>[2,1], ground level. Grove's 30.	UNASSIGNED	PHARMA_PLANT
f102v1.18	f102	P	L	opchdard	opchdard	LABEL;PLANT	UNHEDGED	1	Labels in row of plants 2 (bottom). || West of plant <f102v1>[2,3], ground level. Grove's 15.	UNASSIGNED	PHARMA_PLANT
f102v1.6	f102	P	L	opchytcy	opchytcy	LABEL;PLANT	HEDGED	1	"Labels in row of plants 1 (top). || plant <f102v1>[1,5] - long pinnate leaves, ""bunch of fingers"" root East of plant <f102v1>[1,4], ground level. Grove's 16. The @'&Cy;' looks funny, and lies East of the presumed original binding fold."	UNASSIGNED	PHARMA_PLANT
f102v2.13	f102	P	L	opchy	opchy	LABEL;PLANT	UNHEDGED	1	Labels in plant row 2. || plant <f102v2>[2,4] - pine-like leaves, thin light stem East of plant <f102v2>[2,4], ground level. Grove's 17.	UNASSIGNED	PHARMA_PLANT
f67r2.31	f67	A	L	opcholdy	opchol	LABEL;STAR_OR_SKY	UNHEDGED	0	Circle of seven labels above some of the moons. || Moon at 02:30, light yellow. The gallows has half of a hook at the end of the horz arm, so it is halfway between @p and @w.	UNASSIGNED	OTHER
f67r2.41	f67	A	P	ytoeopchey	ytoeopchey	STAR_OR_SKY	UNHEDGED	0	Text lines in sectors with moons. || Sector at 06:30, line 1. Grove's T11.1.	UNASSIGNED	OTHER
f68v2.17	f68	A	R	ypchy	ypchy	LABEL;STAR_OR_SKY	UNHEDGED	0	Star labels in sectors between points of big central star. || Labels read outwards. Numbered clockwise, starting at 10:30. Sector at 10:30. Grove's L1.	UNASSIGNED	OTHER
f68v3.16	f68	C	L	opcholdg	opcholdg	LABEL	UNHEDGED	0	Labels inside top half of central circle. || Top right quarter of central circle.	UNASSIGNED	OTHER
f70v1.3	f70	Z	L	opchey	opchey	FIGURE;LABEL;STAR_OR_SKY	HEDGED	0	Labels in star/nymph band 1 (outer). || Label at 00:30. Kluge's 07A. Star/nymph at 00:00? <!S??> = star, 7 points	UNASSIGNED	OTHER
f89r2.3	f89	P	L	opchosam	opchosa	LABEL;PLANT	HEDGED	1	Labels in row of plants 1 (top). || plant <f89r2>[1,2] dark roots, flowers?, grassy at base of stem East of plant <f89r2>[1,2], below leaves. Latham's t.3. Kluge's 34A in <f89v>. Grove's X.8.	UNASSIGNED	PHARMA_PLANT
