feature_id	feature_name	support_status	score_eligible	frozen_value_or_parameters	primary_source_ids	exact_locator	generic_prevalence	cultural_specificity_prior	exclusion_or_caveat
A65_F01	Twelve zodiac-sign chapters	SUPPORTED	YES	12	TITUS_A65_TEXT;NPLG_SHANIDZE_1975	TITUS chapters 1-12, edition pp.16-34	COMMON_MEDIEVAL	NEAR_ZERO	System count only; no Voynich string receives a sign name
A65_F02	Thirty degrees per zodiac sign	SUPPORTED	YES	30_PER_SIGN	TITUS_A65_TEXT	Aries edition p.16 lines 6-7 and repeated 10/20/30 endings	COMMON_MEDIEVAL	NEAR_ZERO	No Voynich position is assumed to be a numbered degree
A65_F03	Three ten-degree subdivisions per sign	SUPPORTED	YES	3_BY_10_PER_SIGN	TITUS_A65_TEXT	Aries edition p.17 lines 30-34 and corresponding sign passages	COMMON_MEDIEVAL	NEAR_ZERO	Decan-like architecture only
A65_F04	Seven luminaries or heavenly bodies	SUPPORTED	YES	7	TITUS_A65_TEXT;ABULADZE_GIUNASHVILI_2021	Tract title; Pro Georgia 31 pp.185-186	COMMON_MEDIEVAL	NEAR_ZERO	No Voynich seven-set is assigned planet or weekday names
A65_F05	Ordered lunar-night rise/set schedule	SUPPORTED	YES	ORDERED_28_NIGHTS	TITUS_A65_TEXT	Lunar section edition pp.35-36, nights 1-28	REGIONALLY_ENRICHED	LOW	An ordered schedule, not a documented A-65 circular diagram
A65_F06	Alternating odd/even red-black lunar-night presentation	SUPPORTED	YES	ODD_RED_EVEN_BLACK_OVER_28	TITUS_A65_TEXT	Edition p.36 note n.1 after night 28	UNKNOWN	UNKNOWN	Do not identify red/black with Voynich LONG/SHORT; no prevalence denominator frozen
A65_F07	Sign-specific fortunate-degree sets	SUPPORTED_WITH_DECLARED_GAPS	YES	ARIES=19;TAURUS=3,14,16,27;GEMINI=11;CANCER=EXCLUDED_AMBIGUOUS;LEO=2,3,5,12,20;VIRGO=3,12,20;LIBRA=3,5,21;SCORPIO=7,12,20;SAGITTARIUS=13,20;CAPRICORN=EXCLUDED_NONE_STATED;AQUARIUS=7,16,17,20;PISCES=12,20	TITUS_A65_TEXT	Edition pp.17-34 sign-final fortunate-degree clauses	POSSIBLY_A65_SPECIFIC	MEDIUM_UNKNOWN	Only ten explicit clear sets score; exact lists may be Arabic-recension rather than Georgian-specific
A65_F08	Sign element direction quality and three-part ruler classifications	SUPPORTED_PROFILE_ONLY	PROFILE_ONLY	ELEMENT;DIRECTION;DAY_NIGHT;SEX;HOT_COLD;WET_DRY;THREE_PART_RULERS	TITUS_A65_TEXT	Sign chapters edition pp.16-34	COMMON_MEDIEVAL	NEAR_ZERO	No specific Sun/Moon diagonal opposition is supplied for f67v2
A65_F09	Authorial circular or tabular topology in A-65	UNSUPPORTED	NO	NONE	COMST_2015;TITUS_A65_TEXT	Sources establish illustrations but no homologous circular/table topology	UNKNOWN	UNKNOWN	Excluded from scoring
A65_F10	Additional independent repeated numeric hierarchy	UNSUPPORTED	NO	NONE	SOURCE_AUDIT	No independent hierarchy beyond F01-F08 frozen before target scoring	UNKNOWN	UNKNOWN	Excluded to prevent double-counting
