stratum	rank	host_id	host	total_occurrences	half0_occurrences	half1_occurrences	frequency_block	claim_state
HERBAL_A	0	H055eebf601617046	aiin	302	71	231	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	1	Hacac86c0e609ca90	l	279	85	194	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	2	H7175517a370b5cd2	or	237	80	157	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	3	Ha1fce4363854ff88	y	225	52	173	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	4	H65c74c15a686187b	o	171	37	134	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	5	H18ac3e7343f01689	d	91	35	56	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	6	H4bb780f4353af3b6	chy	77	19	58	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	7	H043a718774c572bd	s	68	29	39	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	8	Had386158f5afc89b	cthy	68	28	40	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_A	9	Hab5b62081b1d305e	ar	59	21	38	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	0	Ha1fce4363854ff88	y	108	31	77	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	1	H2689367b205c16ce	ok	95	28	67	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	2	H055eebf601617046	aiin	62	26	36	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	3	Hacac86c0e609ca90	l	53	16	37	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	4	Hab5b62081b1d305e	ar	51	15	36	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	5	H7175517a370b5cd2	or	50	18	32	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	6	H65c74c15a686187b	o	37	11	26	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	7	H0a19b4727d1fbd3a	ot	31	8	23	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	8	H3f79bb7b435b0532	e	31	7	24	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
HERBAL_B	9	H8254c329a92850f6	k	31	9	22	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	0	H2689367b205c16ce	ok	314	196	118	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	1	Ha1fce4363854ff88	y	241	171	70	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	2	H055eebf601617046	aiin	207	117	90	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	3	H0a19b4727d1fbd3a	ot	205	112	93	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	4	Hacac86c0e609ca90	l	189	121	68	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	5	H3f79bb7b435b0532	e	135	100	35	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	6	H18ac3e7343f01689	d	130	94	36	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	7	Hab5b62081b1d305e	ar	129	75	54	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	8	H99fa2a55212dbc31	okeey	120	91	29	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
STARS_RECIPE_B	9	H174023d6298d8ced	okee	111	82	29	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	0	Hacac86c0e609ca90	l	57	18	39	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	1	H7175517a370b5cd2	or	35	5	30	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	2	H055eebf601617046	aiin	33	13	20	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	3	H65c74c15a686187b	o	26	7	19	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	4	Ha1fce4363854ff88	y	21	11	10	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	5	Hafebe00901ad67dd	okeol	17	5	12	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	6	H6351825030155836	al	16	10	6	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	7	H2bdd94c004581aa9	ey	14	4	10	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	8	H2689367b205c16ce	ok	10	6	4	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
PHARMA_A	9	He3a041c293621f94	oky	10	4	6	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	0	H2689367b205c16ce	ok	290	198	92	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	1	Hacac86c0e609ca90	l	285	202	83	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	2	Ha1fce4363854ff88	y	215	166	49	0	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	3	H3f79bb7b435b0532	e	187	163	24	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	4	Hb13c0ea15587743a	oke	107	95	12	1	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	5	H174023d6298d8ced	okee	101	76	25	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	6	H0a19b4727d1fbd3a	ot	100	59	41	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	7	H6351825030155836	al	82	72	10	2	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	8	H27a84712e4b22c41	ee	74	56	18	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
BIOLOGICAL_B	9	H055eebf601617046	aiin	73	61	12	3	OPAQUE_CAPACITY_SELECTED_HOST_NO_LEXEME_OR_MEANING
