page_host	gdt296_classification	events	folios	renderer_types	raw_surface_types	renderer_to_surface_function	surface_to_renderer_function	within_host_bijection	dominant_renderer_tuple	dominant_raw_token	dominant_events	dominant_share	held_renderer_top1	held_whole_surface_top1_equivalent	strict_single_surface
lche	CANONICAL_RENDERER_CANDIDATE	42	18	1	1	1	1	1	NONE|NONE|0|NONE|1|0	lchedy	42	1.000000000000	1.000000000000	1.000000000000	1
cthol	CANONICAL_RENDERER_CANDIDATE	30	19	2	2	1	1	1	NONE|NONE|0|NONE|0|0	cthol	29	0.966666666667	0.966666666667	0.966666666667	0
cthor	CANONICAL_RENDERER_CANDIDATE	20	15	2	2	1	1	1	NONE|NONE|0|NONE|0|0	cthor	19	0.950000000000	0.950000000000	0.950000000000	0
okee	CANONICAL_RENDERER_CANDIDATE	126	25	5	5	1	1	1	q|NONE|0|NONE|1|0	qokeedy	99	0.785714285714	0.785714285714	0.785714285714	0
okeey	CANONICAL_RENDERER_CANDIDATE	115	29	4	4	1	1	1	q|NONE|0|NONE|0|0	qokeey	90	0.782608695652	0.782608695652	0.782608695652	0
s	VARIABLE_RENDERER	65	42	6	6	1	1	1	NONE|NONE|0|NONE|0|0	s	52	0.800000000000	0.800000000000	0.800000000000	0
oke	VARIABLE_RENDERER	121	30	7	7	1	1	1	q|NONE|0|NONE|1|0	qokedy	93	0.768595041322	0.768595041322	0.768595041322	0
oly	VARIABLE_RENDERER	29	21	5	5	1	1	1	NONE|NONE|0|NONE|0|0	oly	19	0.655172413793	0.655172413793	0.655172413793	0
okey	VARIABLE_RENDERER	40	22	5	5	1	1	1	q|NONE|0|NONE|0|0	qokey	25	0.625000000000	0.625000000000	0.625000000000	0
cthey	VARIABLE_RENDERER	21	17	5	5	1	1	1	NONE|NONE|0|NONE|0|0	cthey	13	0.619047619048	0.619047619048	0.619047619048	0
okol	VARIABLE_RENDERER	48	32	7	7	1	1	1	q|NONE|0|NONE|0|0	qokol	29	0.604166666667	0.604166666667	0.604166666667	0
eol	VARIABLE_RENDERER	50	29	9	9	1	1	1	sh|NONE|0|NONE|0|0	sheol	30	0.600000000000	0.600000000000	0.600000000000	0
okchy	VARIABLE_RENDERER	35	24	4	4	1	1	1	q|NONE|0|NONE|0|0	qokchy	21	0.600000000000	0.600000000000	0.600000000000	0
otey	VARIABLE_RENDERER	25	16	3	3	1	1	1	NONE|NONE|0|NONE|0|0	otey	15	0.600000000000	0.600000000000	0.600000000000	0
okch	VARIABLE_RENDERER	27	19	8	8	1	1	1	q|NONE|0|NONE|1|0	qokchdy	16	0.592592592593	0.592592592593	0.592592592593	0
ey	VARIABLE_RENDERER	82	38	4	4	1	1	1	sh|NONE|0|NONE|0|0	shey	48	0.585365853659	0.585365853659	0.585365853659	0
aiin	VARIABLE_RENDERER	436	84	9	9	1	1	1	d|NONE|0|NONE|0|0	daiin	249	0.571100917431	0.571100917431	0.571100917431	0
ain	VARIABLE_RENDERER	90	48	6	6	1	1	1	d|NONE|0|NONE|0|0	dain	50	0.555555555556	0.555555555556	0.555555555556	0
ky	VARIABLE_RENDERER	27	21	5	5	1	1	1	che|NONE|0|NONE|0|0	cheky	15	0.555555555556	0.555555555556	0.555555555556	0
olche	VARIABLE_RENDERER	22	13	4	4	1	1	1	NONE|NONE|0|NONE|1|0	olchedy	12	0.545454545455	0.545454545455	0.545454545455	0
aiiin	VARIABLE_RENDERER	21	15	5	5	1	1	1	NONE|NONE|0|NONE|0|0	aiiin	11	0.523809523810	0.523809523810	0.523809523810	0
an	VARIABLE_RENDERER	21	13	4	4	1	1	1	d|NONE|0|NONE|0|0	dan	11	0.523809523810	0.523809523810	0.523809523810	0
air	VARIABLE_RENDERER	43	27	7	7	1	1	1	d|NONE|0|NONE|0|0	dair	22	0.511627906977	0.511627906977	0.511627906977	0
ckhy	VARIABLE_RENDERER	72	41	5	5	1	1	1	ch|NONE|0|NONE|0|0	chckhy	36	0.500000000000	0.500000000000	0.500000000000	0
e	VARIABLE_RENDERER	234	42	18	18	1	1	1	sh|NONE|0|NONE|1|0	shedy	117	0.500000000000	0.500000000000	0.500000000000	0
eor	VARIABLE_RENDERER	20	17	5	5	1	1	1	sh|NONE|0|NONE|0|0	sheor	10	0.500000000000	0.500000000000	0.500000000000	0
octhy	VARIABLE_RENDERER	20	16	5	5	1	1	1	ch|NONE|0|NONE|0|0	chocthy	10	0.500000000000	0.500000000000	0.500000000000	0
ol	VARIABLE_RENDERER	56	35	8	8	1	1	1	NONE|OT|0|NONE|0|0	otol	27	0.482142857143	0.482142857143	0.482142857143	0
r	VARIABLE_RENDERER	40	25	7	7	1	1	1	NONE|NONE|0|NONE|0|0	r	19	0.475000000000	0.475000000000	0.475000000000	0
oky	VARIABLE_RENDERER	85	52	7	7	1	1	1	q|NONE|0|NONE|0|0	qoky	39	0.458823529412	0.458823529412	0.458823529412	0
yt	VARIABLE_RENDERER	33	17	6	6	1	1	1	NONE|NONE|0|aiin|0|0	ytaiin	15	0.454545454545	0.454545454545	0.454545454545	0
eey	VARIABLE_RENDERER	86	37	7	7	1	1	1	sh|NONE|0|NONE|0|0	sheey	36	0.418604651163	0.418604651163	0.418604651163	0
cthy	VARIABLE_RENDERER	100	50	5	5	1	1	1	NONE|NONE|0|NONE|0|0	cthy	41	0.410000000000	0.410000000000	0.410000000000	0
al	VARIABLE_RENDERER	157	52	18	18	1	1	1	d|NONE|0|NONE|0|0	dal	64	0.407643312102	0.407643312102	0.407643312102	0
chy	VARIABLE_RENDERER	62	32	13	13	1	1	1	q|OT|0|NONE|0|0	qotchy	22	0.354838709677	0.354838709677	0.354838709677	0
ar	VARIABLE_RENDERER	188	58	16	16	1	1	1	NONE|NONE|0|NONE|0|0	ar	63	0.335106382979	0.335106382979	0.335106382979	0
chol	VARIABLE_RENDERER	37	25	7	7	1	1	1	NONE|OT|0|NONE|0|0	otchol	12	0.324324324324	0.324324324324	0.324324324324	0
che	VARIABLE_RENDERER	49	22	10	10	1	1	1	t|NONE|0|NONE|1|0	tchedy	15	0.306122448980	0.306122448980	0.306122448980	0
olk	VARIABLE_RENDERER	41	20	14	14	1	1	1	NONE|NONE|0|ain|0|0	olkain	12	0.292682926829	0.292682926829	0.292682926829	0
eo	VARIABLE_RENDERER	38	24	11	11	1	1	1	sh|NONE|0|NONE|0|0	sheo	11	0.289473684211	0.289473684211	0.289473684211	0
chor	VARIABLE_RENDERER	32	19	7	7	1	1	1	d|NONE|0|NONE|0|0	dchor	9	0.281250000000	0.281250000000	0.281250000000	0
y	VARIABLE_RENDERER	499	78	26	26	1	1	1	che|NONE|1|NONE|0|0	chedy	132	0.264529058116	0.264529058116	0.264529058116	0
os	VARIABLE_RENDERER	23	20	9	9	1	1	1	ch|NONE|0|NONE|0|0	chos	6	0.260869565217	0.260869565217	0.260869565217	0
l	VARIABLE_RENDERER	489	82	35	35	1	1	1	NONE|O|0|NONE|0|0	ol	124	0.253578732106	0.253578732106	0.253578732106	0
