page	locus	visual_unit	human_local_comment	human_relation_tags	ownership_evidence	family_expression	gdt233_strict_prefix	gdt233_strict_residual	gdt237_fold_stable_prefix	fold_stable_residual	baca_exposed_sensitivity	baca_sensitivity_residual	formal_interpretation	semantic_value
f82r	f82r.10	V1	Label on cross-shaped tube. Grove's #11.	REL_EXPLICIT_ATTACHMENT	CONNECTED_COMPONENT	ACAB	ACAB	EMPTY	NONE	ACAB	0	ACAB	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.35	X1	Label near left waterfall. Grove's #3.	REL_PROXIMITY	PROXIMITY_ONLY	BACAB	NONE	BACAB	NONE	BACAB	1	B	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.38	X1	Label near right waterfall. Grove's #2.	REL_PROXIMITY	PROXIMITY_ONLY	BACACA	NONE	BACACA	NONE	BACACA	1	CA	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.34	N1	Top row, near nymph 1. Grove's #8.	REL_PROXIMITY	PROXIMITY_ONLY	AQAC	AQAC	EMPTY	NONE	AQAC	0	AQAC	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.36	N1	Top row, between nymph 2 and waterfall. Grove's #7.	REL_PROXIMITY	PROXIMITY_ONLY	AQAB	AQAB	EMPTY	AQAB		0	AQAB	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.37	N1	Top row, near to nymph 3. Grove's #6.	REL_PROXIMITY	PROXIMITY_ONLY	AQABBA	AQAB	BA	AQAB	BA	0	AQABBA	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.39	N1	Top row, near nymph 4. Grove's #5. Rene says that next-to-last char is really a @j but keep this char at all?? ???	REL_PROXIMITY	PROXIMITY_ONLY	AQAFABA	AQA	FABA	NONE	AQAFABA	0	AQAFABA	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.40	N1	Bottom row, below nymph 1 (small). Grove's #12.	REL_PROXIMITY	PROXIMITY_ONLY	CACACB	NONE	CACACB	NONE	CACACB	0	CACACB	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.41	N1	Bottom row, below nymph 2. Grove's #9.	REL_PROXIMITY	PROXIMITY_ONLY	ABQAQA	ABQA	QA	ABQA	QA	0	ABQAQA	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.42	N1	Bottom row, below nymphs 3 (tiny) and 4. Grove's #13.	REL_PROXIMITY	PROXIMITY_ONLY	CAQABA	NONE	CAQABA	NONE	CAQABA	0	CAQABA	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.43	N1	Bottom row, below nymph 5. Grove's #4.	REL_PROXIMITY	PROXIMITY_ONLY	BABAB	NONE	BABAB	NONE	BABAB	0	BABAB	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.44	N1	Bottom row, below nymph 6. Grove's #1.	REL_PROXIMITY	PROXIMITY_ONLY	ABAG	NONE	ABAG	NONE	ABAG	0	ABAG	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
f82r	f82r.45	N1	Bottom row, below nymph 7. Grove's #10.	REL_PROXIMITY	PROXIMITY_ONLY	AQKAC	NONE	AQKAC	NONE	AQKAC	0	AQKAC	LABEL_RENDERER_PLUS_OPAQUE_RESIDUAL	UNASSIGNED
