entry_number	title	record_class	identity	location_access	hydraulic_physical	indication	procedure_caution	outcome_testimony	source_line_start	evidence_summary	annotation_type
1	Sudatoria	BATH_RECORD	1	1	1	1	0	0	13	house without liquid; nearby lake; sweating and therapeutic effects	READABLE_SOURCE_ROLE_ANNOTATION
2	Sulfatara	BATH_RECORD	1	0	1	1	1	0	25	sulphur bath; indications; purgation before entry	READABLE_SOURCE_ROLE_ANNOTATION
3	Bulla	BATH_RECORD	1	0	1	1	1	0	37	boiling water and sounding rocks; wash/use directions; effects	READABLE_SOURCE_ROLE_ANNOTATION
4	Astrunis	BATH_RECORD	1	0	0	1	0	0	49	name followed by a list of affected body regions and conditions	READABLE_SOURCE_ROLE_ANNOTATION
5	Juncare	BATH_RECORD	1	1	0	1	0	0	61	bath at the shore; therapeutic effects	READABLE_SOURCE_ROLE_ANNOTATION
6	Balneolum	BATH_RECORD	1	1	1	1	1	0	62	shore and rock location; fountain; renew warm water; effects	READABLE_SOURCE_ROLE_ANNOTATION
7	Foris Cripte	BATH_RECORD	1	1	1	1	1	0	74	outside cave by sea; underground route and supplying source; use caution	READABLE_SOURCE_ROLE_ANNOTATION
8	Petra	BATH_RECORD	1	0	1	1	1	1	86	rock-named bath; drinking use; effects and witnessed outcome	READABLE_SOURCE_ROLE_ANNOTATION
9	Calatura	BATH_RECORD	1	0	0	1	1	0	98	indications plus repeated-entry advice	READABLE_SOURCE_ROLE_ANNOTATION
10	Subvenit Homini	BATH_RECORD	1	0	0	1	0	0	110	explicit naming statement followed by therapeutic effects	READABLE_SOURCE_ROLE_ANNOTATION
11	Sancta Anastasia	BATH_RECORD	1	0	1	1	1	0	122	hot water uncovered by digging; renew at source; effects	READABLE_SOURCE_ROLE_ANNOTATION
12	Cantarellus	BATH_RECORD	1	1	1	1	1	0	135	sea setting and built barrier; indications and prolonged-use caution	READABLE_SOURCE_ROLE_ANNOTATION
13	Prato	BATH_RECORD	1	1	0	1	1	0	147	difficult descending access; indications; post-use cold/drink caution	READABLE_SOURCE_ROLE_ANNOTATION
14	Tripergula	BATH_RECORD	1	1	1	1	1	0	159	lake and two-part house for clothes/water; effects and use advice	READABLE_SOURCE_ROLE_ANNOTATION
15	Arcus	BATH_RECORD	1	0	1	1	1	1	171	arch-derived name; indications and contraindication; witnessed case	READABLE_SOURCE_ROLE_ANNOTATION
16	Raynerius	BATH_RECORD	1	0	0	1	1	1	183	indications; sequential use advice; observed users	READABLE_SOURCE_ROLE_ANNOTATION
17	Ferris	BATH_RECORD	1	1	1	1	0	0	195	lake before house and iron-like physical description; indications	READABLE_SOURCE_ROLE_ANNOTATION
18	Silvia	BATH_RECORD	1	0	0	1	1	0	207	naming account; indications; repeated-use advice	READABLE_SOURCE_ROLE_ANNOTATION
19	Culma	BATH_RECORD	1	1	1	1	1	0	219	oblique route with guiding flame; indications; healthy-user caution	READABLE_SOURCE_ROLE_ANNOTATION
20	Trituli	BATH_RECORD	1	1	1	1	0	0	231	cave-house and figures; daily inflow split toward sea and return; effects	READABLE_SOURCE_ROLE_ANNOTATION
21	Arculus	BATH_RECORD	1	0	1	1	1	0	245	heat/flame description; effects; comparative use advice	READABLE_SOURCE_ROLE_ANNOTATION
22	Palumbare	BATH_RECORD	1	1	1	1	1	0	257	cave identity; indications; diet and drink constraints	READABLE_SOURCE_ROLE_ANNOTATION
23	Pugillus	BATH_RECORD	1	1	1	1	0	1	269	oblique access; tide and seven-person capacity; effects and narrated cure	READABLE_SOURCE_ROLE_ANNOTATION
24	Sanctus Georgius	BATH_RECORD	1	1	1	1	0	1	281	underground route and hidden water vein; effects and narrated outcome	READABLE_SOURCE_ROLE_ANNOTATION
25	Petroleo; Olivum	BATH_RECORD	1	1	1	1	0	0	293	location near Culma and oil-like discharge; therapeutic effects	READABLE_SOURCE_ROLE_ANNOTATION
26	Sol et Luna	BATH_RECORD	1	1	1	1	0	0	305	ruined or lost location; regal bath comparison; effects	READABLE_SOURCE_ROLE_ANNOTATION
27	Fons Episcopi	BATH_RECORD	1	0	1	1	1	0	317	fountain and restoration account; indications and dietary caution	READABLE_SOURCE_ROLE_ANNOTATION
28	Bracula	BATH_RECORD	1	0	0	1	1	0	329	indications plus repeated-entry instruction	READABLE_SOURCE_ROLE_ANNOTATION
29	Gimborosus	BATH_RECORD	1	1	1	1	0	0	341	eight-step descent and encircling water; indications	READABLE_SOURCE_ROLE_ANNOTATION
30	Spelunca	BATH_RECORD	1	1	1	1	1	0	353	cave and engineered access; dose/repetition instruction; effects	READABLE_SOURCE_ROLE_ANNOTATION
31	Dedicatio	META_DEDICATION	0	0	0	0	0	0	365	authorial dedication and book context; not a bath record	READABLE_SOURCE_ROLE_ANNOTATION
32	Subcellarium	BATH_RECORD	1	0	1	1	0	0	377	cellar-like bath and water description; therapeutic effects	READABLE_SOURCE_ROLE_ANNOTATION
33	De Cruce	BATH_RECORD	1	0	0	1	1	1	393	therapeutic effects; repeated use; witnessed recovery	READABLE_SOURCE_ROLE_ANNOTATION
