operation	domain_type	cells	hosts	held_domains	held_events	capacity
wrapper:ch>s	section	13	7	3	287	POWERED
wrapper:ch>s	register	13	7	3	286	POWERED
wrapper:ch>s	currier	14	7	2	382	POWERED
wrapper:ch>s	hand	15	7	3	323	POWERED
wrapper:d>s	section	19	8	4	543	POWERED
wrapper:d>s	register	19	8	4	531	POWERED
wrapper:d>s	currier	14	7	2	612	POWERED
wrapper:d>s	hand	19	8	3	602	POWERED
wrapper:NONE>q	section	75	23	5	1578	POWERED
wrapper:NONE>q	register	76	25	5	1642	POWERED
wrapper:NONE>q	currier	36	16	2	896	POWERED
wrapper:NONE>q	hand	70	25	3	1705	POWERED
