locus	page	physical_folio	register	hand	group_index	group_count	token	residual_host	final_member	physical_line_end
f14v.8	f14v	f14	HA	1	7	7	dam	am	B3	1
f15r.14	f15r	f15	HA	1	8	8	dom	om	B3	1
f16r.1	f16r	f16	HA	1	10	10	orom	orom	B3	1
f18r.5	f18r	f18	HA	1	6	6	chom	om	B3	1
f18v.8	f18v	f18	HA	1	7	7	ykam	ykam	B3	1
f19v.2	f19v	f19	HA	1	6	6	darom	arom	B3	1
f19v.8	f19v	f19	HA	1	6	6	dom	om	B3	1
f22r.10	f22r	f22	HA	1	10	10	oldam	oldam	B3	1
f22v.3	f22v	f22	HA	1	7	7	otam	otam	B3	1
f22v.8	f22v	f22	HA	1	5	5	dam	am	B3	1
f23v.8	f23v	f23	HA	1	6	9	dam	am	B3	0
f23v.8	f23v	f23	HA	1	9	9	dam	am	B3	1
f24r.16	f24r	f24	HA	1	1	5	sham	am	B3	0
f24r.16	f24r	f24	HA	1	4	5	dam	am	B3	0
f24r.8	f24r	f24	HA	1	3	6	om	om	B3	0
f24v.16	f24v	f24	HA	1	2	2	odaiim	odaiim	B3	1
f24v.7	f24v	f24	HA	1	4	4	olom	olom	B3	1
f3r.2	f3r	f3	HA	1	3	5	dam	am	B3	0
f3r.2	f3r	f3	HA	1	4	5	qotcham	otcham	B3	0
f3r.2	f3r	f3	HA	1	5	5	cham	am	B3	1
f3r.5	f3r	f3	HA	1	4	5	cham	am	B3	0
f3r.7	f3r	f3	HA	1	3	5	chom	om	B3	0
f3r.7	f3r	f3	HA	1	4	5	shom	om	B3	0
f3v.11	f3v	f3	HA	1	6	6	chom	om	B3	1
f3v.12	f3v	f3	HA	1	5	6	kcham	kcham	B3	0
f3v.3	f3v	f3	HA	1	1	7	okom	okom	B3	0
f3v.3	f3v	f3	HA	1	5	7	chom	om	B3	0
f3v.3	f3v	f3	HA	1	6	7	cheeykam	eykam	B3	0
f3v.7	f3v	f3	HA	1	2	5	otcham	otcham	B3	0
f3v.7	f3v	f3	HA	1	4	5	cfham	cfham	B3	0
f4r.7	f4r	f4	HA	1	4	4	cthom	cthom	B3	1
f42r.13	f42r	f42	HA	1	9	9	cheam	am	B3	1
f42r.14	f42r	f42	HA	1	7	7	dam	am	B3	1
f42r.7	f42r	f42	HA	1	5	6	cham	am	B3	0
f45r.3	f45r	f45	HA	1	9	9	cthom	cthom	B3	1
f45v.5	f45v	f45	HA	1	9	9	otytam	otytam	B3	1
f47r.10	f47r	f47	HA	1	9	9	dam	am	B3	1
f51r.9	f51r	f51	HA	1	3	7	daim	aim	B3	0
f51r.9	f51r	f51	HA	1	7	7	qoetam	oetam	B3	1
f51v.3	f51v	f51	HA	1	8	8	ytam	ytam	B3	1
f52r.3	f52r	f52	HA	1	5	7	qotam	otam	B3	0
f52r.5	f52r	f52	HA	1	8	8	ytchdam	ytchdam	B3	1
f54v.11	f54v	f54	HA	1	3	3	qokam	okam	B3	1
f54v.9	f54v	f54	HA	1	4	6	ytam	ytam	B3	0
f6r.12	f6r	f6	HA	1	3	5	cthom	cthom	B3	0
f6r.14	f6r	f6	HA	1	4	4	kaiim	kaiim	B3	1
f6r.6	f6r	f6	HA	1	4	7	ckham	ckham	B3	0
f6r.6	f6r	f6	HA	1	5	7	okom	okom	B3	0
f6v.21	f6v	f6	HA	1	3	3	octham	octham	B3	1
f6v.8	f6v	f6	HA	1	4	4	qokom	okom	B3	1
f6v.9	f6v	f6	HA	1	4	5	cthom	cthom	B3	0
f8v.10	f8v	f8	HA	1	5	5	cpharom	cpharom	B3	1
f8v.14	f8v	f8	HA	1	9	9	ckham	ckham	B3	1
f87r.14	f87r	f87	HA	1	7	7	daiim	aiim	B3	1
f93r.15	f93r	f93	HA	1	4	4	cheodam	odam	B3	1
f93r.2	f93r	f93	HA	1	1	11	ycham	ycham	B3	0
f93r.2	f93r	f93	HA	1	4	11	chotom	otom	B3	0
f93r.3	f93r	f93	HA	1	5	10	dam	am	B3	0
f26r.4	f26r	f26	HB	2	8	10	odam	odam	B3	0
f33v.11	f33v	f33	HB	2	4	4	oram	oram	B3	1
f33v.2	f33v	f33	HB	2	2	10	dam	am	B3	0
f33v.2	f33v	f33	HB	2	8	10	ytam	ytam	B3	0
f33v.2	f33v	f33	HB	2	9	10	otam	otam	B3	0
f33v.2	f33v	f33	HB	2	10	10	cham	am	B3	1
f34r.3	f34r	f34	HB	2	11	11	kam	kam	B3	1
f34r.4	f34r	f34	HB	2	9	10	dam	am	B3	0
f34v.2	f34v	f34	HB	2	11	11	oldam	oldam	B3	1
f34v.4	f34v	f34	HB	2	10	10	otam	otam	B3	1
f39r.14	f39r	f39	HB	2	10	11	chdam	dam	B3	0
f39r.14	f39r	f39	HB	2	11	11	qokam	okam	B3	1
f40r.9	f40r	f40	HB	2	9	9	daram	aram	B3	1
f40v.3	f40v	f40	HB	2	5	5	okam	okam	B3	1
f43v.13	f43v	f43	HB	2	8	10	cheetam	etam	B3	0
f43v.13	f43v	f43	HB	2	10	10	amam	amam	B3	1
f43v.7	f43v	f43	HB	2	7	10	otam	otam	B3	0
f46r.12	f46r	f46	HB	2	12	12	chckham	ckham	B3	1
