locus	page	physical_folio	section	currier	hand	group_index	group_count	token	stripped_prefix	residual_host	dy_closure	family_surface	record_state
f100r.22	f100r	f100	P	A	1	5	8	cphol	NONE	cphol	0	DAQKC	OL_STATE
f100r.22	f100r	f100	P	A	1	6	8	qotees	q	otees	0	LJA	Q_OUTER_STATE
f100r.22	f100r	f100	P	A	1	7	8	shey	sh	ey	0	ACJCA	CARRIER_STATE
f100r.24	f100r	f100	P	A	1	1	9	saiichor	s	aiichor	0	CAFKAC	ENTRY_STATE
f100r.24	f100r	f100	P	A	1	2	9	sheor	sh	eor	0	LJAC	CARRIER_STATE
f100r.24	f100r	f100	P	A	1	3	9	qockhody	q	ockho	1	DAUABA	DY_RESOLUTION
f100r.24	f100r	f100	P	A	1	4	9	odeor	NONE	odeor	0	ABJAC	OTHER
f100r.25	f100r	f100	P	A	1	1	10	sheor	sh	eor	0	LJAC	CARRIER_STATE
f100r.25	f100r	f100	P	A	1	2	10	qkeeody	q	keeo	1	DQKABA	DY_RESOLUTION
f100r.25	f100r	f100	P	A	1	3	10	chol	ch	ol	0	KAB	OL_STATE
f100r.25	f100r	f100	P	A	1	4	10	daiin	d	aiin	0	BAG	ENTRY_STATE
f100r.25	f100r	f100	P	A	1	5	10	ctheol	NONE	ctheol	0	UJAB	OL_STATE
f100r.25	f100r	f100	P	A	1	6	10	olcheol	NONE	olcheol	0	ABKJAB	OL_STATE
f100r.25	f100r	f100	P	A	1	7	10	cheky	che	ky	0	KJQA	CARRIER_STATE
f100r.25	f100r	f100	P	A	1	8	10	cheol	che	ol	0	KJAB	OL_STATE
f100r.25	f100r	f100	P	A	1	9	10	cheockhy	che	ockhy	0	KJAUA	CARRIER_STATE
f100r.25	f100r	f100	P	A	1	10	10	okeol	NONE	okeol	0	AQJAB	OL_STATE
f100r.27	f100r	f100	P	A	1	1	5	chol	ch	ol	0	KAB	OL_STATE
f100r.27	f100r	f100	P	A	1	2	5	cheol	che	ol	0	KJAB	OL_STATE
f100r.27	f100r	f100	P	A	1	3	5	cho	ch	o	0	KA	CARRIER_STATE
f100r.27	f100r	f100	P	A	1	4	5	chckheody	ch	ckheo	1	KUJABA	DY_RESOLUTION
f100r.27	f100r	f100	P	A	1	5	5	otolchey	NONE	otolchey	0	AQABKJA	OT_OL_LOCAL
f100v.15	f100v	f100	P	A	1	1	10	sor	s	or	0	CAC	ENTRY_STATE
f100v.15	f100v	f100	P	A	1	2	10	cheey	che	ey	0	KKA	CARRIER_STATE
f100v.15	f100v	f100	P	A	1	3	10	dair	d	air	0	BAF	ENTRY_STATE
f100v.15	f100v	f100	P	A	1	5	10	cheol	che	ol	0	KJAB	OL_STATE
f100v.15	f100v	f100	P	A	1	6	10	qoolkeey	q	oolkeey	0	DAABQKA	O_OL_LOCAL
f100v.15	f100v	f100	P	A	1	7	10	chol	ch	ol	0	KAB	OL_STATE
f100v.15	f100v	f100	P	A	1	8	10	cheey	che	ey	0	KKA	CARRIER_STATE
f100v.15	f100v	f100	P	A	1	9	10	qokeol	q	okeol	0	DAQJAB	OL_STATE
f100v.16	f100v	f100	P	A	1	1	10	ykeeol	NONE	ykeeol	0	AQKAB	OL_STATE
f100v.16	f100v	f100	P	A	1	2	10	chol	ch	ol	0	KAB	OL_STATE
