hypothesis	status	support	counterevidence	model_action	semantic_role
H1_PAGE_HOST_EXTERNAL_CONTENT	WEAKENED_NO_TRANSFER	GDT103 exposed panel +27.462 bits; GDT110 PAGE_HOST +2.864 bits on three contact folios	GDT109 -31.726 bits; GDT112 cross-frame exact-host -138.337; GDT073 cross-section behavior -61.992	RENAME_PAGE_HOST_TO_CODEWORD_BODY	UNASSIGNED
H2_O_OT_PRESERVES_HOST_CONTENT	NOT_SUPPORTED_BROAD_TAGS	O/OT placement effects transfer source-only	GDT112 CROSS_FRAME loses 138.337 bits on 88 of 92 folios	RETAIN_AS_PLACEMENT_FRAME_ONLY	UNASSIGNED
H3_STRIPPING_COMPILER_EXPOSES_CONTENT	FAILED_FOR_HOST_EDGE	Compiler-only external models generally weak	GDT106 stripping one final host character costs 67.675 bits versus full host	COUPLE_BODY_AND_EDGE_STATE	UNASSIGNED
H4_DY_PRE_POST_TRANSITION	FAILED_TESTED_TRANSITION_ALGEBRA	GDT020 coarse post-DY phase and GDT103 relation increments	GDT111 next host -1634.368; full transition 79.406 bits worse than previous host alone	DY_LICENSED_BY_PREVIOUS_EDGE	UNASSIGNED
H5_RIGHT_FAMILY_RENDERER	FORMALLY_SUPPORTED	GDT062 held register conditioning; GDT105 universal final-edge prediction	External relation increments are axis-specific and CONTACT/GAP does not transfer	RETAIN_REGISTER_HOST_CONDITIONED_RENDERER	UNASSIGNED
H6_WRAPPER_PRESERVES_CONTENT	WEAK_LOCAL_ONLY	GDT110 wrapper contact contrast +.433 in three mixed arrays	max-six p .235; GDT059 wrapper preservation mixed/negative on relation axes	RETAIN_ROUTER_NOT_CONTENT_PRESERVER	UNASSIGNED
H7_B3_CONTENT_NEUTRAL_CLOSE	SUPPORTED_NEGATIVE_CONTROL	GDT103 active-only increment -.338; GDT110 effect -.067	categorical absence encoding creates known artifact	RETAIN_OPTIONAL_CLOSE_STATE	UNASSIGNED
H8_BEHAVIOR_CLASSES_EXTERNAL_CONTENT	NOT_TRANSFERABLE	GDT069-071 postselected archived leads	GDT073 cross-section transfer -61.992 bits	RETAIN_FORMAL_CLASSES_ONLY	UNASSIGNED
H9_Q_D_BRANCH_ROUTERS	STRONGLY_FORMALLY_SUPPORTED	GDT086/GDT087/GDT091/GDT094: q-O early and d-Y late across tails, folios and registers	identical to strong first-character/string baseline	RETAIN_OUTER_ROUTER_COORDINATES	UNASSIGNED
H10_PAGE_LOCAL_CODEBOOK	STRONGLY_FORMALLY_SUPPORTED	GDT082/GDT083 page-local PAGE_HOST signal; page-conditioned root inventory	f86v5 concentration; external associations fail	MOVE_PUTATIVE_PAYLOAD_TO_PAGE_RECORD_LEVEL	UNASSIGNED
