rank	feature_family	feature_value	denominator	ha_count	ha_folios	ha_rate_per_1000	hb_count	hb_folios	hb_rate_per_1000	sb_count	sb_folios	sb_rate_per_1000	ob_count	ob_folios	ob_rate_per_1000	sa_count	sa_folios	sa_rate_per_1000	other_count	other_folios	other_rate_per_1000	shared_a_enrichment_log2	shared_other_b_specificity_log2	hb_sb_abs_log2_rate_difference	minimum_target_folio_support	same_hand3_support	hb_hand3_count	hb_hand3_folios	sb_hand3_count	sb_hand3_folios	hb_nonhand3_count	hb_nonhand3_folios	cross_hand_target_support	sa_cross_currier_sensitivity	lofo_min_a_enrichment_log2	lofo_min_other_b_specificity_log2	family_selector_bits	rank_score	formal_function_hint	classification
4	WRAPPER_TRANSITION	che>che	TRANSITION	3	3	1.121435437	12	9	11.003521127	42	11	10.133524082	20	9	5.326058717	3	1	13.513513514	11	5	20.246478873	3.175717510	0.927995741	0.118829280	9	YES	1	1	41	10	11	8	YES	PRESENT	2.987709626	0.739987857	5.491853096	7.366226706	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
5	RECORD_STATE	ED_MEDIUM	GROUP	2	2	0.639059305	16	11	12.462235650	123	11	25.432454695	46	11	10.287610619	0	0	1.655629139	0	0	0.730994152	4.285469273	0.276654959	1.029107813	11	YES	3	2	116	11	13	9	YES	ABSENT	4.036853724	0.028039410	3.584962501	7.347063553	FORMAL_PATTERN	A_RARE_BS_SHARED_WEAK_SPECIFICITY
7	STATE_TRANSITION	ED_MEDIUM>CARRIER_STATE	TRANSITION	0	0	0.160205062	4	3	3.961267606	25	6	6.080114449	5	5	1.428942582	0	0	1.930501931	0	0	0.880281690	4.627970524	1.471014219	0.618136314	3	YES	2	1	25	6	2	2	YES	ABSENT	3.874438301	0.717481997	6.000000000	7.161946062	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
10	CLOSED_FIELD_CLOSER	opch	FIELD	0	0	0.553097345	3	3	7.608695652	9	7	6.270627063	3	3	2.051582649	0	0	8.620689655	0	0	2.808988764	3.503004397	1.611872444	0.279039436	3	YES	2	2	9	7	1	1	YES	ABSENT	3.131525159	1.240393205	4.000000000	6.975357124	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
12	FIELD_SHAPE	CLOSED|LEN_3|AR_REFERENCE>DY_RESOLUTION	FIELD	2	2	2.765486726	7	6	16.304347826	14	8	9.570957096	2	2	1.465416178	1	1	25.862068966	0	0	2.808988764	1.791129784	2.707352753	0.768521628	6	NO	0	0	14	8	7	6	YES	PRESENT	1.590315219	2.506538188	5.129283017	6.921576646	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
14	STATE_TRANSITION	DY_RESOLUTION>AR_REFERENCE	TRANSITION	2	2	0.801025312	25	10	22.447183099	51	11	12.279446829	52	12	13.639906469	2	1	9.652509653	4	3	7.922535211	3.938253928	-0.151588181	0.870288841	10	YES	4	1	46	11	21	9	YES	PRESENT	3.741668192	-0.348173917	6.000000000	6.810952945	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
15	FIELD_SHAPE	OPEN|LEN_1|ED_MEDIUM>ED_MEDIUM	FIELD	0	0	0.553097345	3	3	7.608695652	11	8	7.590759076	6	3	3.810082063	0	0	8.620689655	0	0	2.808988764	3.778638840	0.994422091	0.003404993	3	NO	0	0	11	8	3	3	YES	ABSENT	3.367319998	0.583103248	5.129283017	6.771358434	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
16	FIELD_TEMPLATE	ED_MEDIUM>OPEN	FIELD	0	0	0.553097345	3	3	7.608695652	11	8	7.590759076	6	3	3.810082063	0	0	8.620689655	0	0	2.808988764	3.778638840	0.994422091	0.003404993	3	NO	0	0	11	8	3	3	YES	ABSENT	3.367319998	0.583103248	4.169925001	6.771358434	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
18	CLOSED_FIELD_CLOSER	otch	FIELD	0	0	0.553097345	7	6	16.304347826	10	7	6.930693069	6	4	3.810082063	0	0	8.620689655	0	0	2.808988764	3.647394307	0.863177558	1.234185200	6	YES	3	2	8	7	4	4	YES	ABSENT	3.311327790	0.527111040	4.000000000	6.700834186	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
20	STATE_TRANSITION	AR_REFERENCE>DY_RESOLUTION	TRANSITION	3	3	1.121435437	15	7	13.644366197	54	12	12.994754411	45	11	11.821252273	3	1	13.513513514	2	2	4.401408451	3.534510899	0.136546494	0.070376012	7	YES	6	2	50	12	9	5	YES	PRESENT	3.291888335	-0.106076070	6.000000000	6.635869387	FORMAL_PATTERN	A_RARE_BS_SHARED_WEAK_SPECIFICITY
