page_host_submotif	external_axis	feature_support_loci	positive_with_feature	negative_with_feature	positive_without_feature	within_folio_effect	local_permutation_p	max_search_p	positive_effect_folios	informative_folios	folio_contributions	leave_one_folio_effects	label	semantic_role	obvious_confounds
ry$	REL_ENCLOSURE	29	7	22	55	4.11543711422	0.00859828034393	0.698660267946	4	5	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.560000;f68:0.983051;f69:0.000000;f70:0.000000;f71:0.000000;f72:1.956522;f73:0.676471;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.060606;f99:0.000000	f100:4.115437;f102:4.115437;f57:4.115437;f65:4.115437;f67:3.555437;f68:3.132386;f69:4.115437;f70:4.115437;f71:4.115437;f72:2.158915;f73:3.438967;f75:4.115437;f76:4.115437;f77:4.115437;f78:4.115437;f80:4.115437;f82:4.115437;f83:4.115437;f88:4.115437;f89:4.176043;f99:4.115437	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ok	PLANT	123	30	93	112	4.05930576956	0.0505898820236	0.76124775045	5	7	f100:-0.000000;f102:0.277778;f57:0.000000;f65:0.000000;f67:-0.320000;f68:0.864407;f69:3.045455;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.454545;f89:-0.787879;f99:0.525000	f100:4.059306;f102:3.781528;f57:4.059306;f65:4.059306;f67:4.379306;f68:3.194899;f69:1.013851;f70:4.059306;f71:4.059306;f72:4.059306;f73:4.059306;f75:4.059306;f76:4.059306;f77:4.059306;f78:4.059306;f80:4.059306;f82:4.059306;f83:4.059306;f88:3.604760;f89:4.847185;f99:3.534306	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^yk	REL_PROXIMITY	31	17	14	258	3.89818069074	0.0425914817037	0.804439112178	6	4	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.160000;f68:1.372881;f69:0.340909;f70:2.024390;f71:0.000000;f72:0.000000;f73:0.000000;f75:-0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:3.898181;f102:3.898181;f57:3.898181;f65:3.898181;f67:3.738181;f68:2.525299;f69:3.557272;f70:1.873790;f71:3.898181;f72:3.898181;f73:3.898181;f75:3.898181;f76:3.898181;f77:3.898181;f78:3.898181;f80:3.898181;f82:3.898181;f83:3.898181;f88:3.898181;f89:3.898181;f99:3.898181	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^d$	REL_ENCLOSURE	12	6	6	56	3.70137876419	0.00959808038392	0.875224955009	3	5	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.340000;f68:2.644068;f69:0.000000;f70:0.878049;f71:0.000000;f72:-0.130435;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:-0.030303;f99:0.000000	f100:3.701379;f102:3.701379;f57:3.701379;f65:3.701379;f67:3.361379;f68:1.057311;f69:3.701379;f70:2.823330;f71:3.701379;f72:3.831814;f73:3.701379;f75:3.701379;f76:3.701379;f77:3.701379;f78:3.701379;f80:3.701379;f82:3.701379;f83:3.701379;f88:3.701379;f89:3.731682;f99:3.701379	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
in$	STAR_OR_SKY	14	13	1	287	3.66779661017	0.00479904019196	0.883823235353	2	2	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:3.600000;f68:0.067797;f69:0.000000;f70:0.000000;f71:0.000000;f72:-0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:3.667797;f102:3.667797;f57:3.667797;f65:3.667797;f67:0.067797;f68:3.600000;f69:3.667797;f70:3.667797;f71:3.667797;f72:3.667797;f73:3.667797;f75:3.667797;f76:3.667797;f77:3.667797;f78:3.667797;f80:3.667797;f82:3.667797;f83:3.667797;f88:3.667797;f89:3.667797;f99:3.667797	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^oc	REL_EXPLICIT_ATTACHMENT	18	8	10	94	3.43370481441	0.0105978804239	0.939612077584	4	6	f100:1.727273;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.000000;f68:0.355932;f69:-0.227273;f70:0.000000;f71:0.000000;f72:-0.152174;f73:0.911765;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.818182;f89:0.000000;f99:0.000000	f100:1.706432;f102:3.433705;f57:3.433705;f65:3.433705;f67:3.433705;f68:3.077773;f69:3.660978;f70:3.433705;f71:3.433705;f72:3.585879;f73:2.521940;f75:3.433705;f76:3.433705;f77:3.433705;f78:3.433705;f80:3.433705;f82:3.433705;f83:3.433705;f88:2.615523;f89:3.433705;f99:3.433705	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ot	REL_EXPLICIT_ATTACHMENT	82	16	66	86	3.34518640812	0.113777244551	0.953209358128	7	10	f100:0.000000;f102:0.666667;f57:0.000000;f65:0.000000;f67:0.000000;f68:-0.830508;f69:-0.340909;f70:0.000000;f71:0.000000;f72:1.934783;f73:-0.441176;f75:0.000000;f76:0.000000;f77:0.714286;f78:0.000000;f80:0.000000;f82:0.687500;f83:0.000000;f88:0.545455;f89:0.909091;f99:-0.500000	f100:3.345186;f102:2.678520;f57:3.345186;f65:3.345186;f67:3.345186;f68:4.175695;f69:3.686095;f70:3.345186;f71:3.345186;f72:1.410404;f73:3.786363;f75:3.345186;f76:3.345186;f77:2.630901;f78:3.345186;f80:3.345186;f82:2.657686;f83:3.345186;f88:2.799732;f89:2.436095;f99:3.845186	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
^ar	PLANT	47	16	31	126	3.27565827769	0.0559888022396	0.968806238752	5	7	f100:0.000000;f102:0.055556;f57:0.000000;f65:0.000000;f67:-0.480000;f68:0.915254;f69:2.318182;f70:0.000000;f71:0.000000;f72:0.000000;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:-0.318182;f89:0.484848;f99:0.300000	f100:3.275658;f102:3.220103;f57:3.275658;f65:3.275658;f67:3.755658;f68:2.360404;f69:0.957476;f70:3.275658;f71:3.275658;f72:3.275658;f73:3.275658;f75:3.275658;f76:3.275658;f77:3.275658;f78:3.275658;f80:3.275658;f82:3.275658;f83:3.275658;f88:3.593840;f89:2.790810;f99:2.975658	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
ol$	REL_ENCLOSURE	51	8	43	54	3.20920422255	0.0647870425915	0.97900419916	4	6	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.340000;f68:1.949153;f69:0.000000;f70:0.756098;f71:0.000000;f72:-0.391304;f73:-0.323529;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.878788;f99:0.000000	f100:3.209204;f102:3.209204;f57:3.209204;f65:3.209204;f67:2.869204;f68:1.260052;f69:3.209204;f70:2.453107;f71:3.209204;f72:3.600509;f73:3.532734;f75:3.209204;f76:3.209204;f77:3.209204;f78:3.209204;f80:3.209204;f82:3.209204;f83:3.209204;f88:3.209204;f89:2.330416;f99:3.209204	NO_SIGNAL	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
ary	REL_ENCLOSURE	20	5	15	57	3.09942520265	0.0175964807039	0.98700259948	3	3	f100:0.000000;f102:0.000000;f57:0.000000;f65:0.000000;f67:0.560000;f68:0.322034;f69:0.000000;f70:0.000000;f71:0.000000;f72:2.217391;f73:0.000000;f75:0.000000;f76:0.000000;f77:0.000000;f78:0.000000;f80:0.000000;f82:0.000000;f83:0.000000;f88:0.000000;f89:0.000000;f99:0.000000	f100:3.099425;f102:3.099425;f57:3.099425;f65:3.099425;f67:2.539425;f68:2.777391;f69:3.099425;f70:3.099425;f71:3.099425;f72:0.882034;f73:3.099425;f75:3.099425;f76:3.099425;f77:3.099425;f78:3.099425;f80:3.099425;f82:3.099425;f83:3.099425;f88:3.099425;f89:3.099425;f99:3.099425	WEAK	UNASSIGNED	ARCHIVED_AXIS;SECTION_PAGE_ECOLOGY;POSTSELECTED_SUBMOTIF
