world_view	scope	side	operation	selected_rank	distinct_hosts	exact_pair_types	synthetic_folios	transformed_occurrences	annotation_rank_adjustment
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	s	1	807	807	176	1294	-3.5730514889471725
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	w	2	55	55	157	84	-4.349024432421836
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	b	3	32	32	173	81	-2.5167237164579466
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	sb	4	15	15	164	18	-1.4374279666410192
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	ws	5	15	15	82	19	-2.6812854824846077
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	sw	6	14	14	76	16	-3.219155345997736
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	wu	7	14	14	78	21	-2.242645574015267
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	wa	8	10	10	31	14	-2.6201603059416394
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	wd	9	9	9	69	11	-2.393450218648631
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	wh	10	9	9	120	13	-1.693872826753703
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	wl	11	9	9	131	9	-1.8775452854870032
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	y	1	632	632	176	925	-2.636547188056323
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	k	2	382	382	176	521	2.7451816372196878
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	s	3	79	79	139	123	-4.706481846317012
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	a	4	38	38	98	72	-4.5809374919706
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	i	5	38	38	95	75	-4.436940952439006
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	e	6	36	36	107	71	-4.805772381219985
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	t	7	36	36	94	63	-4.52021586683615
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	m	8	29	29	96	57	-3.7018673461182647
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	b	9	28	28	97	71	-4.058563911552104
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	sy	10	26	26	55	29	-0.98286858556239
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	n	11	20	20	77	35	-3.181890604145647
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	c	12	16	16	76	49	-3.5145803705601697
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	s	1	808	808	176	1296	-3.5499020443462395
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	q	2	191	191	176	952	1.5560587753179047
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	d	3	167	167	175	640	-3.5222824430978865
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	o	4	137	137	176	652	-2.7363539115812596
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	sq	5	93	93	175	171	-1.7862251459012843
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	so	6	84	84	175	137	-1.6792263197932553
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	sd	7	75	75	175	130	-1.5629184887748944
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	do	8	61	61	153	118	-3.011141602064342
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	y	1	652	652	176	1174	-2.807053005280221
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	k	2	411	411	176	735	2.4986434622307403
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	s	3	207	207	176	1016	-5.390949617476568
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	t	4	164	164	175	995	-5.269417080959721
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	u	5	143	143	173	895	-4.787254793824555
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	r	6	134	134	175	558	-5.92700888914912
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	sy	7	92	92	173	171	-1.4387842016953178
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	ty	8	75	75	169	139	-1.223248510894567
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	uy	9	69	69	171	131	-0.9804457080967164
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	sk	10	55	55	168	92	2.7394013621327646
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	uk	11	47	47	161	75	2.7334587643434283
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	tk	12	46	46	154	77	2.737437092153419
