fold	left_operation	right_operation	complete_4_of_4_hosts	partial_3_of_4_hosts	partial_2_of_4_hosts	singleton_hosts	example_complete_hosts
Band2	ge	n	57	102	2037	16624	sproche;falle;tü;schribe;lasse
Band2	ge	e	27	104	1485	17204	riht;l;secʒ;b;werb
Band2	ge	en	31	98	1467	17224	vvart;wes;secʒ;b;recht
Band2	ge	s	5	40	1340	17435	walt;bott;kaufft;we;mein
Band2	ge	t	36	115	924	17745	ledig;wisʒe;warte;pet;wes
Band2	ge	er	2	28	843	17947	w;mein
Band2	ge	r	5	25	671	18119	meine;ta;sch;we;brüde
Band2	ge	l	0	17	595	18208	NONE
Band2	ge	et	5	40	580	18195	secʒ;richt;weis;main;wart
Band2	ge	st	3	25	542	18250	warte;be;we
Band2	ge	m	0	8	555	18257	NONE
Band2	ge	es	1	15	524	18280	w
Band2	v	n	39	78	1989	16714	veste;sproche;ver;alle;ergange
Band2	v	e	14	65	1440	17301	dien;vest;schuld;sorg;künd
Band2	v	en	26	67	1412	17315	pott;dien;antvvt;sloss;vest
Band2	v	s	7	30	1217	17566	as;a;er;va;vater
Band2	v	t	15	83	831	17891	dien;ver;stee;cʒiehe;höre
Band2	v	er	1	26	722	18071	v
Band2	v	r	6	28	535	18251	l;e;ve;sch;vo
Band2	v	l	2	12	468	18338	vo;vol
Band2	v	et	2	25	458	18335	künd;schreib
Band2	v	st	5	15	429	18371	e;schreib;ve;neme;schreibe
Band2	v	m	2	16	405	18397	no;o
Band2	v	es	0	9	403	18408	NONE
Band2	be	n	32	59	1934	16795	folhe;schribe;dunke;leibe;de
Band2	be	e	17	48	1380	17375	d;sloss;sorg;secʒ;dörfft
Band2	be	en	17	48	1360	17395	d;sloss;sorg;gang;secʒ
Band2	be	s	4	20	1153	17643	d;sunder;sund;der
Band2	be	t	17	51	772	17980	kenne;hab;stelle;rür;stee
Band2	be	er	3	15	650	18152	d;g;sund
Band2	be	r	1	23	470	18326	de
Band2	be	l	1	6	401	18412	sunder
Band2	be	et	4	17	373	18426	rür;g;richt;weis
Band2	be	st	1	21	343	18455	klag
Band2	be	m	0	11	339	18470	NONE
Band2	be	es	0	6	326	18488	NONE
Band2	ʒu	n	22	76	1881	16841	spreche;ʒuspreche;schike;finde;stee
Band2	ʒu	e	13	56	1329	17422	gesproch;helff;g;richt;schik
Band2	ʒu	en	10	59	1309	17442	gang;helff;beweis;richt;schik
Band2	ʒu	s	0	31	1095	17694	NONE
Band2	ʒu	t	2	50	723	18045	stee;sprech
Band2	ʒu	er	1	13	616	18190	u
Band2	ʒu	r	0	12	450	18358	NONE
Band2	ʒu	l	0	9	352	18459	NONE
Band2	ʒu	et	0	14	336	18470	NONE
Band2	ʒu	st	0	20	303	18497	NONE
Band2	ʒu	m	0	2	312	18506	NONE
Band2	ʒu	es	0	9	279	18532	NONE
Band2	cʒe	n	20	78	1893	16829	spreche;schick;vvisʒe;schike;kume
Band2	cʒe	e	5	37	1350	17428	schick;stund;red;wiss;rat
Band2	cʒe	en	5	63	1308	17444	schick;recht;red;r;wiss
Band2	cʒe	s	1	20	1095	17704	mal
Band2	cʒe	t	1	27	748	18044	red
Band2	cʒe	er	0	8	610	18202	NONE
Band2	cʒe	r	0	6	442	18372	NONE
Band2	cʒe	l	0	9	337	18474	NONE
Band2	cʒe	et	0	6	331	18483	NONE
Band2	cʒe	st	0	10	303	18507	NONE
Band2	cʒe	m	0	1	294	18525	NONE
Band2	cʒe	es	0	9	259	18552	NONE
Band2	c	n	15	32	1961	16812	ʒeite;ʒuspreche;ʒollner;ʒeitlich;ʒurede
Band2	c	e	6	17	1389	17408	ʒeit;ʒugriff;ʒoll;ʒ;ʒug
Band2	c	en	5	18	1374	17423	ʒeit;h;ʒwey;ʒewiss;ʒwisch
Band2	c	s	6	10	1112	17692	ʒugriff;ʒollner;ʒolln;ʒoll;ʒolle
Band2	c	t	2	3	790	18025	ʒiehe;u
Band2	c	er	2	12	607	18199	ʒolln;ʒwey
Band2	c	r	1	10	438	18371	ʒu
Band2	c	l	0	7	339	18474	NONE
Band2	c	et	0	3	337	18480	NONE
Band2	c	st	2	2	315	18501	ʒeitlich;o
Band2	c	m	2	4	284	18530	ʒü;ʒu
Band2	c	es	1	1	272	18546	ʒoll
Band2	cʒu	n	11	82	1885	16842	gehöre;spreche;rihte;kume;bringe
Band2	cʒu	e	3	38	1352	17427	mal;g;gehör
Band2	cʒu	en	3	58	1313	17446	ge;antvvt;gehör
Band2	cʒu	s	0	12	1104	17704	NONE
Band2	cʒu	t	0	24	747	18049	NONE
Band2	cʒu	er	1	8	598	18213	einand
Band2	cʒu	r	0	11	423	18386	NONE
Band2	cʒu	l	0	8	325	18487	NONE
Band2	cʒu	et	1	3	327	18489	ge
Band2	cʒu	st	0	6	300	18514	NONE
Band2	cʒu	m	0	0	287	18533	NONE
Band2	cʒu	es	0	5	258	18557	NONE
Band2	vn	n	15	41	1910	16854	fridlich;schedlich;freuntlich;pillich;g
Band2	vn	e	11	32	1334	17443	schuld;b;pillich;g;frid
Band2	vn	en	5	43	1300	17472	schedlich;pillich;geuerlich;billich;gütlich
Band2	vn	s	7	27	1070	17716	freuntlich;recht;gelimpf;frid;gleich
Band2	vn	t	1	22	753	18044	schul
Band2	vn	er	5	16	575	18224	sich;d;billich;s;u
Band2	vn	r	1	15	414	18390	se
Band2	vn	l	3	13	313	18491	gut;güt;recht
Band2	vn	et	0	5	324	18491	NONE
Band2	vn	st	0	9	293	18518	NONE
Band2	vn	m	2	11	262	18545	gehorsa;o
Band2	vn	es	0	12	245	18563	NONE
Band2	ver	n	16	58	1898	16848	falle;schribe;nome;valle;antvvurte
Band2	ver	e	5	32	1348	17435	dien;antvvurt;schreib;nom;r
Band2	ver	en	13	38	1312	17457	dien;sloss;künd;hört;kund
Band2	ver	s	2	12	1098	17708	cʒiehen;schreiben
Band2	ver	t	7	29	745	18039	dien;vvisʒe;cʒiehe;höre;schreib
Band2	ver	er	0	12	592	18216	NONE
Band2	ver	r	0	7	430	18383	NONE
Band2	ver	l	0	1	334	18485	NONE
Band2	ver	et	2	14	314	18490	künd;schreib
Band2	ver	st	0	6	298	18516	NONE
Band2	ver	m	0	4	277	18539	NONE
Band2	ver	es	0	3	259	18558	NONE
Band2	an	n	12	41	1901	16866	d;de;gesehe;stee;gefange
Band2	an	e	9	26	1327	17458	ge;d;treff;genom;gefang
Band2	an	en	10	18	1315	17477	ge;d;treff;genom;gefang
Band2	an	s	2	12	1074	17732	d;der
Band2	an	t	4	24	718	18074	rüre;nem;neme;gee
Band2	an	er	2	4	578	18236	d;klag
Band2	an	r	2	13	393	18412	de;der
Band2	an	l	0	3	310	18507	NONE
Band2	an	et	2	6	297	18515	ge;nem
Band2	an	st	1	8	272	18539	neme
Band2	an	m	2	7	246	18565	d;ne
Band2	an	es	0	2	239	18579	NONE
Band2	er	n	15	24	1918	16863	lange;lasse;leng;b;funde
Band2	er	e	8	28	1317	17467	für;b;k;bott;lang
Band2	er	en	10	24	1302	17484	für;wirdig;gang;b;bott
Band2	er	s	1	17	1062	17740	tag
Band2	er	t	11	22	712	18075	für;b;kenne;füre;mane
Band2	er	er	0	13	559	18248	NONE
Band2	er	r	1	13	388	18418	b
Band2	er	l	0	6	297	18517	NONE
Band2	er	et	2	8	286	18524	für;weis
Band2	er	st	1	12	257	18550	lang
Band2	er	m	0	3	251	18566	NONE
Band2	er	es	0	4	228	18588	NONE
Band2	s	n	12	33	1898	16877	i;tet;eine;ende;tette
Band2	s	e	10	30	1310	17470	ein;i;tet;er;end
Band2	s	en	10	26	1298	17486	ein;tet;eyt;p;end
Band2	s	s	1	30	1039	17750	ein
Band2	s	t	5	26	708	18081	tet;in;u;wer;ich
Band2	s	er	2	18	550	18250	ein;eg
Band2	s	r	5	19	369	18427	ein;pey;e;eine;we
Band2	s	l	2	8	289	18521	a;e
Band2	s	et	1	5	286	18528	t
Band2	s	st	1	10	257	18552	we
Band2	s	m	2	15	223	18580	eine;u
Band2	s	es	0	7	217	18596	NONE
Band3	ge	n	44	77	1687	14295	falle;schribe;lasse;meine;warte
Band3	ge	e	30	81	1299	14693	riht;secʒ;b;cʒog;werb
Band3	ge	en	31	72	1241	14759	riht;wes;secʒ;cʒog;bott
Band3	ge	s	6	37	1076	14984	walt;bott;s;kaufft;we
Band3	ge	t	29	101	779	15194	kauff;wisʒe;warte;sag;wes
Band3	ge	er	2	25	705	15371	w;mein
Band3	ge	r	4	21	563	15515	meine;ta;sch;we
Band3	ge	et	8	32	481	15582	secʒ;b;richt;weis;main
