source_experiment	artifact_or_claim	layer	current_state	reason	surviving_content	permitted_use
GDT224	gdt224_field_role_projection.tsv	RECORD_RELATIVE_ROLE	SUSPENDED_UNAUDITED_COORDINATE	f80r and f82r paragraph starts were omitted from the record coordinate	underlying source groups and HPR2 formal fields	formal reconstruction only; no q13 role inference
GDT227	gdt227_q13_abstract_interlinear.tsv formal columns	FORMAL_PARSE	RETAINED_FORMAL_ONLY	PAGE_HOST/compiler/DY parsing does not require the erroneous role coordinate	source groups PAGE_HOST compiler cells DY and line ends	formal grammar and coverage analyses
GDT227	gdt227_q13_abstract_interlinear.tsv role columns	RECORD_RELATIVE_ROLE	SUSPENDED_UNAUDITED_COORDINATE	role positions inherit GDT224 record coordinates	none at semantic-role layer	historical hypothesis generation only
GDT227	gdt227_identity_role_atlas.tsv role purity	HOST_ROLE_ASSOCIATION	SUSPENDED_UNAUDITED_COORDINATE	role labels used to calculate purity inherit collapsed paragraphs	exact PAGE_HOST recurrence counts	identity recurrence only; not role purity
GDT228	multi-region short-argument lead	PAGE_VISUAL_TO_ROLE	SUSPENDED_UNAUDITED_COORDINATE	page role fractions are computed from GDT227 inherited roles	source-bound human visual feature manifest	visual inventory only; rescore after pagewise reconstruction
GDT229	gdt229_q13_semantic_role_lattice.tsv	SEMANTIC_INTERLINEAR	ARCHIVED_HYPOTHESIS_NOT_ACTIVE_INTERLINEAR	all q13 role bundles inherit an unaudited record coordinate and both audited discovery pages fail	candidate document-world vocabulary as abductive alternatives	historical hypothesis generation only; never as assigned roles
GDT229	gdt229_q13_record_role_summaries.tsv	RECORD_RELATIVE_ROLE	SUSPENDED_UNAUDITED_COORDINATE	record keys merge five f80r paragraphs into two and three f82r paragraphs into one	none at record-role layer	audit provenance only
GDT230	gdt230_content_host_atlas.tsv role rankings	HOST_ROLE_ASSOCIATION	SUSPENDED_UNAUDITED_COORDINATE	rankings use GDT229 assigned role bundles	PAGE_HOST surface inventory	host inventory only; no semantic placement ranking
GDT239	f82r visual label dossier	SOURCE_BOUND_VISUAL_LABEL	RETAINED	label loci ownership grades and source families do not use prose record coordinates	13 labels one connected-component and twelve proximity-only observations	formal label renderer and provenance-bound visual inventory
GDT239	f82r 16 short-like / 10 instruction-like prose counts	RECORD_RELATIVE_ROLE	WITHDRAWN_F82R	the eight scaffolded loci were placed in one merged record rather than three paragraphs	26 formal fields on eight loci	formal fields only; old role counts must not be quoted as current
GDT243	f82r long-versus-compact missingness result	FORMAL_EXTENT_ANALOGY	RETAINED_FORMAL_ANALOGY_ONLY	classification is stable across every feasible within-paragraph completion but externally length-driven	20 clause-like and 31 short-like formal extent analogies	formal architecture only; no operation ingredient or semantic role
GDT231-GDT238	graphical label prefix/relation renderer	LABEL_RENDERER	RETAINED	label-prefix transfer and relation-mode tests do not use q13 prose paragraph positions	partial section-specialized graphical-label prefix layer	formal rendering predictions; no object or relation meaning
GDT016/HPR2	PAGE_HOST compiler DY and line-end parses	FORMAL_PARSE	RETAINED	the parser is source-group local and independent of q13 role coordinates	all formal parsing outputs	formal grammar segmentation coverage and new corrected coordinates
GDT236	page-conditioned hybrid technical record compiler	GENERATOR_ARCHITECTURE	RETAINED_WITH_ROLE_LAYER_REMOVED	record/compiler and label-rendering evidence survives but the q13 recipe-like role scaffold does not	page/paragraph/field compiler plus unresolved content channel	leading formal generator; zero executable semantic assignments
