model	held_folio	events	dy_boundaries	nuisance_bits	model_bits	gain_bits
NUISANCE	f1	39	4	19.9682167326	19.9682167326	0
NUISANCE	f10	70	2	14.4721826792	14.4721826792	0
NUISANCE	f100	42	3	16.6312711732	16.6312711732	0
NUISANCE	f102	112	14	63.7082450915	63.7082450915	0
NUISANCE	f103	293	64	190.832805566	190.832805566	0
NUISANCE	f104	331	60	192.745888563	192.745888563	0
NUISANCE	f105	304	55	186.006028579	186.006028579	0
NUISANCE	f106	334	66	191.268199773	191.268199773	0
NUISANCE	f107	392	50	189.819832013	189.819832013	0
NUISANCE	f108	417	109	268.920557634	268.920557634	0
NUISANCE	f11	31	4	17.8321870766	17.8321870766	0
NUISANCE	f111	460	83	275.861042628	275.861042628	0
NUISANCE	f112	333	72	211.180404651	211.180404651	0
NUISANCE	f113	372	73	215.628707966	215.628707966	0
NUISANCE	f114	348	81	215.87299193	215.87299193	0
NUISANCE	f115	309	95	226.403161684	226.403161684	0
NUISANCE	f116	138	20	80.8718726047	80.8718726047	0
NUISANCE	f13	48	0	3.80139116426	3.80139116426	0
NUISANCE	f14	50	4	25.4570757226	25.4570757226	0
NUISANCE	f15	89	0	5.0608640827	5.0608640827	0
NUISANCE	f16	66	3	15.2554445489	15.2554445489	0
NUISANCE	f17	85	2	13.829663072	13.829663072	0
NUISANCE	f18	63	2	18.6529141578	18.6529141578	0
NUISANCE	f19	69	2	19.1776760645	19.1776760645	0
NUISANCE	f2	89	2	15.3903632726	15.3903632726	0
NUISANCE	f20	89	7	39.0976264943	39.0976264943	0
NUISANCE	f21	73	1	8.5502160736	8.5502160736	0
NUISANCE	f22	88	3	21.7379858923	21.7379858923	0
NUISANCE	f23	56	2	11.6070122202	11.6070122202	0
NUISANCE	f24	60	0	2.69802679317	2.69802679317	0
NUISANCE	f25	32	0	1.25706511181	1.25706511181	0
NUISANCE	f26	56	19	45.7803339477	45.7803339477	0
NUISANCE	f27	40	0	1.70268160888	1.70268160888	0
NUISANCE	f28	69	1	9.01883137325	9.01883137325	0
NUISANCE	f29	53	0	4.01597079068	4.01597079068	0
NUISANCE	f3	105	0	5.70983651071	5.70983651071	0
NUISANCE	f30	69	2	11.795983156	11.795983156	0
NUISANCE	f31	33	10	26.0912033058	26.0912033058	0
NUISANCE	f32	61	2	14.1063278413	14.1063278413	0
NUISANCE	f33	58	12	39.0470072884	39.0470072884	0
NUISANCE	f34	101	30	77.2062800854	77.2062800854	0
NUISANCE	f35	77	1	8.5629790326	8.5629790326	0
NUISANCE	f36	54	1	8.68713617484	8.68713617484	0
NUISANCE	f37	55	2	10.5149107697	10.5149107697	0
NUISANCE	f38	42	1	8.10346709224	8.10346709224	0
NUISANCE	f39	98	18	59.2680841052	59.2680841052	0
NUISANCE	f4	61	3	18.6860093615	18.6860093615	0
NUISANCE	f40	60	8	26.5442576983	26.5442576983	0
NUISANCE	f41	27	14	36.2447368194	36.2447368194	0
NUISANCE	f42	94	2	14.3941197452	14.3941197452	0
NUISANCE	f43	69	31	70.4816163312	70.4816163312	0
NUISANCE	f44	72	1	11.018882348	11.018882348	0
NUISANCE	f45	62	3	17.3208849138	17.3208849138	0
NUISANCE	f46	67	14	47.7154261465	47.7154261465	0
NUISANCE	f47	75	3	22.039204811	22.039204811	0
NUISANCE	f48	111	28	84.4317695855	84.4317695855	0
NUISANCE	f49	115	2	16.0312180153	16.0312180153	0
NUISANCE	f5	30	1	6.31517306882	6.31517306882	0
NUISANCE	f50	70	20	45.4563711674	45.4563711674	0
NUISANCE	f51	50	9	43.3105297867	43.3105297867	0
NUISANCE	f52	38	2	9.70046664184	9.70046664184	0
NUISANCE	f53	36	4	20.9900712261	20.9900712261	0
NUISANCE	f54	46	0	2.07348792491	2.07348792491	0
NUISANCE	f55	75	4	30.6266796956	30.6266796956	0
NUISANCE	f56	63	0	2.42592629637	2.42592629637	0
NUISANCE	f57	6	1	4.6601602992	4.6601602992	0
NUISANCE	f58	248	14	101.31407407	101.31407407	0
NUISANCE	f6	58	0	1.89715612095	1.89715612095	0
NUISANCE	f66	145	46	133.450217374	133.450217374	0
NUISANCE	f7	62	2	11.0942556155	11.0942556155	0
NUISANCE	f75	303	86	204.092491122	204.092491122	0
NUISANCE	f76	409	131	309.661608693	309.661608693	0
NUISANCE	f77	315	103	198.128588646	198.128588646	0
NUISANCE	f78	286	103	233.181276529	233.181276529	0
NUISANCE	f79	367	81	245.08025659	245.08025659	0
NUISANCE	f8	101	2	13.3867921812	13.3867921812	0
NUISANCE	f80	358	57	220.08300232	220.08300232	0
NUISANCE	f81	203	52	133.524357795	133.524357795	0
NUISANCE	f82	263	72	183.901448345	183.901448345	0
NUISANCE	f83	303	90	188.721124187	188.721124187	0
NUISANCE	f84	178	66	153.959622962	153.959622962	0
NUISANCE	f85	162	48	105.423243884	105.423243884	0
NUISANCE	f86	426	61	266.325612545	266.325612545	0
NUISANCE	f87	67	7	32.924218848	32.924218848	0
NUISANCE	f88	109	13	43.6554573103	43.6554573103	0
NUISANCE	f89	119	16	66.3849798279	66.3849798279	0
NUISANCE	f9	74	3	17.1330892838	17.1330892838	0
NUISANCE	f90	62	3	20.5966153991	20.5966153991	0
NUISANCE	f93	110	10	53.8818334379	53.8818334379	0
NUISANCE	f94	68	10	39.6599938927	39.6599938927	0
NUISANCE	f95	174	29	103.388077261	103.388077261	0
NUISANCE	f96	63	6	32.6159325596	32.6159325596	0
NUISANCE	f99	132	12	61.2985900545	61.2985900545	0
NEXT_RAW_CHAR3	f1	39	4	19.9682167326	24.774759442	-4.80654270935
NEXT_RAW_CHAR3	f10	70	2	14.4721826792	18.4701945112	-3.99801183196
NEXT_RAW_CHAR3	f100	42	3	16.6312711732	26.3345433389	-9.70327216571
NEXT_RAW_CHAR3	f102	112	14	63.7082450915	93.5059865869	-29.7977414954
NEXT_RAW_CHAR3	f103	293	64	190.832805566	266.877104728	-76.0442991624
NEXT_RAW_CHAR3	f104	331	60	192.745888563	252.257998236	-59.5121096727
NEXT_RAW_CHAR3	f105	304	55	186.006028579	251.842021122	-65.8359925424
NEXT_RAW_CHAR3	f106	334	66	191.268199773	278.608096279	-87.339896506
NEXT_RAW_CHAR3	f107	392	50	189.819832013	223.97673265	-34.1569006369
NEXT_RAW_CHAR3	f108	417	109	268.920557634	345.368227855	-76.4476702217
NEXT_RAW_CHAR3	f11	31	4	17.8321870766	22.7174641417	-4.88527706508
NEXT_RAW_CHAR3	f111	460	83	275.861042628	305.074751314	-29.2137086866
NEXT_RAW_CHAR3	f112	333	72	211.180404651	311.095424692	-99.9150200416
NEXT_RAW_CHAR3	f113	372	73	215.628707966	279.455623166	-63.8269152008
NEXT_RAW_CHAR3	f114	348	81	215.87299193	344.994376458	-129.121384528
NEXT_RAW_CHAR3	f115	309	95	226.403161684	287.732931789	-61.3297701051
NEXT_RAW_CHAR3	f116	138	20	80.8718726047	102.275128565	-21.40325596
NEXT_RAW_CHAR3	f13	48	0	3.80139116426	1.8019286426	1.99946252166
NEXT_RAW_CHAR3	f14	50	4	25.4570757226	42.5587258932	-17.1016501706
NEXT_RAW_CHAR3	f15	89	0	5.0608640827	0.801249267808	4.25961481489
