locus	next_locus	page	physical_folio	section	currier	hand	source_group_count	source_member_count	last_field_group_count	last_field_tokens	last_field_hosts	next_first_field_group_count	next_first_field_tokens	selection_state
f10v.1	f10v.2	f10v	f10	H	A	1	9	31	1	sain	ain	9	dain|daiin|ckhy|chcthor|choiin|qot|chodaiin|cthy|daiin	MECHANICAL_POST_FREEZE
f13v.1	f13v.2	f13v	f13	H	A	1	7	28	7	koair|chtoiin|otchy|kchod|otol|otchy|octhos	ko|toiin|chy|kchod|ol|chy|octhos	6	oko|qokol|chodal|otchol|cphol|choty	MECHANICAL_POST_FREEZE
f15r.1	f15r.2	f15r	f15	H	A	1	7	25	7	tshor|shey|tchaly|shy|chtols|shey|daiin	shor|ey|chaly|y|tols|ey|aiin	6	otchor|qokchor|oly|okor|shy|koly	MECHANICAL_POST_FREEZE
f18r.5	f18r.6	f18r	f18	H	A	1	6	20	6	tchor|shor|cthaiin|cthol|chlol|chom	chor|or|cth|cthol|lol|o	8	ychy|kchor|dair|ytol|chcthy|dar|dar|dal	MECHANICAL_POST_FREEZE
f20r.9	f20r.10	f20r	f20	H	A	1	6	33	4	qotchey|qokchey|qocphy|chokoldy	chey|okchey|ocphy|okol	3	ochoaiin|chor|sody	MECHANICAL_POST_FREEZE
f23v.6	f23v.7	f23v	f23	H	A	1	7	28	7	tshol|shor|shkshy|okol|daiin|otshor|olsar	shol|or|kshy|okol|aiin|shor|ols	9	otor|oiin|sho|shol|qokol|daiin|sol|daiin|ylg	MECHANICAL_POST_FREEZE
f27r.1	f27r.2	f27r	f27	H	A	1	7	27	7	ksor|shey|shoteo|chforaiin|shy|shod|chary	ksor|ey|eo|for|y|d|ary	9	dy|coain|shol|dain|dar|shokyd|dchol|cthey|ds	MECHANICAL_POST_FREEZE
f28v.4	f28v.5	f28v	f28	H	A	1	10	34	10	tshoiin|cheor|chor|o|chty|qotol|sheol|shor|daiin|qoty	shoiin|or|or|o|ty|ol|eol|or|aiin|y	8	otol|chol|daiin|chkaiin|shoiin|qotchey|qotshey|daiiin	MECHANICAL_POST_FREEZE
f29v.5	f29v.6	f29v	f29	H	A	1	6	20	6	tochon|chain|shan|shoty|chshy|shy	ochon|ain|an|y|shy|y	8	dchor|chol|chaiin|shaiin|cthod|dar|chs|shody	MECHANICAL_POST_FREEZE
f37v.14	f37v.15	f37v	f37	H	A	1	3	14	3	todain|cphaiin|cphorods	d|cph|cphorods	4	soiiin|cheoky|daiin|dain	MECHANICAL_POST_FREEZE
