host	register	wrapper	frame	different_right_pairs	same_right_pairs	different_right_mean_similarity	matched_control_mean_similarity	same_right_mean_similarity	different_minus_control	different_minus_same	same_right_available
pched	OTHER_B	NONE	NONE	2	0	0.361667888395	0.171298249759	0	0.190369638636	0	0
oked	OTHER_B	q	NONE	6	4	0.407107817911	0.266322159872	0.414063029265	0.140785658039	-0.00695521135364	1
l	OTHER_B	q	O	7	66	0.308589689865	0.182251106209	0.297806815128	0.126338583656	0.010782874737	1
lched	OTHER_B	NONE	NONE	2	0	0.297752808989	0.19106064894	0	0.106692160048	0	0
chod	HERBAL_A	d	NONE	1	1	0.208333333333	0.102941176471	0.19512195122	0.105392156863	0.0132113821138	1
ed	OTHER_B	sh	NONE	9	1	0.339168293385	0.245906434253	0.280632411067	0.0932618591316	0.0585358823173	1
polch	STARS_RECIPE_B	NONE	NONE	1	0	0.353115727003	0.266955465069	0	0.0861602619343	0	0
y	HERBAL_B	NONE	NONE	7	19	0.235504082264	0.156499773514	0.177424670442	0.0790043087501	0.0580794118224	1
l	STARS_RECIPE_B	ch	O	8	38	0.304904806365	0.23433742864	0.273297816293	0.0705673777253	0.0316069900716	1
d	HERBAL_B	che	NONE	1	0	0.15	0.0803937556975	0	0.0696062443025	0	0
olk	STARS_RECIPE_B	ch	NONE	5	1	0.292986427267	0.223415942241	0.261006289308	0.0695704850257	0.0319801379587	1
o	HERBAL_A	s	NONE	2	6	0.253500432152	0.185712986788	0.14492549353	0.0677874453641	0.108574938622	1
ed	STARS_RECIPE_B	che	NONE	1	0	0.338192419825	0.27345844504	0	0.0647339747849	0	0
e	OTHER_B	sh	NONE	111	182	0.293907555678	0.232382920945	0.271634019062	0.0615246347333	0.0222735366166	1
ych	HERBAL_A	NONE	NONE	5	1	0.226345181465	0.165195196286	0.241379310345	0.0611499851793	-0.0150341288798	1
lche	OTHER_B	NONE	NONE	12	87	0.337220642865	0.278553380163	0.312325521622	0.0586672627018	0.0248951212433	1
oke	STARS_RECIPE_B	NONE	NONE	13	10	0.310588817203	0.258574784424	0.33149880646	0.0520140327784	-0.0209099892577	1
d	HERBAL_A	t	O	1	0	0.144736842105	0.09540127303	0	0.0493355690753	0	0
yche	STARS_RECIPE_B	NONE	NONE	5	1	0.30946778193	0.261307232703	0.279411764706	0.0481605492267	0.030056017224	1
l	STARS_RECIPE_B	q	O	4	13	0.25278812888	0.205150241584	0.257324236046	0.0476378872959	-0.00453610716559	1
otod	HERBAL_A	q	NONE	2	0	0.157740708224	0.111091088744	0	0.0466496194798	0	0
pched	HERBAL_B	NONE	NONE	1	0	0.230769230769	0.184275793651	0	0.0464934371184	0	0
pol	OTHER_B	NONE	NONE	2	3	0.351739715494	0.305264383327	0.337138646308	0.0464753321675	0.0146010691858	1
k	HERBAL_A	NONE	NONE	10	10	0.21927171239	0.172923898615	0.205965513682	0.0463478137747	0.0133061987077	1
d	HERBAL_A	NONE	O	13	1	0.200078761024	0.154114604781	0.197802197802	0.0459641562429	0.00227656322177	1
eeol	OTHER_B	t	NONE	2	1	0.333972712021	0.289362140035	0.334448160535	0.0446105719864	-0.000475448513625	1
y	OTHER_B	NONE	NONE	5	10	0.282748672896	0.240484713869	0.300279681614	0.0422639590268	-0.0175310087182	1
oke	OTHER_B	q	NONE	19	177	0.323638674684	0.281593515986	0.299831453705	0.0420451586983	0.0238072209794	1
l	OTHER_B	NONE	NONE	25	26	0.286174918251	0.244919682148	0.270289075577	0.0412552361023	0.0158858426739	1
al	STARS_RECIPE_B	NONE	NONE	18	181	0.301213826275	0.260255712626	0.26050409776	0.0409581136486	0.0407097285142	1
d	OTHER_A	NONE	O	2	3	0.134848484848	0.0942524081311	0.116926016926	0.0405960767174	0.0179224679225	1
ok	STARS_RECIPE_B	ch	NONE	20	7	0.261961135137	0.222012699131	0.255296680372	0.0399484360063	0.00666445476498	1
ckh	STARS_RECIPE_B	ch	NONE	1	1	0.286802030457	0.247153170648	0.22009569378	0.0396488598087	0.0667063366769	1
old	HERBAL_A	NONE	NONE	2	1	0.195072190835	0.156571704327	0.170212765957	0.038500486508	0.0248594248775	1
kee	STARS_RECIPE_B	NONE	NONE	8	26	0.303453199931	0.265909884868	0.266737374382	0.037543315063	0.0367158255483	1
ar	STARS_RECIPE_B	t	NONE	4	14	0.338990273519	0.302348469469	0.277817687412	0.03664180405	0.0611725861072	1
okee	STARS_RECIPE_B	NONE	NONE	13	100	0.304012856624	0.267778867692	0.278182698238	0.0362339889314	0.0258301583857	1
d	STARS_RECIPE_B	sh	O	3	1	0.261622401602	0.225870061007	0.252595155709	0.035752340595	0.00902724589249	1
k	HERBAL_B	che	NONE	18	4	0.198054925248	0.162976003315	0.220339151812	0.035078921933	-0.0222842265644	1
o	HERBAL_B	NONE	NONE	14	26	0.181274523274	0.147022534501	0.146297968438	0.0342519887733	0.0349765548362	1
lked	STARS_RECIPE_B	NONE	NONE	2	1	0.303418803419	0.269367309818	0.217391304348	0.0340514936012	0.086027499071	1
pchod	HERBAL_A	NONE	NONE	5	1	0.199557472519	0.165643362576	0.204545454545	0.0339141099427	-0.00498798202632	1
ok	HERBAL_B	q	NONE	147	52	0.174058175137	0.140362719264	0.175424709412	0.033695455873	-0.0013665342752	1
oko	OTHER_A	NONE	NONE	1	0	0.202898550725	0.169557435461	0	0.0333411152636	0	0
opch	STARS_RECIPE_B	NONE	NONE	6	3	0.31838867061	0.285579851377	0.279522238099	0.0328088192338	0.0388664325113	1
okl	STARS_RECIPE_B	q	NONE	3	3	0.295602751821	0.262863469583	0.211211330387	0.0327392822386	0.0843914214344	1
