left_operation	right_operation	selected_folds	semantic_eligible_folds	graph_eligible_folds	null_expected_eligible_folds	graph_excess_eligible_folds	semantic_triplets	semantic_complete_rectangles	graph_triplets	graph_complete_rectangles	mean_left_operation_support	mean_right_operation_support	excess_rank
PREFIX_REPLACE:o>sh	SUFFIX_REPLACE:chy>eey	12	12	12	0.005859375	11.994140625	44	21	44	21	46.083333333333336	28.25	1
PREFIX_ADD:qot	SUFFIX_REPLACE:dy>eol	12	12	12	0.0078125	11.9921875	48	12	48	12	47.583333333333336	32.666666666666664	2
PREFIX_REPLACE:k>sh	SUFFIX_REPLACE:ey>ody	12	12	12	0.0087890625	11.9912109375	36	24	36	24	28.833333333333332	73.58333333333333	3
PREFIX_ADD:ok	SUFFIX_REPLACE:dy>eor	12	12	12	0.009765625	11.990234375	46	12	46	12	71.83333333333333	23.916666666666668	4
PREFIX_ADD:ot	SUFFIX_REPLACE:dy>eor	12	12	12	0.009765625	11.990234375	47	12	47	12	83.5	23.916666666666668	5
PREFIX_REPLACE:qo>sh	SUFFIX_REPLACE:chy>eol	12	12	12	0.0107421875	11.9892578125	44	21	44	21	57.833333333333336	22.583333333333332	6
PREFIX_REPLACE:k>yk	SUFFIX_REPLACE:edy>ody	12	12	12	0.0126953125	11.9873046875	36	24	36	24	34.333333333333336	59.083333333333336	7
PREFIX_REPLACE:t>yk	SUFFIX_REPLACE:edy>eol	12	12	12	0.0126953125	11.9873046875	36	24	36	24	33.25	46.25	8
PREFIX_ADD:sol	SUFFIX_REPLACE:edy>ey	12	12	12	0.0166015625	11.9833984375	45	12	45	12	13.833333333333334	109.08333333333333	9
PREFIX_REPLACE:t>yt	SUFFIX_REPLACE:dy>ody	12	12	12	0.0166015625	11.9833984375	46	34	46	34	29.5	69.91666666666667	10
PREFIX_ADD:yk	SUFFIX_REPLACE:iin>in	12	12	12	0.0185546875	11.9814453125	46	12	46	12	36.166666666666664	64.66666666666667	11
PREFIX_ADD:yk	SUFFIX_REPLACE:in>ir	12	12	12	0.01953125	11.98046875	57	23	57	23	36.166666666666664	36.75	12
PREFIX_REPLACE:k>yk	SUFFIX_REPLACE:edy>eol	12	12	12	0.0234375	11.9765625	36	24	36	24	34.333333333333336	46.25	13
PREFIX_REPLACE:k>t	SUFFIX_REPLACE:eol>ody	12	12	12	0.0244140625	11.9755859375	36	35	36	35	45.5	33.333333333333336	14
PREFIX_REPLACE:ch>s	SUFFIX_REPLACE:iin>in	12	12	12	0.025390625	11.974609375	45	12	45	12	41.166666666666664	64.66666666666667	15
PREFIX_ADD:che	SUFFIX_REPLACE:chy>edy	12	12	12	0.0263671875	11.9736328125	45	12	45	12	102.83333333333333	30.916666666666668	16
