counterexample_id	target_claim	evidence	classification
KART_CE01	LANGUAGE_IDENTIFICATION	No Georgian or Mingrelian language identification; no phonetic mapping exists.	HARD_CLAIM_CEILING
KART_CE02	NUMBER_OR_MORPHOLOGY	No number-word mapping and no q/dy semantic interpretation.	HARD_CLAIM_CEILING
KART_CE03	MINGRELIAN_WEEKDAYS	Prior exploratory weekday morphology has no visible match to the f67r2 seven-member set.	NEGATIVE_PRIOR_RESULT
KART_CE04	MINGRELIAN_DIRECTIONS	Prior cardinal-direction morphology has no convincing Voynich match.	NEGATIVE_PRIOR_RESULT
KART_CE05	MODERN_MONTH_NAMES	The modern Mingrelian five-member -tuta analogy was source-sensitive and overfit; it is excluded.	REJECTED_ANALOGY
KART_CE06	F69V_TEXT_MARKER	F69LS001 found no reliable source-text feature distinguishing LONG from SHORT.	VALIDATED_NONCONFIRMATION
KART_CE07	F69V_LAG14	Lag 14 is bottom or near-bottom under every predeclared representation and alternate reading.	DIRECT_TRANSFER_FALSIFIER
KART_CE08	NINETEEN_TIMES_TWENTYEIGHT	f70v2 C1+I10+O19 is a 30-position zodiac layout; 19x28 Chronikon multiplication is confounded and excluded.	CONFOUNDED_SPECULATION
KART_CE09	GENERIC_COMPUTUS	Generic medieval comparators already explain 7, 12, 28, 30 and related circle-module counts.	CULTURAL_SPECIFICITY_FALSIFIER
KART_CE10	F68R1_ORDER	f68r1 has 28 noncentral labelled stars but no authorial 28-member cyclic order.	TOPOLOGY_FALSIFIER
KART_CE11	ZODIAC_PHASE	Seven incompatible panel topologies prevent an identified common 3x10 degree phase.	CAPACITY_STOP
KART_CE12	FORTUNATE_DEGREES	No complete capacity-valid frozen visual subset supports the sign-specific roster test.	CAPACITY_STOP
KART_CE13	SEVEN_MEMBER_FORM	No nominal seven-member array shares a nontrivial STA-family bigram across all covered members.	FORMAL_FALSIFIER
KART_CE14	F67V2_FOURFOLD	A-65 supplies no specific opposition predicting one f67v2 pairing; the local binary complement is one-folio and nontransferring.	EXTERNAL_PREDICTION_ABSENT
