page	locus	source_group_count	hpr2_field_count	coverage_state
f80r	f80r.14	12	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.15	10	4	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.16	11	4	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.18	11	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.20	11	3	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.21	11	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.22	3	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.25	13	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.26	10	3	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.27	10	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.28	7	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.31	8	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.33	8	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.36	11	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.37	10	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.40	7	3	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.41	7	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.42	1	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.43	8	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.44	2	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.45	8	2	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.51	11	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
f80r	f80r.52	8	1	HPR2_FORMAL_FIELD_SEGMENTED_NO_SEMANTIC_ROLE
