rank	candidate	external_axis	positive_example_loci	counterexample_loci	label
1	NGRAM_2:yp	REL_EXPLICIT_ATTACHMENT	NONE	f102v1.16;f68v2.17;f70r1.17;f70v1.11;f72r3.8	LIKELY_PAGE_CONFOUND
2	NGRAM_3:yke	REL_EXPLICIT_ATTACHMENT	NONE	f67r1.16;f67v1.7;f68v2.17;f69r.24;f69r.25	LIKELY_PAGE_CONFOUND
3	PREFIX_2:yp	REL_EXPLICIT_ATTACHMENT	NONE	f102v1.16;f68v2.17;f70r1.17;f70v1.11;f72r3.8	LIKELY_PAGE_CONFOUND
4	PREFIX_3:yke	REL_EXPLICIT_ATTACHMENT	NONE	f67r1.16;f67v1.7;f68v2.17;f69r.24;f69r.25	LIKELY_PAGE_CONFOUND
5	NGRAM_3:tch	REL_EXPLICIT_ATTACHMENT	f68r1.18;f72r1.14;f72r1.15	f100v.11;f70v1.8	WEAK
6	EXACT:d	REL_ENCLOSURE	f67r2.48;f68r2.11;f68r2.25;f68r2.28;f68r2.9	f67r2.24;f67r2.39;f69r.45;f72v1.10;f76r.7	INTERESTING_EXPLORATORY
7	PREFIX_1:d	REL_ENCLOSURE	f67r2.48;f68r2.11;f68r2.25;f68r2.28;f68r2.9	f67r2.24;f67r2.39;f69r.45;f72v1.10;f76r.7	INTERESTING_EXPLORATORY
8	EXACT:o	REL_ARRAY_OR_GROUP	f70v2.6	f67v2.19;f68r3.18;f69r.22;f69r.40;f69r.46	LIKELY_PAGE_CONFOUND
9	EXACT:ot	STAR_OR_SKY	f67r1.8;f70v1.16;f71v.7;f72r1.9;f72r2.23	f69r.21;f69r.28;f75v.50;f88r.12;f89v2.12	LIKELY_PAGE_CONFOUND
10	SUFFIX_1:t	STAR_OR_SKY	f67r1.8;f68v2.14;f70v1.16;f71v.7;f72r1.9	f69r.21;f69r.28;f75v.50;f88r.12;f89v2.12	LIKELY_PAGE_CONFOUND
11	SUFFIX_2:ot	STAR_OR_SKY	f67r1.8;f70v1.16;f71v.7;f72r1.9;f72r2.23	f69r.21;f69r.28;f75v.50;f88r.12;f89v2.12	LIKELY_PAGE_CONFOUND
12	NGRAM_2:ry	REL_ENCLOSURE	f67r1.19;f68r1.6;f68r2.10;f72r2.12;f72r2.13	f102v2.8;f67v1.3;f68v2.8;f69r.29;f69v.23	INTERESTING_EXPLORATORY
13	SUFFIX_2:ry	REL_ENCLOSURE	f67r1.19;f68r1.6;f68r2.10;f72r2.12;f72r2.13	f102v2.8;f67v1.3;f68v2.8;f69r.29;f69v.23	INTERESTING_EXPLORATORY
14	PREFIX_2:oc	REL_EXPLICIT_ATTACHMENT	f100r.17;f100r.2;f68r1.13;f68r1.21;f68r1.31	f67r2.20;f67r2.38;f67r2.60;f67v1.11;f67v1.9	INTERESTING_EXPLORATORY
15	EXACT:ok	WATER_OR_APPARATUS	f75v.20;f75v.25;f77v.1;f82r.36;f82v.41	f67r2.22;f67v1.3;f68r1.3;f69r.30;f72r2.11	INTERESTING_EXPLORATORY
16	SUFFIX_1:k	WATER_OR_APPARATUS	f75v.20;f75v.24;f75v.25;f75v.34;f77r.4	f67r2.22;f67r2.61;f67v1.2;f67v1.3;f68r1.3	INTERESTING_EXPLORATORY
17	SUFFIX_2:ok	WATER_OR_APPARATUS	f75v.20;f75v.25;f77v.1;f82r.36;f82v.41	f67r2.22;f67r2.61;f67v1.3;f68r1.3;f69r.30	INTERESTING_EXPLORATORY
18	NGRAM_3:chy	REL_EXPLICIT_ATTACHMENT	f68r3.17	f102v1.6;f102v2.13;f102v2.5;f68r1.7;f68v2.13	INTERESTING_EXPLORATORY
19	NGRAM_3:oka	REL_ENCLOSURE	f72r2.10;f72r2.15;f72r2.18;f72r2.8	f70v1.5;f70v2.27;f70v2.30;f71v.8;f72r1.5	LIKELY_PAGE_CONFOUND
20	PREFIX_3:oka	REL_ENCLOSURE	f72r2.10;f72r2.15;f72r2.18;f72r2.8	f70v1.5;f70v2.27;f70v2.30;f71v.8;f72r1.5	LIKELY_PAGE_CONFOUND
21	NGRAM_2:ar	REL_ENCLOSURE	f57v.7;f57v.9;f67r1.13;f67r1.18;f67r1.19	f100r.1;f102r2.21;f102v1.18;f102v2.14;f67r2.19	INTERESTING_EXPLORATORY
22	LENGTH_BUCKET:1	REL_PROXIMITY	f100r.20;f100r.9;f100v.13;f100v.2;f100v.8	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.18	WEAK
23	SUFFIX_3:chy	REL_EXPLICIT_ATTACHMENT	f68r3.17	f102v2.13;f102v2.5;f68v2.13;f68v2.17;f69r.21	WEAK
24	NGRAM_2:of	REL_PROXIMITY	f67r2.44;f68r1.22;f88r.23;f88r.25;f89r2.31	f72r1.13;f72r3.11;f72v1.19;f72v3.11;f73v.16	WEAK
25	PREFIX_2:of	REL_PROXIMITY	f67r2.44;f68r1.22;f88r.23;f88r.25;f89r2.31	f72r1.13;f72r3.11;f72v3.11;f73v.16	WEAK
26	PREFIX_1:a	REL_EXPLICIT_ATTACHMENT	f68r3.20;f72r1.16;f82r.35	f100r.10;f100v.9;f102v2.14;f102v2.5;f65r.1	WEAK
27	NGRAM_2:ra	REL_PROXIMITY	f57v.7;f88r.13;f88r.3;f88v.11;f89r1.5	f67r2.46;f67v2.2;f68r1.3;f68r2.13;f68r3.20	WEAK
28	NGRAM_3:ara	REL_PROXIMITY	f57v.7;f89r1.5;f89v2.24	f67v2.2;f68r1.3;f68r2.13;f68r3.20;f70v1.17	WEAK
29	LENGTH_BUCKET:0	REL_ENCLOSURE	f67r2.48;f68r2.11;f68r2.19;f68r2.25;f68r2.28	f100r.3;f65r.1;f67r2.14;f67r2.21;f67r2.24	WEAK
30	NGRAM_3:ald	REL_EXPLICIT_ATTACHMENT	NONE	f70v2.10;f70v2.30;f88r.25;f88r.3;f89r1.25	WEAK
