role	formal_feature	log_odds_weight	support	positive_support	physical_folios	selected_model	claim_state
FIGURE	SECTION:B	5.069428173938	56	45	6	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	CURRIER:B	4.482329740308	65	45	7	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	HAND:2	4.482329740308	65	45	7	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	KIND:L	3.783705957972	239	52	18	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	SECTION:Z	3.758288905486	5	5	2	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:kal	2.984070333806	9	7	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:lk	2.653828646936	7	5	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	HOST_EXACT:okal	2.615934912194	4	3	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:olk	2.450887802939	6	4	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:rc	2.308450212446	3	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:rd	2.308450212446	3	2	2	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:rch	2.308450212446	3	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:e$	2.124972926488	13	7	7	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	GROUP_COUNT:1	1.953878318704	247	48	18	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:olo	1.916922612182	6	3	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:^l	1.900056844559	4	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:ed	1.900056844559	4	2	4	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:lo$	1.900056844559	4	2	4	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:tar	1.900056844559	4	2	4	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:te$	1.900056844559	4	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	HOST_EXACT:ote	1.900056844559	4	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:ka	1.838623778204	20	9	11	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:oka	1.661047362373	17	7	11	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	LAYER:q	1.609437912434	5	2	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:ote	1.506009764527	16	6	8	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:lc	1.505557781947	8	3	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H3:lch	1.505557781947	8	3	5	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:dl	1.475173650594	3	1	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:ec	1.475173650594	3	1	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
FIGURE	H2:rk	1.475173650594	3	1	3	RESIDUAL_HOST	POSTSELECTED_ROLE_MOTIF_NOT_MEANING
