type	item	representation	value	detail
WEAK_OR_MISPAIRED_RELATION	MHI004	COMPILER_SIGNATURE	-0.141108521109	true partner rank 5/5; COMPONENT_SIMILARITY LEAVES
WEAK_OR_MISPAIRED_RELATION	MHI003	COMPILER_SIGNATURE	-0.0596190170984	true partner rank 4/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI004	RAW_CHAR3	-0.0489456610931	true partner rank 4/5; COMPONENT_SIMILARITY LEAVES
WEAK_OR_MISPAIRED_RELATION	MHI002	RAW_CHAR3	-0.0468981371324	true partner rank 4/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI004	PAGE_HOST_IDENTITY	-0.0397867431565	true partner rank 4/5; COMPONENT_SIMILARITY LEAVES
WEAK_OR_MISPAIRED_RELATION	MHI002	PAGE_HOST_IDENTITY	-0.0373607850296	true partner rank 4/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI002	COMPILER_SIGNATURE	-0.00718618092398	true partner rank 3/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI003	PAGE_HOST_CHAR3	0.00304918047388	true partner rank 2/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI007	RAW_CHAR3	0.0131408718144	true partner rank 3/5; COMPONENT_SIMILARITY BULBS
WEAK_OR_MISPAIRED_RELATION	MHI004	PAGE_HOST_CHAR3	0.0162190007396	true partner rank 3/5; COMPONENT_SIMILARITY LEAVES
WEAK_OR_MISPAIRED_RELATION	MHI003	RAW_CHAR3	0.0201840545833	true partner rank 2/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
WEAK_OR_MISPAIRED_RELATION	MHI003	PAGE_HOST_IDENTITY	0.0278568541029	true partner rank 2/5; WHOLE_PLANT_SIMILARITY WHOLE_PLANT
RELATION_HETEROGENEITY	MIXED_WHOLE_AND_COMPONENT	ALL	NA	The five human statements mix weak whole-plant and moderate/strong component similarities; shared page text is not guaranteed.
PRIOR_ROUTE_DISTINCTION	FPR_S99	ALL	NA	Prior pharmaceutical-label/root failures remain negative and are not overturned.
ALTERNATE_READING_SCOPE	GDT062	ALL	NA	One derived source-display HPR2 view; no alternate-reading replication.
