locus	physical_folio	token	wrapper	page_host	matched_tail	register	exception
f114r.20	f114	do	d	o		STARS_RECIPE_B	D_ON_O_EXCEPTION
f15r.14	f15	dom	d	o		HERBAL_A	D_ON_O_EXCEPTION
f19v.8	f19	dom	d	o		HERBAL_A	D_ON_O_EXCEPTION
f24v.13	f24	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f34r.3	f34	dody	d	o		HERBAL_B	D_ON_O_EXCEPTION
f37v.21	f37	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f38v.5	f38	dody	d	o		HERBAL_A	D_ON_O_EXCEPTION
f50v.1	f50	do	d	o		HERBAL_B	D_ON_O_EXCEPTION
f53v.2	f53	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f5v.3	f5	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f8r.11	f8	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f8r.2	f8	do	d	o		HERBAL_A	D_ON_O_EXCEPTION
f103r.19	f103	qoy	q	y		STARS_RECIPE_B	Q_ON_Y_EXCEPTION
f104r.41	f104	qoty	q	y		STARS_RECIPE_B	Q_ON_Y_EXCEPTION
f106r.18	f106	qoty	q	y		STARS_RECIPE_B	Q_ON_Y_EXCEPTION
f10v.1	f10	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f10v.6	f10	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f112v.12	f112	qoty	q	y		STARS_RECIPE_B	Q_ON_Y_EXCEPTION
f113r.10	f113	qoty	q	y		STARS_RECIPE_B	Q_ON_Y_EXCEPTION
f11v.1	f11	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f14r.11	f14	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f16v.3	f16	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f20v.9	f20	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f28r.4	f28	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f28v.2	f28	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f28v.4	f28	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f29r.3	f29	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f2r.8	f2	qoy	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f38v.5	f38	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f39v.2	f39	qoty	q	y		HERBAL_B	Q_ON_Y_EXCEPTION
f44v.5	f44	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f47v.4	f47	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f52r.3	f52	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f53r.9	f53	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f58v.32	f58	qoty	q	y		OTHER_A	Q_ON_Y_EXCEPTION
f76r.3	f76	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f76r.44	f76	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f77r.40	f77	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f79r.7	f79	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f79r.9	f79	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f79v.2	f79	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80r.20	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80r.28	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80v.14	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80v.24	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80v.25	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f80v.26	f80	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f82v.25	f82	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f86v3.21	f86	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f86v5.36	f86	qoty	q	y		OTHER_B	Q_ON_Y_EXCEPTION
f87r.10	f87	qoty	q	y		HERBAL_A	Q_ON_Y_EXCEPTION
f89v1.8	f89	qoy	q	y		OTHER_A	Q_ON_Y_EXCEPTION
f95r1.2	f95	qoty	q	y		HERBAL_B	Q_ON_Y_EXCEPTION
f77r.39	f77	qykaiin	q	yk	k	OTHER_B	Q_ON_Y_EXCEPTION
f84v.13	f84	dokedy	d	oke	ke	OTHER_B	D_ON_O_EXCEPTION
f18v.9	f18	doky	d	oky	ky	HERBAL_A	D_ON_O_EXCEPTION
