content_folio_id	layout_folio_ordinal	register	hand	source_unit_hash	source_unit_overlap_registers	records	physical_lines	source_groups
F0000	0	R1	S2	U69f53763a0da58	1	3	6	36
F0001	1	R1	S2	U69f53763a0da58	1	5	17	108
F0002	2	R1	S2	U69f53763a0da58	1	7	20	128
F0003	3	R1	S2	U69f53763a0da58	1	5	13	84
F0004	4	R1	S2	U69f53763a0da58	1	6	15	100
F0005	5	R1	S2	U69f53763a0da58	1	6	17	98
F0006	6	R1	S2	U69f53763a0da58	1	3	10	63
F0007	7	R1	S2	U69f53763a0da58	1	6	18	119
F0008	8	R1	S2	U69f53763a0da58	1	3	10	64
F0009	9	R1	S1	U48dca6c9b06176	2	7	16	110
F0010	10	R1	S1	U48dca6c9b06176	2	6	16	98
F0011	11	R1	S1	U48dca6c9b06176	2	5	16	85
F0012	12	R1	S1	U48dca6c9b06176	2	3	7	37
F0013	13	R1	S1	U48dca6c9b06176	2	3	9	56
F0014	14	R1	S1	U48dca6c9b06176	2	3	7	48
F0015	15	R1	S1	U48dca6c9b06176	2	6	20	109
F0016	16	R1	S1	U48dca6c9b06176	2	5	9	62
F0017	17	R1	S1	U48dca6c9b06176	2	4	10	58
F0018	18	R1	S1	U48dca6c9b06176	2	5	14	90
F0019	19	R1	S1	U48dca6c9b06176	2	3	8	51
F0020	20	R2	S1	U48dca6c9b06176	2	6	18	112
F0021	21	R2	S1	U48dca6c9b06176	2	5	14	94
F0022	22	R2	S1	U48dca6c9b06176	2	3	8	45
F0023	23	R2	S1	U48dca6c9b06176	2	4	10	71
F0024	24	R2	S1	U48dca6c9b06176	2	5	12	67
F0025	25	R2	S1	U48dca6c9b06176	2	5	15	94
F0026	26	R2	S1	U48dca6c9b06176	2	4	12	72
F0027	27	R2	S1	U48dca6c9b06176	2	6	20	123
F0028	28	R2	S1	U48dca6c9b06176	2	6	21	126
F0029	29	R1	S1	U13bbe60f5f65b1	2	7	17	105
F0030	30	R1	S1	U13bbe60f5f65b1	2	3	7	44
F0031	31	R1	S1	U13bbe60f5f65b1	2	5	15	94
F0032	32	R1	S1	U13bbe60f5f65b1	2	3	6	41
F0033	33	R1	S1	U13bbe60f5f65b1	2	3	6	33
F0034	34	R1	S1	U13bbe60f5f65b1	2	6	17	108
F0035	35	R1	S1	U13bbe60f5f65b1	2	7	21	139
F0036	36	R1	S1	U13bbe60f5f65b1	2	7	18	115
F0037	37	R1	S1	U13bbe60f5f65b1	2	5	14	93
F0038	38	R1	S1	U13bbe60f5f65b1	2	3	9	60
F0039	39	R1	S1	U13bbe60f5f65b1	2	6	15	97
F0040	40	R1	S1	U13bbe60f5f65b1	2	4	12	71
F0041	41	R2	S2	U13bbe60f5f65b1	2	3	8	54
F0042	42	R2	S2	U13bbe60f5f65b1	2	7	19	123
F0043	43	R2	S2	U13bbe60f5f65b1	2	6	19	126
F0044	44	R2	S2	U13bbe60f5f65b1	2	5	13	84
F0045	45	R2	S2	U13bbe60f5f65b1	2	4	11	78
F0046	46	R2	S2	U13bbe60f5f65b1	2	5	17	107
F0047	47	R2	S2	U13bbe60f5f65b1	2	4	11	65
F0048	48	R2	S2	U13bbe60f5f65b1	2	7	19	114
F0049	49	R2	S2	U13bbe60f5f65b1	2	6	16	104
F0050	50	R2	S2	U13bbe60f5f65b1	2	3	8	46
F0051	51	R2	S2	U13bbe60f5f65b1	2	5	16	99
F0052	52	R1	S2	Ufefc284ab18a22	1	5	14	96
F0053	53	R1	S2	Ufefc284ab18a22	1	5	11	74
F0054	54	R1	S2	Ufefc284ab18a22	1	3	7	54
F0055	55	R1	S2	Ufefc284ab18a22	1	4	9	53
F0056	56	R1	S2	Ufefc284ab18a22	1	6	19	110
F0057	57	R1	S2	Ufefc284ab18a22	1	6	20	117
F0058	58	R1	S2	Ufefc284ab18a22	1	7	21	132
F0059	59	R1	S2	Ufefc284ab18a22	1	4	12	75
F0060	60	R1	S2	Ufefc284ab18a22	1	4	13	77
F0061	61	R1	S2	Ufefc284ab18a22	1	5	12	82
F0062	62	R1	S2	Ufefc284ab18a22	1	5	12	81
F0063	63	R1	S2	Ufefc284ab18a22	1	3	9	49
F0064	64	R1	S1	U8e22e60a6ea2f5	1	7	24	138
F0065	65	R1	S1	U8e22e60a6ea2f5	1	5	10	66
F0066	66	R1	S1	U8e22e60a6ea2f5	1	3	7	49
F0067	67	R1	S1	U8e22e60a6ea2f5	1	4	9	64
F0068	68	R1	S1	U8e22e60a6ea2f5	1	5	16	96
F0069	69	R1	S1	U8e22e60a6ea2f5	1	6	13	86
F0070	70	R1	S1	U8e22e60a6ea2f5	1	4	9	55
F0071	71	R1	S1	U8e22e60a6ea2f5	1	5	15	97
F0072	72	R1	S1	U8e22e60a6ea2f5	1	6	17	105
F0073	73	R1	S1	U8e22e60a6ea2f5	1	7	24	150
