section	model	cells	events	cell_equivalent_gain_bits	mean_cell_gain_bits	positive_cells
B	GLOBAL_TWO_RULE	50	103	3.102173066351	0.062043461327	8
B	COORDINATE	50	103	-25.384761983185	-0.507695239664	13
B	COORDINATE_TWO_RULE	50	103	-21.990046796627	-0.439800935933	16
C	GLOBAL_TWO_RULE	14	16	0.313261497910	0.022375821279	1
C	COORDINATE	14	16	-0.681725555427	-0.048694682531	7
C	COORDINATE_TWO_RULE	14	16	-0.107135223104	-0.007652515936	7
H	GLOBAL_TWO_RULE	78	226	0.909358175470	0.011658438147	8
H	COORDINATE	78	226	-11.747953085974	-0.150614783154	35
H	COORDINATE_TWO_RULE	78	226	-11.416681222611	-0.146367707982	36
P	GLOBAL_TWO_RULE	25	34	-1.165411516607	-0.046616460664	0
P	COORDINATE	25	34	-4.499104128637	-0.179964165145	9
P	COORDINATE_TWO_RULE	25	34	-5.548197392909	-0.221927895716	9
S	GLOBAL_TWO_RULE	73	190	0.421897210402	0.005779413841	7
S	COORDINATE	73	190	-9.016634115541	-0.123515535829	34
S	COORDINATE_TWO_RULE	73	190	-8.251511349173	-0.113034402043	34
T	GLOBAL_TWO_RULE	30	40	-1.283683485447	-0.042789449515	0
T	COORDINATE	30	40	-0.848221103908	-0.028274036797	14
T	COORDINATE_TWO_RULE	30	40	-2.345319887350	-0.078177329578	14
