residual_host	additional_field_occurrences	raw_group_occurrences	closing_occurrences	closing_fraction	pages	physical_folios	token_variants	tokens	prefix_variants	prefixes	record_states	field_template_count	exact_label_rows	unhedged_label_rows	label_object_tags	eligible_candidate	claim_state
oke	21	21	21	1.000000000000	15	11	2	okedy|qokedy	2	NONE|q	DY_RESOLUTION	9	1	0	FIGURE|LABEL|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
dy	15	15	0	0.000000000000	12	8	2	chdy|chedy	2	ch|che	CARRIER_STATE	9	1	0	FIGURE|LABEL|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
o	11	12	11	0.916666666667	8	7	6	cheody|cho|chody|dody|ody|shody	5	NONE|ch|che|d|sh	CARRIER_STATE|DY_RESOLUTION	7	6	4	FIGURE|LABEL|PLANT|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
e	10	10	9	0.900000000000	8	7	3	she|shedy|tedy	2	sh|t	CARRIER_STATE|DY_RESOLUTION	4	1	1	FIGURE|LABEL|WATER_OR_APPARATUS	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
ote	10	10	10	1.000000000000	7	5	2	otedy|qotedy	2	NONE|q	DY_RESOLUTION	4	6	3	FIGURE|LABEL|STAR_OR_SKY|WATER_OR_APPARATUS	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
aiin	8	9	0	0.000000000000	7	6	3	aiin|daiin|taiin	3	NONE|d|t	ENTRY_STATE|OTHER	7	2	0	FIGURE|LABEL|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
okal	8	8	4	0.500000000000	7	6	4	okal|okaldy|qokal|qokaldy	2	NONE|q	AL_STATE|DY_RESOLUTION	8	10	4	FIGURE|LABEL|STAR_OR_SKY|WATER_OR_APPARATUS	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
okch	7	7	7	1.000000000000	5	4	2	okchdy|qokchdy	2	NONE|q	DY_RESOLUTION	3	1	1	LABEL	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
ol	7	7	1	0.142857142857	7	5	5	cheol|chol|dol|ol|oldy	4	NONE|ch|che|d	DY_RESOLUTION|OL_STATE	7	5	2	LABEL|PLANT|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
ar	6	7	0	0.000000000000	6	5	3	ar|dar|tar	3	NONE|d|t	AR_REFERENCE	6	4	0	FIGURE|LABEL|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
ke	6	6	6	1.000000000000	5	5	2	chekedy|kedy	2	NONE|che	DY_RESOLUTION	5	0	0		1	HOST_CLUSTER_NOT_WORD_OR_MEANING
okar	6	6	0	0.000000000000	6	6	2	okar|qokar	2	NONE|q	AR_REFERENCE	6	0	0		1	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckhy	5	6	0	0.000000000000	5	5	4	chckhy|checkhy|ckhy|shckhy	4	NONE|ch|che|sh	CARRIER_STATE|OTHER	5	0	0		1	HOST_CLUSTER_NOT_WORD_OR_MEANING
okee	5	5	5	1.000000000000	5	5	2	okeedy|qokeedy	2	NONE|q	DY_RESOLUTION	2	0	0		1	HOST_CLUSTER_NOT_WORD_OR_MEANING
otch	5	5	5	1.000000000000	5	4	2	otchdy|qotchdy	2	NONE|q	DY_RESOLUTION	4	1	1	FIGURE|LABEL	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
y	5	6	0	0.000000000000	4	4	5	chey|dy|shy|ty|y	5	NONE|che|d|sh|t	CARRIER_STATE|ENTRY_STATE|OTHER	5	4	2	FIGURE|LABEL|PLANT|STAR_OR_SKY	1	HOST_CLUSTER_NOT_WORD_OR_MEANING
otar	4	4	0	0.000000000000	3	2	2	otar|qotar	2	NONE|q	OT_AR_LOCAL	4	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
yte	4	4	4	1.000000000000	3	2	1	ytedy	1	NONE	DY_RESOLUTION	3	1	0	LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
al	3	3	1	0.333333333333	2	2	3	al|aldy|dal	2	NONE|d	AL_STATE|DY_RESOLUTION	3	3	2	FIGURE|LABEL|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ckh	3	3	3	1.000000000000	3	3	3	chckhdy|ckhdy|shckhdy	3	NONE|ch|sh	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
kch	3	3	3	1.000000000000	2	2	1	kchdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
keo	3	3	3	1.000000000000	3	3	1	keody	1	NONE	DY_RESOLUTION	3	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ky	3	3	0	0.000000000000	3	3	2	cheky|chky	2	ch|che	CARRIER_STATE	3	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okeey	3	3	0	0.000000000000	3	3	2	okeey|qokeey	2	NONE|q	OTHER|Q_OUTER_STATE	3	4	0	FIGURE|LABEL|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oky	3	3	0	0.000000000000	3	3	1	oky	1	NONE	OTHER	3	7	3	FIGURE|LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
aly	2	2	0	0.000000000000	2	2	2	aly|daly	2	NONE|d	AL_STATE	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
cth	2	2	2	1.000000000000	2	2	1	cthdy	1	NONE	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
ee	2	2	2	1.000000000000	2	2	2	sheedy|teedy	2	sh|t	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
eo	2	2	2	1.000000000000	2	2	1	sheody	1	sh	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
kee	2	2	2	1.000000000000	2	2	2	chekeedy|keedy	2	NONE|che	DY_RESOLUTION	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
l	2	2	1	0.500000000000	1	1	2	l|ldy	1	NONE	DY_RESOLUTION|OTHER	2	2	2	LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
lol	2	2	1	0.500000000000	1	1	2	lol|loldy	1	NONE	DY_RESOLUTION|OL_STATE	2	1	0	LABEL|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
od	2	2	0	0.000000000000	2	2	2	cheod|shod	2	che|sh	CARRIER_STATE	2	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okeo	2	2	2	1.000000000000	2	2	2	okeody|qokeody	2	NONE|q	DY_RESOLUTION	2	4	1	FIGURE|LABEL|PLANT|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
okol	2	3	1	0.333333333333	2	2	3	okol|okoldy|qokol	2	NONE|q	DY_RESOLUTION|OL_STATE	2	3	2	FIGURE|LABEL|PLANT|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
opch	2	2	2	1.000000000000	2	2	2	opchdy|qopchdy	2	NONE|q	DY_RESOLUTION	1	0	0		0	HOST_CLUSTER_NOT_WORD_OR_MEANING
otal	2	2	1	0.500000000000	1	1	2	otal|otaldy	1	NONE	DY_RESOLUTION|OT_AL_LOCAL	2	6	4	FIGURE|LABEL|PLANT|STAR_OR_SKY|WATER_OR_APPARATUS	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
oteo	2	2	1	0.500000000000	2	2	2	oteody|qoteo	2	NONE|q	DY_RESOLUTION|Q_OUTER_STATE	2	2	0	FIGURE|LABEL|STAR_OR_SKY	0	HOST_CLUSTER_NOT_WORD_OR_MEANING
