mode	source_page	target_page	similarity	is_true_pair
POSITIVE_JACCARD	f17v	f96v	1	1
BIT_AGREEMENT	f17v	f96v	1	1
EXACT_ILLUSTRATION_PROFILE	f17v	f96v	1	1
POSITIVE_JACCARD	f17v	f1v	1	0
BIT_AGREEMENT	f17v	f1v	1	0
EXACT_ILLUSTRATION_PROFILE	f17v	f1v	0	0
POSITIVE_JACCARD	f17v	f51r	0	0
BIT_AGREEMENT	f17v	f51r	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f17v	f51r	0	0
POSITIVE_JACCARD	f17v	f2v	0	0
BIT_AGREEMENT	f17v	f2v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f17v	f2v	1	0
POSITIVE_JACCARD	f17v	f3v	0	0
BIT_AGREEMENT	f17v	f3v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f17v	f3v	1	0
POSITIVE_JACCARD	f44r	f96v	0	0
BIT_AGREEMENT	f44r	f96v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f44r	f96v	1	0
POSITIVE_JACCARD	f44r	f1v	0	1
BIT_AGREEMENT	f44r	f1v	0.916666666667	1
EXACT_ILLUSTRATION_PROFILE	f44r	f1v	0	1
POSITIVE_JACCARD	f44r	f51r	0	0
BIT_AGREEMENT	f44r	f51r	1	0
EXACT_ILLUSTRATION_PROFILE	f44r	f51r	0	0
POSITIVE_JACCARD	f44r	f2v	0	0
BIT_AGREEMENT	f44r	f2v	1	0
EXACT_ILLUSTRATION_PROFILE	f44r	f2v	1	0
POSITIVE_JACCARD	f44r	f3v	0	0
BIT_AGREEMENT	f44r	f3v	1	0
EXACT_ILLUSTRATION_PROFILE	f44r	f3v	1	0
POSITIVE_JACCARD	f6r	f96v	0	0
BIT_AGREEMENT	f6r	f96v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f6r	f96v	1	0
POSITIVE_JACCARD	f6r	f1v	0	0
BIT_AGREEMENT	f6r	f1v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f6r	f1v	0	0
POSITIVE_JACCARD	f6r	f51r	0	1
BIT_AGREEMENT	f6r	f51r	1	1
EXACT_ILLUSTRATION_PROFILE	f6r	f51r	0	1
POSITIVE_JACCARD	f6r	f2v	0	0
BIT_AGREEMENT	f6r	f2v	1	0
EXACT_ILLUSTRATION_PROFILE	f6r	f2v	1	0
POSITIVE_JACCARD	f6r	f3v	0	0
BIT_AGREEMENT	f6r	f3v	1	0
EXACT_ILLUSTRATION_PROFILE	f6r	f3v	1	0
POSITIVE_JACCARD	f19r	f96v	0	0
BIT_AGREEMENT	f19r	f96v	0.833333333333	0
EXACT_ILLUSTRATION_PROFILE	f19r	f96v	1	0
POSITIVE_JACCARD	f19r	f1v	0	0
BIT_AGREEMENT	f19r	f1v	0.833333333333	0
EXACT_ILLUSTRATION_PROFILE	f19r	f1v	0	0
POSITIVE_JACCARD	f19r	f51r	0	0
BIT_AGREEMENT	f19r	f51r	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f19r	f51r	0	0
POSITIVE_JACCARD	f19r	f2v	0	1
BIT_AGREEMENT	f19r	f2v	0.916666666667	1
EXACT_ILLUSTRATION_PROFILE	f19r	f2v	1	1
POSITIVE_JACCARD	f19r	f3v	0	0
BIT_AGREEMENT	f19r	f3v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f19r	f3v	1	0
POSITIVE_JACCARD	f90r1	f96v	0.5	0
BIT_AGREEMENT	f90r1	f96v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f90r1	f96v	1	0
POSITIVE_JACCARD	f90r1	f1v	0.5	0
BIT_AGREEMENT	f90r1	f1v	0.916666666667	0
EXACT_ILLUSTRATION_PROFILE	f90r1	f1v	0	0
POSITIVE_JACCARD	f90r1	f51r	0	0
BIT_AGREEMENT	f90r1	f51r	0.833333333333	0
EXACT_ILLUSTRATION_PROFILE	f90r1	f51r	0	0
POSITIVE_JACCARD	f90r1	f2v	0	0
BIT_AGREEMENT	f90r1	f2v	0.833333333333	0
EXACT_ILLUSTRATION_PROFILE	f90r1	f2v	1	0
POSITIVE_JACCARD	f90r1	f3v	0	1
BIT_AGREEMENT	f90r1	f3v	0.833333333333	1
EXACT_ILLUSTRATION_PROFILE	f90r1	f3v	1	1
