counterexample	evidence	impact
SIGN_OR_RANK_EQUALS_MAGNITUDE	GDT277 already showed the sign/rank in A B B2	GDT278 uses only preregistered bits/event and null-z equality-or-exceedance
NULL_Z_IS_SAMPLE_SIZE_FREE	z grows with information and event count	native controls below 80 percent of 8448 cannot pass the native gate
MATCHED_OVERLAY_PRESERVES_NATIVE_ORDER	exact length queues break cross-length adjacency	native order is a separate sensitivity
NATIVE_PANELS_SHARE_IDENTICAL_LAYOUT	real controls keep their source units and synthetic controls keep generated lines	native differences may reflect layout as intended sensitivity
ALPHABET_MAPPING_IS_LOSSLESS	only the top 20 visible host characters have named capacity	coverage and collisions accompany every control
FOxton_is_a_scored_nomenclator	mechanism audit lacks complete machine-readable diplomatic surfaces	excluded rather than fabricated
GDT156_IS_AN_INDEPENDENT_CONTROL	its encoder deliberately imports Voynich HPR2 rules	excluded
ALTERNATE_READINGS_ARE_REPLICATIONS	Voynich reference is one manuscript panel	no alternate reading multiplication
F84_USED	only frozen gdt276 event inventory supplies Voynich rows and contains zero f84	no f84 access
MAGNITUDE_IDENTIFIES_PAYLOAD	endpoint is opaque compiler-conditioned character compression	no language code meaning plaintext or translation
