locus	page	physical_folio	group_index	token	residual_host	normalized_field_index	normalized_within_field_position	after_dy	source_codes	base_skeleton	q2_present
f113r.3	f113r	f113	2	oal	oal	0.5	0.25	0	A1 A3 B2	A1 A3 B2	0
f113r.32	f113r	f113	5	otal	otal	1	0	1	A1 Q2 A3 B2	A1 A3 B2	1
f113r.37	f113r	f113	10	otal	otal	1	0.5	1	A1 Q2 A3 B2	A1 A3 B2	1
f113r.6	f113r	f113	7	otal	otal	0.5	0.4	0	A1 Q2 A3 B2	A1 A3 B2	1
f108v.49	f108v	f108	12	oam	oam	1	1	0	A1 A3 B3	A1 A3 B3	0
f108v.38	f108v	f108	10	otam	otam	1	0.5	1	A1 Q2 A3 B3	A1 A3 B3	1
f112r.2	f112r	f112	2	oar	oar	0.5	0.142857142857	0	A1 A3 C1	A1 A3 C1	0
f112r.2	f112r	f112	8	otar	otar	0.5	1	0	A1 Q2 A3 C1	A1 A3 C1	1
f112r.4	f112r	f112	4	otar	otar	1	0.4	0	A1 Q2 A3 C1	A1 A3 C1	1
f58r.25	f58r	f58	1	oar	oar	0.5	0	0	A1 A3 C1	A1 A3 C1	0
f58r.25	f58r	f58	4	otar	otar	0.5	0.5	0	A1 Q2 A3 C1	A1 A3 C1	1
f86v5.21	f86v5	f86	1	oar	oar	0.5	0	0	A1 A3 C1	A1 A3 C1	0
f86v5.24	f86v5	f86	1	oar	oar	0	0	0	A1 A3 C1	A1 A3 C1	0
f86v5.13	f86v5	f86	10	otar	otar	1	0.75	0	A1 Q2 A3 C1	A1 A3 C1	1
f86v5.27	f86v5	f86	4	otar	otar	0	0.75	0	A1 Q2 A3 C1	A1 A3 C1	1
f111v.35	f111v	f111	1	oain	oain	0	0	0	A1 A3 F1	A1 A3 F1	0
f111v.17	f111v	f111	12	otain	otain	0.5	1	0	A1 Q2 A3 F1	A1 A3 F1	1
f111v.24	f111v	f111	3	otain	otain	0.5	0.2	0	A1 Q2 A3 F1	A1 A3 F1	1
f111v.30	f111v	f111	8	otain	otain	0.5	0.7	0	A1 Q2 A3 F1	A1 A3 F1	1
f111v.50	f111v	f111	11	otain	otain	0.5	0.909090909091	0	A1 Q2 A3 F1	A1 A3 F1	1
f105v.1	f105v	f105	2	oair	oair	0	0.25	0	A1 A3 F3	A1 A3 F3	0
f105v.7	f105v	f105	3	otair	otair	0	0.4	0	A1 Q2 A3 F3	A1 A3 F3	1
f35r.15	f35r	f35	1	ochor	ochor	0.5	0	0	A1 K1 A1 C1	A1 K1 A1 C1	0
f35r.14	f35r	f35	5	otchor	otchor	0.5	0.571428571429	0	A1 Q2 K1 A1 C1	A1 K1 A1 C1	1
f3r.3	f3r	f3	1	ochor	ochor	0.5	0	0	A1 K1 A1 C1	A1 K1 A1 C1	0
f3r.19	f3r	f3	1	otchor	otchor	0.5	0	0	A1 Q2 K1 A1 C1	A1 K1 A1 C1	1
f114r.15	f114r	f114	8	oeedy	oee	0.333333333333	1	0	A1 K2 B1 A2	A1 K2 B1 A2	0
f114r.20	f114r	f114	7	oteedy	otee	0.6	1	0	A1 Q2 K2 B1 A2	A1 K2 B1 A2	1
f108r.28	f108r	f108	3	qoal	oal	0	0.666666666667	0	D1 A1 A3 B2	D1 A1 A3 B2	0
f108r.36	f108r	f108	6	qotal	otal	1	0	1	D1 A1 Q2 A3 B2	D1 A1 A3 B2	1
f104r.37	f104r	f104	3	qoaiin	oaiin	0	0.333333333333	0	D1 A1 A3 G1	D1 A1 A3 G1	0
f104r.27	f104r	f104	3	qotaiin	otaiin	0.5	0.2	0	D1 A1 Q2 A3 G1	D1 A1 A3 G1	1
f104r.5	f104r	f104	2	qotaiin	otaiin	0	0.5	0	D1 A1 Q2 A3 G1	D1 A1 A3 G1	1
f79r.29	f79r	f79	2	qochey	ochey	0	0.5	0	D1 A1 K1 J1 A2	D1 A1 K1 J1 A2	0
f79r.26	f79r	f79	3	qotchey	otchey	0.25	0	1	D1 A1 Q2 K1 J1 A2	D1 A1 K1 J1 A2	1
f86v5.25	f86v5	f86	5	qoeey	oeey	0.5	0.8	0	D1 A1 K2 A2	D1 A1 K2 A2	0
f86v5.39	f86v5	f86	3	qoteey	oteey	1	0.333333333333	0	D1 A1 Q2 K2 A2	D1 A1 K2 A2	1
f114v.8	f114v	f114	7	qoeedy	oee	0.75	1	0	D1 A1 K2 B1 A2	D1 A1 K2 B1 A2	0
f114v.8	f114v	f114	2	qoteedy	otee	0.25	0.5	1	D1 A1 Q2 K2 B1 A2	D1 A1 K2 B1 A2	1
f42r.14	f42r	f42	1	sho	o	0.5	0	0	L1 A1	L1 A1	0
f42r.13	f42r	f42	3	shot	ot	0.5	0.25	0	L1 A1 Q2	L1 A1	1
