component	formal_generation	evidence	counterevidence	status	semantic_role
PAGE_PROFILE	selects page-local host inventory and register/compiler ecology	GDT082/GDT083 page signal; Currier/register architecture	compiler-only also page-clusters	STRONG_FORMAL_PAGE_STATE_CONTENT_UNPROVEN	UNASSIGNED
PAGE_HOST	reusable lexical-like content candidate after wrapper/frame stripping	page gain exceeds raw/residual; DARK_LEAF +4.342 held bits while raw/compiler negative	broad cross-section behavior transfer fails; exact visual bundles unstable	PROVISIONAL_CONTENT_LAYER	UNASSIGNED
BASE_O_Y	first PAGE_HOST coordinate licensing wrapper branch	GDT085 held-host wrapper factor; GDT087 4641-group transfer	does not independently predict right family, position, register or DY	STRONG_FORMAL_COORDINATE	UNASSIGNED
Q_WRAPPER	early wrapper strongly licensed before O-base PAGE_HOST	+122.330 held bits; 1746/3436 O versus 42/1205 Y; placement p=.00110	ordinary host spelling can encode the same constraint; no meaning	STRONG_FORMAL_OPERATOR	UNASSIGNED
D_WRAPPER	late wrapper preferentially licensed before Y-base PAGE_HOST	+65.082 held bits; 106/1205 Y versus 14/3436 O; matched late shift p=.0483	sparse relative to q; earlier global entry description was host-mixed	PROVISIONAL_FORMAL_OPERATOR	UNASSIGNED
CH_CHE_SH_S_WRAPPERS	host/register-conditioned construction wrappers	cross-core reuse and conditional wrapper gains	direction reverses in at least one register; no universal function	CONDITIONAL_RENDERERS_OR_OPERATORS	UNASSIGNED
LOCAL_O_OT_FRAME	changes record placement while often preserving PAGE_HOST	GDT065 cross-frame page-context preservation	function and semantic neutrality unresolved	PROVISIONAL_LOCAL_FRAME	UNASSIGNED
RIGHT_FAMILY	host/register-conditioned terminal renderer from AIIN/AIR/AIN/AR/AL/NONE	GDT062 transferable register conditioning; GDT077 asymmetric wrapper conditioning	GDT085 exact host identity still required; independent content neutrality unproved	STRONG_RENDERER_CONTENT_NEUTRALITY_UNPROVEN	UNASSIGNED
DY_CHECKPOINT	marks a field boundary/closure and shifts following distribution	boundary association and late placement	PAGE_HOST transition generalization fails; not a productive linguistic suffix above strings	FORMAL_BOUNDARY_NOT_SEMANTIC_SUFFIX	UNASSIGNED
B3_CLOSE	rare closing state retained as compiler feature	line/field closure concentration	GDT067 internal content-neutrality prediction not supported	FORMAL_CLOSE_CONTENT_NEUTRALITY_FAILED_OR_UNPROVEN	UNASSIGNED
OS_HOST_SEED	exact PAGE_HOST reused under ch/che and DY variation	two strict plant labels both DARK_LEAF and LIGHT_ROOT; PAGE_HOST descriptor model positive	two scored loci; global maxT fails; whole descriptor stability not above control	WEAK_POSTSELECTED_VISUAL_ASSOCIATION	UNASSIGNED
