world_view	witness_renderer	side	operation	selected_rank	distinct_hosts	exact_pair_types	synthetic_folios	transformed_occurrences	annotation_rank_adjustment
CONTROL_X	R1_S1	RIGHT	q	1	171	171	119	336	-2.47485975992376
CONTROL_X	R1_S1	RIGHT	l	2	102	102	111	185	2.7145898082727085
CONTROL_X	R1_S2	RIGHT	o	1	171	171	119	336	-2.47485975992376
CONTROL_X	R1_S2	RIGHT	x	2	102	102	111	185	2.7145898082727085
CONTROL_X	R2_S1	RIGHT	w	1	171	171	119	336	-2.47485975992376
CONTROL_X	R2_S1	RIGHT	o	2	102	102	111	185	2.7145898082727085
CONTROL_X	R2_S2	RIGHT	o	1	171	171	119	336	-2.47485975992376
CONTROL_X	R2_S2	RIGHT	y	2	102	102	111	185	2.7145898082727085
CONTROL_X	R3_S1	RIGHT	x	1	171	171	119	336	-2.47485975992376
CONTROL_X	R3_S1	RIGHT	z	2	102	102	111	185	2.7145898082727085
CONTROL_X	R3_S2	RIGHT	o	1	171	171	119	336	-2.47485975992376
CONTROL_X	R3_S2	RIGHT	z	2	102	102	111	185	2.7145898082727085
CONTROL_X	R4_S1	RIGHT	y	1	171	171	119	336	-2.47485975992376
CONTROL_X	R4_S1	RIGHT	w	2	102	102	111	185	2.7145898082727085
CONTROL_X	R4_S2	RIGHT	x	1	171	171	119	336	-2.47485975992376
CONTROL_X	R4_S2	RIGHT	y	2	102	102	111	185	2.7145898082727085
CONTROL_X	R5_S1	RIGHT	q	1	171	171	119	336	-2.47485975992376
CONTROL_X	R5_S1	RIGHT	o	2	102	102	111	185	2.7145898082727085
CONTROL_X	R5_S2	RIGHT	w	1	171	171	119	336	-2.47485975992376
CONTROL_X	R5_S2	RIGHT	z	2	102	102	111	185	2.7145898082727085
CONTROL_Y	R1_S1	RIGHT	q	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R1_S1	RIGHT	l	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R1_S2	RIGHT	o	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R1_S2	RIGHT	x	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R2_S1	RIGHT	w	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R2_S1	RIGHT	o	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R2_S2	RIGHT	o	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R2_S2	RIGHT	y	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R3_S1	RIGHT	x	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R3_S1	RIGHT	z	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R3_S2	RIGHT	o	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R3_S2	RIGHT	z	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R4_S1	RIGHT	y	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R4_S1	RIGHT	w	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R4_S2	RIGHT	x	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R4_S2	RIGHT	y	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R5_S1	RIGHT	q	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R5_S1	RIGHT	o	2	374	374	123	468	2.7145898082727085
CONTROL_Y	R5_S2	RIGHT	w	1	777	777	122	1007	-2.47485975992376
CONTROL_Y	R5_S2	RIGHT	z	2	374	374	123	468	2.7145898082727085
