page	physical_folio	multiple_bounded_regions	explicit_linear_path	annotation_provenance	annotation_source_sha256	evidence_summary	interpretation_excluded
f75r	f75	1	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Two separate pools are described; no connecting or directed path is asserted.	CONTENT;MEANING;OWNERSHIP
f75v	f75	1	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Upper and lower bounded water regions are described; a tube is described as ending at a canopy.	CONTENT;MEANING;OWNERSHIP
f76r	f76	0	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Text-only page with no illustrated region or path.	CONTENT;MEANING;OWNERSHIP
f76v	f76	0	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Indefinite tube structures are described without an explicit endpoint or region connection.	CONTENT;MEANING;OWNERSHIP
f77r	f77	0	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	A tube with openings and further tubes are described without a catalogue-stated connection between bounded regions.	CONTENT;MEANING;OWNERSHIP
f77v	f77	0	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Figures and tube-like structures are described without separate pools or an explicit path relation.	CONTENT;MEANING;OWNERSHIP
f78r	f78	1	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Two pools and structures with tubes coming from the page top are described.	CONTENT;MEANING;OWNERSHIP
f78v	f78	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	One pool receives a tube from above and has two tubes leaving at right.	CONTENT;MEANING;OWNERSHIP
f79r	f79	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	A vertical tube structure is described as ending in one pool.	CONTENT;MEANING;OWNERSHIP
f79v	f79	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	A vertical tube structure is described as ending in one full-width pool.	CONTENT;MEANING;OWNERSHIP
f80r	f80	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	One tube ends in a middle pool and another descends to a figure.	CONTENT;MEANING;OWNERSHIP
f80v	f80	1	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Left and right structures end in the same pool, which has three sub-pools.	CONTENT;MEANING;OWNERSHIP
f81r	f81	1	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Two pools are explicitly connected by one tube with two additional joins.	CONTENT;MEANING;OWNERSHIP
f81v	f81	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	One pool has a tube entering from above and water described as flowing out.	CONTENT;MEANING;OWNERSHIP
f82r	f82	1	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	A bottom green region and separate blue region are described; upper figures are explicitly connected by tubes.	CONTENT;MEANING;OWNERSHIP
f82v	f82	1	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Several small pools and one large pool are described; no endpoint relation is asserted in the catalogue sentence.	CONTENT;MEANING;OWNERSHIP
f83r	f83	0	1	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Two structures are explicitly connected by a rainbow-shaped tube.	CONTENT;MEANING;OWNERSHIP
f83v	f83	0	0	EXISTING_HUMAN_ANNOTATION_NORMALIZED	b358f244cbe853448dd5c32dbc04004cb8ce63d9a8c5ed5afe2a679a115d87fa	Several complex structures are described without multiple pools or an explicit path relation.	CONTENT;MEANING;OWNERSHIP
