world	HERBAL_A__WINDOW_PM2_gain_per_focal	HERBAL_A__WHOLE_LINE_gain_per_focal	HERBAL_B__WINDOW_PM2_gain_per_focal	HERBAL_B__WHOLE_LINE_gain_per_focal	STARS_RECIPE_B__WINDOW_PM2_gain_per_focal	STARS_RECIPE_B__WHOLE_LINE_gain_per_focal	PHARMA_A__WINDOW_PM2_gain_per_focal	PHARMA_A__WHOLE_LINE_gain_per_focal	BIOLOGICAL_B__WINDOW_PM2_gain_per_focal	BIOLOGICAL_B__WHOLE_LINE_gain_per_focal	max10_null_centered	claim_state
0	-0.476219453199	-0.429723858704	-0.323538366735	-0.275960920513	-0.475885194129	-0.392983760262	-0.204934023933	-0.201086090653	-0.409458817687	-0.329383029634	0.015484062708	REGISTER_FOCAL_ID_ALIGNMENT_NULL
1	-0.472750816582	-0.424048230346	-0.305561786564	-0.267251211233	-0.475767434877	-0.395828565623	-0.189816621752	-0.218117026282	-0.420008789143	-0.331034067479	0.030601464889	REGISTER_FOCAL_ID_ALIGNMENT_NULL
2	-0.466954068381	-0.428431616023	-0.308436878906	-0.272943202466	-0.473575502354	-0.397926615108	-0.226889516388	-0.212352507845	-0.421333952981	-0.330515694754	0.008007638791	REGISTER_FOCAL_ID_ALIGNMENT_NULL
3	-0.477123547247	-0.435924580397	-0.314521076360	-0.271723972306	-0.485504120012	-0.397672405840	-0.212713166012	-0.204055255030	-0.422150498969	-0.330780626647	0.007704920630	REGISTER_FOCAL_ID_ALIGNMENT_NULL
4	-0.486551837441	-0.425434077074	-0.314845562482	-0.271906956662	-0.474993529234	-0.389613431482	-0.235406757274	-0.217180281023	-0.427988824988	-0.325654592598	0.006589611911	REGISTER_FOCAL_ID_ALIGNMENT_NULL
5	-0.472609549509	-0.430042651941	-0.298898177063	-0.279106798878	-0.469944287833	-0.395061229571	-0.248221092536	-0.219643039338	-0.427535121311	-0.329298725100	0.016275493063	REGISTER_FOCAL_ID_ALIGNMENT_NULL
6	-0.470145085288	-0.427244273528	-0.319944592053	-0.280232841799	-0.478250286610	-0.397423872585	-0.226610421159	-0.206237020304	-0.415089553729	-0.335980883023	0.003761917774	REGISTER_FOCAL_ID_ALIGNMENT_NULL
7	-0.477802102068	-0.427351500416	-0.314538758212	-0.270626746641	-0.488031462197	-0.392545466168	-0.245512409700	-0.201501555779	-0.420218838160	-0.332412177567	0.008497382299	REGISTER_FOCAL_ID_ALIGNMENT_NULL
8	-0.474729401967	-0.428218517221	-0.322409680142	-0.275693793382	-0.484842964713	-0.396093092436	-0.212804682971	-0.198187095259	-0.433288175766	-0.330937443033	0.011811842820	REGISTER_FOCAL_ID_ALIGNMENT_NULL
9	-0.470571865330	-0.430783854420	-0.326510568226	-0.269344020295	-0.483041119261	-0.390651510982	-0.220491795678	-0.200603732916	-0.415907742481	-0.329952543003	0.009395205163	REGISTER_FOCAL_ID_ALIGNMENT_NULL
