locus	groups	expected_groups	coverage	missing_or_unstable_groups	surface_sequence	record_state_sequence	structural_translation	dy_checkpoints	b3_closers	exact_label_echoes	provisional_semantic_annotation	semantic_status	reading_basis
f77r.11	9	9	COMPLETE	0	qoteedy | qokaiin | shedy | chol | shedy | shcthey | qokeedy | oteedy | cham	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=ch,H=l,F=O] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=sh,H=cthey] ; FIELD[W=q,H=okee,DY=1] ; FIELD[H=ee,F=OT,DY=1] ; FIELD[W=ch,H=a,B3=1]	5	1		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.13	1	10	PARTIAL_STRICT_CONSENSUS	9	qokeedy	UNAVAILABLE	FIELD[W=q,H=okee,DY=1]	1	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.14	8	8	COMPLETE	0	sokcheey | sain | sheeol | qoteedy | qokaiin | shedy | qokeedy | qotedy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=okcheey] ; FIELD[W=s,H=ain] ; FIELD[W=sh,H=eeol] ; FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=e,F=OT,DY=1]	4	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.15	6	9	PARTIAL_STRICT_CONSENSUS	3	qokeedy | shedy | qotol | shedy | qokaiin | sheety	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=okee,DY=1] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=ol,F=OT] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=sh,H=eety]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.16	8	8	COMPLETE	0	sshedy | qotaiin | chedy | qokaiin | shedy | qolcheedy | qokeedy | lol	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=s,H=she,DY=1] ; FIELD[W=q,H=ot,R=aiin] ; FIELD[W=che,H=y,D=1] ; FIELD[W=q,H=ok,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=olchee,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[H=lol]	4	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.17	8	9	PARTIAL_STRICT_CONSENSUS	1	qoteedy | qoteedy | qokedy | sheed | qeey | saiin | sheety | lol	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=ee,F=OT,DY=1] ; FIELD[W=q,H=oke,DY=1] ; FIELD[W=sh,H=eed] ; FIELD[W=q,H=eey] ; FIELD[W=s,H=aiin] ; FIELD[W=sh,H=eety] ; FIELD[H=lol]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.18	3	10	PARTIAL_STRICT_CONSENSUS	7	daiin | cheedy | lshey	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=d,H=aiin] ; FIELD[W=che,H=e,DY=1] ; FIELD[H=lshey]	1	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.19	9	9	COMPLETE	0	qokeedy | lchey | lsheey | qokeedy | qokeedy | qokar | qokeey | laiin | chey	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=okee,DY=1] ; FIELD[H=lchey] ; FIELD[H=lsheey] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=ok,R=ar] ; FIELD[W=q,H=okeey] ; FIELD[H=l,R=aiin] ; FIELD[W=che,H=y]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.20	8	8	COMPLETE	0	qotain | sheal | qokeedy | qoteey | qokain | sheey | qotedy | dalchedy	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=q,H=ot,R=ain] ; FIELD[W=sh,H=e,R=al] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=eey,F=OT] ; FIELD[W=q,H=ok,R=ain] ; FIELD[W=sh,H=eey] ; FIELD[W=q,H=e,F=OT,DY=1] ; FIELD[W=d,H=alche,DY=1]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
f77r.21	8	8	COMPLETE	0	chedaiin | shedy | qokeedy | qokedy | qokeey | chedy | shear | olaiiny	UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE > UNAVAILABLE	FIELD[W=che,H=d,R=aiin] ; FIELD[W=sh,H=e,DY=1] ; FIELD[W=q,H=okee,DY=1] ; FIELD[W=q,H=oke,DY=1] ; FIELD[W=q,H=okeey] ; FIELD[W=che,H=y,D=1] ; FIELD[W=sh,H=e,R=ar] ; FIELD[H=olaiiny]	3	0		NONE	UNASSIGNED	STRICT_ZERO_ALTERNATIVE_ALL_THREE_READINGS
