corpus	book_or_ms	record_id	pages	lines	groups	abbreviation_marked_groups	unique_raw_groups	unique_page_hosts	reused_page_host_occurrences	raw_group_identity_set_sha256	raw_char3_set_sha256	page_host_identity_set_sha256	page_host_char3_set_sha256	compiler_signature_set_sha256	marker_and_position_set_sha256	host_plus_compiler_set_sha256
NUREMBERG	Band2	NB_B2_R000001	StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 1 v.jpg;StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	94	349	137	211	189	160	e943933ed743ea9dfa0769b71cf08bb1169c63e892750beab766957bdd84246c	967ba69309a5399bd545a8d3d70c01048e8e0dbb87357eaa95deb60ec2e2202a	70330bbf7892feb9626e17d526d958ccc0bb1f13d7a93393e77c76c11ee7a48f	318e87f1ca503ebc9f398761f397ea2f7d78ab2f3101b29e76618f43e78fa3c2	c8f9a182a75ce8dfffa6b06ae3c1ca95e79ed989e915e663f2269907c9432978	ed8d6ca48c23596d10aa07b031b0f3559716037d0a97597354a1241de54912d9	7816c7dfbeaa6d6f9f6ca057240e408db13e6ca22dec5fc35af4d39c09687920
NUREMBERG	Band2	NB_B2_R000002	Rst Nbg-Briefbücher-Nr 2_0003_left.png;StAN Rst Nürnberg Briefbücher des Innern Rats 2 fol 2 r.jpg	10	29	4	25	25	4	75290eca866a1b8e26f1d4668ca80d026375f90d55d3ef7b5641912fadeaa748	fc1c3158e864e5e13c2d5b55db155cc5eaa686dd5b806ad1f47f6f01b53bf5a7	44529b3313ef805ebc69e1a121d8f9db9a1e9fbde098cacd92cfa8a81aecaeff	d840548b8e6735d992779dbf3c8d9020871bbfed2ec4687134d7dcbb9392fa75	ff82d56dd97a5d01a6a7c10fef7fe18778a4693828e81e3ff70773347a3bbc90	d8f195ea7a3061b1f06043981e1825f32de670d077c1c8104d47b86f195c1553	4ad5013d9de8d17b47e8f7d4eb28af971cef0b56007673306c2add2f2db878db
NUREMBERG	Band2	NB_B2_R000003	Rst Nbg-Briefbücher-Nr 2_0003_right.png	3	20	3	19	18	2	2115d1da35e7d84ed69aa739ef39f287dbbbac51bc1a2d48a5cbad592ae46a0f	a34a2986d014639a39c62f171f676057ad08236581c7e4aac69ce3870d57a99b	89b101004c6b957e97923f777d16f71abde7cc3582be3e1352a894e924cf1d93	c5cd0443c56b105efbbc9784e739455bcfdf50fd66ab6e75953f66f94e8dc9af	fc95f0bef18c39709ed182a2dbab6d426de4912db3b403673a146f94e4e0c11f	71aead857f0dce4e63675e3c223de6f8d4ba909cf4b2c1efa30408dab4bfce98	9738ec561f0ae5eb5a36cf3c65011abd08d6025479f043645efded8fee105777
NUREMBERG	Band2	NB_B2_R000004	Rst Nbg-Briefbücher-Nr 2_0003_right.png	10	85	17	71	67	18	990c672556170a37729a8e07ee9425bc502bc078125f4685186739e302369939	f3cf40383fa89d7b0556c01957d4db86ec4dfbc4fd339cce8da69349ad120ed5	00d264d80ff6f48bc3949b945a75d8fe5410764ba0b326d94c55832dd4cb908e	13fb438aecf795f9a9aadb6306ef6d073b3a7dce3b1fcfa3a6bb76f7b7e90e60	69167dbe92c4b6b3c769e1b482c6b0e2537d5af51b0b84b0606c186162c273d7	f86ade29a5ba01386a09530144652ef9e49045085761ae6bc89978253945e28f	4bc73a6dd579a2e584d1e0c77a36e4609136be463f24736dde39c2a7ed863253
NUREMBERG	Band2	NB_B2_R000005	Rst Nbg-Briefbücher-Nr 2_0003_right.png	9	62	12	53	50	12	837ace81453d58b444900bdffe41b7c1285dcb7a3a00fc16ed73f993e8ed0f3e	078c31286a8d09037d86dbe0d32a262cbb2aea96aef057871e711159e4ec6e9a	b99cc6728b3b1502dccc548d328af0979d157cda783a5dc139fdb05ab1a7be5d	e750659747db633ec63a7d3eb36f0302fe20a676c05906155a69730984c0ed56	a78be44234cc227ca390719bcd74df834250d78e8344c21d5911ad3ba408a3e8	b6c0a5c76c10b7a291e021bd8ae04210aa0462f76615a20c8ffa8910c0c45cd7	b22949449e958a9f118b0b5c02e221e1c24eb918e9bbb32db685c745bfd858fe
NUREMBERG	Band2	NB_B2_R000006	Rst Nbg-Briefbücher-Nr 2_0003_right.png;Rst Nbg-Briefbücher-Nr 2_0004_left.png	14	99	38	72	69	30	cdb28192a671da4e445ddb1caf7c7fd3d47acae113227baef38c1e2b8f76642a	cf49d6daad03fd0a413690cf5c98f2b396a319d6809e173a29407e9d64f74b02	d989b6d241784c4683f2d4c013bf1747bdb8a89b5b55950006e31f7b5c484e2b	d9876e502be7decccbcc89beb7d8ecae054eebe0970fa7d154e11ab4861405c9	15e759f6ab494e5c10673d044516407a0a963db907dd0f7fde75bc8cc8b2db58	53a6878fb8ff1aaccf31b382335c97d877352ce8656f1cd0b44377151b534cdb	a2e7388d23d05abd201fc85fd1feee18d3c50e67385b6cbfae56632001b452aa
NUREMBERG	Band2	NB_B2_R000007	Rst Nbg-Briefbücher-Nr 2_0004_left.png	19	144	29	109	99	45	03bdeb1ef7eb6af034f69a1b711aae1bb67faf70bf20a6d2bfff0651b60dd170	b60a6a11de9539605029e8c6d30b2fd06ed471170450ccaae311dca67456d591	8d0fd1f3b80ee683be61651ba80623832f1415af54729fddeadd99575d470382	9fcee64cdb271d6746b69b52d006787f22da0ecb2f5fa6a612bac4130a207f4a	c40d6af3c2fc1efb4544ccb0f3803d492175836822eb4fb8050fe7c9056e6996	582e6226e864970eeddb661819f86a6b5efe0489a8c81cf9dc70ef5905f3da7a	91996e75ae46f9711a41aa34722c96def19cd26ccb6a338c046ede3f969f00a4
NUREMBERG	Band2	NB_B2_R000008	Rst Nbg-Briefbücher-Nr 2_0004_right.png	11	90	19	71	66	24	87a2376b8bbee1bc6f7847f95dac890a09627133417aa17cb75d290792677105	ec2132160fba7b7b9da699170714835891ae1a8607797f764434e887f08672cb	ae487dc25abfc61fc46f077d384f519f3a13e3c5289344fe860b3625939d64cf	36e72e08d2eaf9aca104d7b315c0aaa8fb4aec8f874e03d0956414b30eac1078	219d98f5fb91fcfc931f4d253126b8150d6d911bd35d51b6efc1598f0c2ae810	7e6fe1b85a1a068937a6a34c0462ca57265dc64fa852ef6b932c76f85453edf2	03470986c43ac42684eedfb694aa465eaa49fa813dd7b1789429ef68eb6bd2c0
NUREMBERG	Band2	NB_B2_R000009	Rst Nbg-Briefbücher-Nr 2_0004_right.png	23	208	68	126	106	102	f0edc30cda81462d9fa7febef8330b00cc0aefd24f9ced59b1d6b96ba66acb48	9bb5db9b92e202ecce01051bbf2fddac9032a45025a5e38c8233efaa1bee2b22	768f30d416d864682987e7ecc51cba85313bbd15e669b4bed31566b0cb107ae6	3992a1f41724121328bcc94b66553f45f5427ab53f4ea5300061a1534f3f85b9	03e76a1b727f1eb073dd534ece04d86108309c758d16292a14323852dbcb4aec	d18fc2ac5786cd69ecabd53ad6d6c87674862a474a744f9ba3343633e028c2c4	45c98d0883941b0548e920d88e23f6bdb2125a3cc769b6dd54cf88dc46904cc9
NUREMBERG	Band2	NB_B2_R000010	Rst Nbg-Briefbücher-Nr 2_0005_left.png	21	180	59	106	93	87	1e9d6c963cd2a04aaced89af394c10c22cce7f9585e0cd632c4cb3324750997d	e282fb2da6bea77b3906c7e80e2234dc5c3f1fda0c9e9fc841494f8a8629e7c1	4a91fb6247aefe1a87603070b5e3f18bba20d2557c318e33c7066ddf47d97517	f8f024f78d0fb14e4c4236ea38980bc197efe1ca4b6df12cb708354462df39e4	6957889f40ba4c6d1c9956d29c19f0e9d17a70b91be37bad8859835f542daa33	a2bd51367efbe93520426fd137fba6163098ad5e0ea9f8e624614d33bf566480	bf00d176687832c2f8d23210cbf42aea19657d4aed54195536545a9a8f24253e
