control_id	breakdown	value	scored_events	gain_bits	gain_bits_per_event
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	0	517	-34.001126034109	-0.065766201227
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	1	146	3.962660027523	0.027141507038
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	2	600	-16.924327269854	-0.028207212116
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	3	243	-8.683025131385	-0.035732613709
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	4	201	-9.444636893722	-0.046988243252
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	5	1487	-36.753884601489	-0.024716802018
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	6	364	-54.928601100795	-0.150902750277
AUGSBURG_ACCOUNTS_1402_1424	BUCKET	7	408	-26.049424445900	-0.063846628544
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F00	321	-10.059399830050	-0.031337694175
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F01	287	-14.560071953149	-0.050731958025
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F02	305	-14.750559319927	-0.048362489574
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F03	258	-11.242122311213	-0.043574117485
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F04	354	-19.936327786447	-0.056317310131
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F05	344	-18.432049822261	-0.053581540181
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F06	287	-13.766210931089	-0.047965891746
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F07	375	-18.142691899870	-0.048380511733
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F08	438	-19.767997307624	-0.045132413944
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F09	396	-16.057271095412	-0.040548664382
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F10	328	-11.127735976550	-0.033926024319
AUGSBURG_ACCOUNTS_1402_1424	FOLD	F:AUGSBURG_ACCOUNTS_1402_1424:F11	273	-14.979927216141	-0.054871528264
AUGSBURG_ACCOUNTS_1402_1424	POSITION	FIRST	178	-17.144689797007	-0.096318482006
AUGSBURG_ACCOUNTS_1402_1424	POSITION	LAST	519	-32.260489200432	-0.062158938729
AUGSBURG_ACCOUNTS_1402_1424	POSITION	MIDDLE	3267	-133.176252126625	-0.040764080847
AUGSBURG_ACCOUNTS_1402_1424	POSITION	ONLY	2	-0.240934325666	-0.120467162833
ARBITRARY_LOCAL_CODEBOOK	BUCKET	0	226	-10.908997002274	-0.048269898240
ARBITRARY_LOCAL_CODEBOOK	BUCKET	1	349	-6.315209553025	-0.018095156312
ARBITRARY_LOCAL_CODEBOOK	BUCKET	2	385	12.063959789441	0.031334960492
ARBITRARY_LOCAL_CODEBOOK	BUCKET	3	333	-4.275130417288	-0.012838229481
ARBITRARY_LOCAL_CODEBOOK	BUCKET	4	541	9.045714722409	0.016720359931
ARBITRARY_LOCAL_CODEBOOK	BUCKET	5	412	5.682684750481	0.013792924152
ARBITRARY_LOCAL_CODEBOOK	BUCKET	6	244	0.434010723899	0.001778732475
ARBITRARY_LOCAL_CODEBOOK	BUCKET	7	486	-16.237189767176	-0.033409855488
ARBITRARY_LOCAL_CODEBOOK	FOLD	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0009	30	-3.498949122767	-0.116631637426
ARBITRARY_LOCAL_CODEBOOK	FOLD	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0010	22	-3.137456649126	-0.142611665869
ARBITRARY_LOCAL_CODEBOOK	FOLD	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0011	12	0.100930064824	0.008410838735
ARBITRARY_LOCAL_CODEBOOK	FOLD	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0012	9	-0.339131201211	-0.037681244579
