evaluation	pre_context	representation	scope	boundaries	dy_boundaries	right_events	base_bits	boundary_bits	pre_bits	pre_boundary_bits	boundary_gain_vs_base	pre_gain_vs_base	joint_gain_vs_pre	joint_gain_vs_boundary	joint_gain_per_event_vs_pre
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	ALL	7409	1298	45048	80718.0111961	80080.5662768	80089.5262475	81430.9218224	637.444919224	628.484948577	-1341.3955749	-1350.35554554	-0.0297770283896
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	HERBAL_A	2070	68	12000	23540.7110648	23379.2312419	23880.1894861	24198.1119847	161.479822863	-339.478421328	-317.922498553	-818.880742744	-0.0264935415461
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	HERBAL_B	640	147	3764	6919.91538873	6912.738331	6875.31171765	7051.98710605	7.17705772887	44.6036710817	-176.675388406	-139.248775054	-0.0469382009581
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	OTHER_A	386	34	2375	4651.16715514	4623.44607712	4662.06606794	4739.62887795	27.721078018	-10.8989128088	-77.5628100035	-116.18280083	-0.0326580252646
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	OTHER_B	2146	587	13104	21515.1453743	21179.2527512	20827.7717465	21095.9791181	335.892623106	687.373627857	-268.207371587	83.2736331641	-0.0204675955118
LEAVE_FOLIO_OUT	SUFFIX_1	RAW_SURFACE	STARS_RECIPE_B	2167	462	13805	24091.0722131	23985.8978756	23844.1872293	24345.2147356	105.174337508	246.884983774	-501.027506345	-359.316860079	-0.0362931913325
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	ALL	7409	1298	45048	85563.4157457	85051.0223502	85572.6766078	87562.6168724	512.393395439	-9.26086215659	-1989.94026463	-2511.59452223	-0.0441737760751
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	HERBAL_A	2070	68	12000	26297.1702704	26272.9515288	27166.1368466	27867.9628102	24.2187415439	-868.966576198	-701.825963636	-1595.01128138	-0.0584854969697
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	HERBAL_B	640	147	3764	7007.50981986	7023.38823998	6957.14848414	7165.1190224	-15.8784201173	50.361335723	-207.970538266	-141.730782425	-0.0552525340769
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	OTHER_A	386	34	2375	4682.22769462	4643.75036429	4698.4516685	4768.77772877	38.4773303305	-16.2239738837	-70.326060271	-125.027364485	-0.0296109727457
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	OTHER_B	2146	587	13104	22532.6521037	22132.8097819	21811.0471488	22140.8192485	399.842321772	721.604954899	-329.772099757	-8.00946663116	-0.0251657585285
LEAVE_REGISTER_OUT	SUFFIX_1	RAW_SURFACE	STARS_RECIPE_B	2167	462	13805	25043.8558571	24978.1224352	24939.8924598	25619.9380625	65.7334219084	103.963397304	-680.045602702	-641.815627307	-0.0492608187398
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	ALL	7409	1298	35286	67372.9412771	66701.2781229	67474.8806411	68477.5925774	671.663154148	-101.939363979	-1002.71193638	-1776.31445451	-0.0284167073735
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	HERBAL_A	2070	68	9679	19066.4241735	18836.1173134	19180.8587343	19479.8589464	230.306860122	-114.434560816	-299.00021203	-643.741632968	-0.0308916429415
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	HERBAL_B	640	147	2913	5771.41702979	5735.63010761	5865.01340212	5968.24541317	35.7869221776	-93.5963723329	-103.232011054	-232.615305565	-0.0354383834721
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	OTHER_A	386	34	1879	3787.7625742	3735.37422265	3782.59448924	3806.39742874	52.3883515547	5.1680849642	-23.8029395006	-71.0232060911	-0.0126678762643
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	OTHER_B	2146	587	9923	18243.0135753	18000.911239	18030.3774968	18235.0086621	242.102336278	212.636078526	-204.631165354	-234.097423106	-0.0206219052055
LEAVE_FOLIO_OUT	SUFFIX_1	RESIDUAL_ROOT	STARS_RECIPE_B	2167	462	10892	20504.3239243	20393.2452403	20616.0365186	20988.0821271	111.078684016	-111.712594321	-372.045608442	-594.836886779	-0.0341576944952
