locus	page	physical_folio	group_index	group_count	token	annotation_certainty	object_tags	relation_tags	final_member	is_locus_final
f100r.1	f100r	f100	1	1	chosaroshol	HEDGED	LABEL;PLANT	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	B2	1
f100r.10	f100r	f100	1	1	dakocth	HEDGED	LABEL;PLANT	REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	U2	1
f100r.16	f100r	f100	1	1	okeeos	HEDGED	LABEL;PLANT	REL_PROXIMITY	C2	1
f100r.17	f100r	f100	1	1	shockhey	HEDGED	LABEL;PLANT	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	A2	1
f100r.18	f100r	f100	1	1	orol	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B2	1
f100r.19	f100r	f100	1	1	olcheom	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B3	1
f100r.2	f100r	f100	1	1	sochorcfhy	HEDGED	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	A2	1
f100r.20	f100r	f100	1	1	oteol	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B2	1
f100r.3	f100r	f100	1	1	otear	HEDGED	LABEL;PLANT	REL_PROXIMITY	C1	1
f100r.8	f100r	f100	1	1	soity	HEDGED	LABEL;PLANT	REL_PROXIMITY	A2	1
f100r.9	f100r	f100	1	1	sosam	HEDGED	LABEL;PLANT	REL_PROXIMITY	B3	1
f100v.1	f100v	f100	1	1	tolchd	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B1	1
f100v.10	f100v	f100	1	1	okcheor	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	C1	1
f100v.11	f100v	f100	1	1	ytchol	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B2	1
f100v.12	f100v	f100	1	1	dykchal	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	B2	1
f100v.2	f100v	f100	1	1	chols	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	C2	1
f100v.3	f100v	f100	1	1	opchor	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	C1	1
f100v.6	f100v	f100	1	1	ykchochdy	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	A2	1
f100v.7	f100v	f100	1	1	ykchdy	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	A2	1
